Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.6297297297297298,0.020775051719433023
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.08108108108108109,0.031208122658898683
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.6093736593736588,0.026365014934621858
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.8679044856877512,0.036220493260429094
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.47799943290413055,0.06855534759391471
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.637987987987988,0.021979951168929472
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.08378378378378379,0.029345040495319514
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.6048927498927494,0.026747619047538862
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.637987987987988,0.021979951168929472
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.0,0.0
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.08378378378378379,0.029345040495319514
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.0,0.0
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.41891891891891886,0.024566326654715972
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.02252252252252252,0.016733491550456493
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.6450450450450449,0.01716184031499043
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.08558558558558559,0.022159232209457373
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.5542621192621187,0.02826651898883938
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,mfrd,0.8527415393698876,0.13161311553297833
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,afrd,0.43819260997859677,0.09884064435202768
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,hamming_accuracy_pa,0.6507507507507507,0.01800800522590385
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,subset0_1_pa,0.08378378378378379,0.022450334764643445
