Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.5882597754548973,0.05334025398220337
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.09930313588850173,0.05302200243763117
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.4473848238482385,0.05432480837771678
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.6708025030525031,0.06877968495813065
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.3695898344867989,0.08260089924608693
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.7814169570267131,0.0295533407105085
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.2538908246225319,0.09479863767244621
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.49568331397599696,0.06164703067319021
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.7814169570267131,0.0295533407105085
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.0,0.0
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.2538908246225319,0.09479863767244621
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.0,0.0
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.6378319783197833,0.032942455045024605
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.06056910569105691,0.04248557883716672
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.5854432830042586,0.06035693549666304
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.11835075493612077,0.05137505648471342
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.43613516951496045,0.0627535668776433
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,mfrd,0.5935148434473788,0.08609570825121038
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,afrd,0.3313050066050269,0.09855738881477828
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,hamming_accuracy_pa,0.789847077042199,0.021364662051962996
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,subset0_1_pa,0.2777003484320557,0.08006729745444452
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,f1_pa,0.48348044909020527,0.05950115945994797
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,arec,0.789847077042199,0.021364662051962996
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,aabs,0.0,0.0
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,rec,0.2777003484320557,0.08006729745444452
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,abs,0.0,0.0
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.6390940766550524,0.031086184215216688
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.09419279907084785,0.03656028489701479
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,hamming_accuracy,0.5870886566008517,0.05157887155932929
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,subset0_1,0.09686411149825783,0.05360383050776462
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,f1,0.44608594657375145,0.053383805388821925
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,mfrd,0.6774264346764347,0.07751260304457286
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,afrd,0.37062053820042945,0.084898998899629
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.7802168021680218,0.029427729283003166
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,subset0_1_pa,0.24425087108013935,0.0997606132691077
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,f1_pa,0.4936178861788618,0.06194805021466852
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,arec,0.7802168021680218,0.029427729283003166
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,aabs,0.0,0.0
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,rec,0.24425087108013935,0.0997606132691077
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,abs,0.0,0.0
RF,PreOrder__Subset__None,Subset,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.6389547038327528,0.03207166495050613
RF,PreOrder__Subset__None,Subset,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.05813008130081301,0.042392129251715684
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,hamming_accuracy,0.582597754548974,0.05783190458614114
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,subset0_1,0.11341463414634145,0.04429874316149275
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,f1,0.4312767546042807,0.05998649136686367
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,mfrd,0.6003016939245792,0.07972034585080846
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,afrd,0.33049199799324475,0.0952707021407355
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,hamming_accuracy_pa,0.7898567557104144,0.021874209856909244
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,subset0_1_pa,0.28008130081300814,0.07906202822749846
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,f1_pa,0.4810994967092528,0.05920211785759085
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,arec,0.7898567557104144,0.021874209856909244
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,aabs,0.0,0.0
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,rec,0.28008130081300814,0.07906202822749846
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PartialAbstention,abs,0.0,0.0
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.6394154084397987,0.03146469604609826
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.09657375145180022,0.04024189123693221
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,hamming_accuracy,0.4395470383275262,0.042482610932854874
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,subset0_1,0.031475029036004645,0.02446865334683148
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,f1,0.39478153863171295,0.029529668367046027
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,mfrd,0.8530143146327358,0.09420661894347968
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,afrd,0.537826816659689,0.0625931457155573
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PartialAbstention,hamming_accuracy_pa,0.7576995682226447,0.047024486107637424
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PartialAbstention,subset0_1_pa,0.41104990571358424,0.10177543233235901
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PartialAbstention,f1_pa,0.5530797760514875,0.10230931967314848
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PartialAbstention,arec,0.8852593883081689,0.02632260580819691
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PartialAbstention,aabs,0.5282713898567557,0.058975699429239206
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PartialAbstention,rec,0.5239837398373984,0.10820236645927242
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PartialAbstention,abs,3.169628339140534,0.3538541965754354
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PreferenceOrder,hamming_accuracy_PARTIAL_ORDER,0.6470073557878437,0.01935551520662143
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,PreferenceOrder,subset0_1_PARTIAL_ORDER,0.019337979094076654,0.026131178187785528
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,hamming_accuracy,0.441569879984514,0.04418536350691378
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,subset0_1,0.036353077816492455,0.024995531225902482
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,f1,0.3954513024722085,0.031225170472197347
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,mfrd,0.8434587590771802,0.08970018720304698
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,afrd,0.5334340059855484,0.06280406807899287
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,PartialAbstention,hamming_accuracy_pa,0.7603988834859835,0.04547603421621262
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,PartialAbstention,subset0_1_pa,0.41375260841628697,0.09977571406461055
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,PartialAbstention,f1_pa,0.552831251665032,0.10158677880243669
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,PartialAbstention,arec,0.8864692218350756,0.02506849805387251
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,PartialAbstention,aabs,0.5274583817266744,0.06010552786720984
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,PartialAbstention,rec,0.5264227642276422,0.1053987771107841
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,PartialAbstention,abs,3.164750290360046,0.36063316720325905
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,PreferenceOrder,hamming_accuracy_PARTIAL_ORDER,0.647971351142083,0.019041901086615732
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,PreferenceOrder,subset0_1_PARTIAL_ORDER,0.024216027874564457,0.024276669920463838
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,hamming_accuracy,0.4395470383275262,0.042482610932854874
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,subset0_1,0.031475029036004645,0.02446865334683148
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,f1,0.39478153863171295,0.029529668367046027
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,mfrd,0.8530143146327358,0.09420661894347968
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,afrd,0.5377912041240764,0.06257304222757658
RF,PartialOrder__Subset__None,Subset,,PartialOrder,PartialAbstention,hamming_accuracy_pa,0.7575286523986879,0.046879420691031105
RF,PartialOrder__Subset__None,Subset,,PartialOrder,PartialAbstention,subset0_1_pa,0.41104990571358424,0.10177543233235901
RF,PartialOrder__Subset__None,Subset,,PartialOrder,PartialAbstention,f1_pa,0.5510595740312855,0.1006310848101838
RF,PartialOrder__Subset__None,Subset,,PartialOrder,PartialAbstention,arec,0.8852593883081689,0.02632260580819691
RF,PartialOrder__Subset__None,Subset,,PartialOrder,PartialAbstention,aabs,0.5286682152535812,0.05898439286039842
RF,PartialOrder__Subset__None,Subset,,PartialOrder,PartialAbstention,rec,0.5239837398373984,0.10820236645927242
RF,PartialOrder__Subset__None,Subset,,PartialOrder,PartialAbstention,abs,3.172009291521486,0.3539063571623906
RF,PartialOrder__Subset__None,Subset,,PartialOrder,PreferenceOrder,hamming_accuracy_PARTIAL_ORDER,0.6468486256291136,0.019081051538592818
RF,PartialOrder__Subset__None,Subset,,PartialOrder,PreferenceOrder,subset0_1_PARTIAL_ORDER,0.019337979094076654,0.026131178187785528
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,BinaryVector,hamming_accuracy,0.4411633759194734,0.044374798100699914
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,BinaryVector,subset0_1,0.036353077816492455,0.024995531225902482
