Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.7201888930104698,0.021166788287894464
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.37536339403559327,0.017868334140665437
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.6425584316248213,0.01972928129244714
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.30915124401008487,0.0373324926782991
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.20411009340931385,0.01919235288570686
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.9034763617751171,0.005354798716111486
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.5982639038655637,0.02016693801051576
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.7381963722420161,0.02525456498599807
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.9034763617751171,0.005354798716111486
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.0,0.0
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.5982639038655637,0.02016693801051576
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.0,0.0
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.826006418164097,0.009517326599750981
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.361651469535287,0.016404002204566354
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.7266621233426213,0.02159348531440095
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.41441412686225965,0.02415558254359181
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.6502817744104048,0.0199913018798595
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,mfrd,0.2930287702220279,0.034228771826939675
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,afrd,0.18674245856278154,0.015999351424247136
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,hamming_accuracy_pa,0.9140007706397748,0.00555728813847663
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,subset0_1_pa,0.6628626392111869,0.021164662814515
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,f1_pa,0.749689975644333,0.024842572636737212
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,arec,0.9140007706397748,0.00555728813847663
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,aabs,0.0,0.0
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,rec,0.6628626392111869,0.021164662814515
