Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.8309±0.0386,0.8667±0.0457,0.8656±0.0489,0.8547±0.0364,0.1079±0.0060,0.0974±0.0059,0.0933±0.0029,0.0936±0.0016,0.9320±0.0244,0.9550±0.0203,0.9521±0.0166,0.9522±0.0162,0.1807±0.0065,0.1733±0.0060,0.1683±0.0036,0.1692±0.0027,0.1658±0.0140,0.1543±0.0184,0.1498±0.0176,0.1594±0.0086,0.1079±0.0060,0.0974±0.0058,0.0933±0.0029,0.0935±0.0016,0.1556±0.0039,0.1569±0.0024,0.1552±0.0017,0.1558±0.0032,0.0916±0.0022,0.0920±0.0015,0.0909±0.0009,0.0912±0.0013,0.9169±0.0264,0.9415±0.0263,0.9354±0.0303,0.9344±0.0296,0.9424±0.0205,0.9667±0.0128,0.9720±0.0150,0.9592±0.0168,0.1676±0.0039,0.1689±0.0022,0.1675±0.0018,0.1691±0.0024,0.0921±0.0022,0.0926±0.0013,0.0919±0.0011,0.0928±0.0014,0.9345±0.0230,0.9559±0.0202,0.9517±0.0182,0.9517±0.0169,0.0154±0.0073,0.0015±0.0046,0.0005±0.0015,0.0000±0.0000
PartialOrder__Hamming__None,0.8322±0.0384,0.8668±0.0457,0.8662±0.0485,0.8552±0.0365,0.1084±0.0066,0.0973±0.0060,0.0933±0.0031,0.0936±0.0016,0.9330±0.0245,0.9550±0.0203,0.9529±0.0168,0.9527±0.0165,0.1814±0.0072,0.1732±0.0060,0.1684±0.0039,0.1692±0.0027,0.1658±0.0141,0.1542±0.0184,0.1497±0.0177,0.1591±0.0086,0.1084±0.0066,0.0973±0.0059,0.0933±0.0031,0.0934±0.0016,0.1557±0.0040,0.1569±0.0025,0.1553±0.0015,0.1559±0.0033,0.0917±0.0023,0.0920±0.0015,0.0910±0.0009,0.0912±0.0014,0.9181±0.0268,0.9415±0.0263,0.9358±0.0299,0.9345±0.0297,0.9424±0.0205,0.9667±0.0128,0.9720±0.0150,0.9592±0.0168,0.1678±0.0041,0.1689±0.0022,0.1677±0.0019,0.1691±0.0024,0.0922±0.0023,0.0926±0.0013,0.0919±0.0011,0.0928±0.0014,0.9354±0.0232,0.9559±0.0202,0.9526±0.0182,0.9522±0.0173,0.0154±0.0073,0.0015±0.0046,0.0005±0.0015,0.0000±0.0000
PartialOrder__Subset__2,0.8309±0.0386,0.8667±0.0458,0.8659±0.0486,0.8541±0.0359,0.1079±0.0060,0.0974±0.0059,0.0933±0.0030,0.0935±0.0016,0.9320±0.0244,0.9550±0.0203,0.9526±0.0168,0.9517±0.0159,0.1807±0.0065,0.1733±0.0060,0.1683±0.0039,0.1691±0.0027,0.1658±0.0140,0.1543±0.0184,0.1498±0.0177,0.1592±0.0086,0.1079±0.0060,0.0974±0.0058,0.0933±0.0030,0.0934±0.0016,0.1556±0.0039,0.1569±0.0024,0.1553±0.0016,0.1558±0.0033,0.0916±0.0022,0.0920±0.0015,0.0909±0.0009,0.0912±0.0014,0.9169±0.0264,0.9415±0.0263,0.9356±0.0300,0.9336±0.0291,0.9424±0.0205,0.9664±0.0129,0.9720±0.0150,0.9592±0.0168,0.1676±0.0039,0.1689±0.0022,0.1676±0.0020,0.1690±0.0024,0.0921±0.0022,0.0926±0.0013,0.0919±0.0012,0.0928±0.0014,0.9345±0.0230,0.9559±0.0202,0.9522±0.0184,0.9513±0.0166,0.0154±0.0073,0.0015±0.0046,0.0005±0.0015,0.0000±0.0000
PartialOrder__Subset__None,0.8322±0.0384,0.8669±0.0458,0.8667±0.0482,0.8545±0.0361,0.1084±0.0066,0.0973±0.0060,0.0934±0.0032,0.0935±0.0016,0.9330±0.0245,0.9550±0.0203,0.9539±0.0171,0.9522±0.0162,0.1814±0.0072,0.1732±0.0060,0.1686±0.0042,0.1691±0.0027,0.1658±0.0141,0.1542±0.0184,0.1498±0.0177,0.1590±0.0086,0.1084±0.0066,0.0973±0.0059,0.0934±0.0032,0.0934±0.0016,0.1557±0.0040,0.1569±0.0025,0.1555±0.0016,0.1558±0.0034,0.0917±0.0023,0.0920±0.0015,0.0911±0.0010,0.0912±0.0014,0.9181±0.0268,0.9415±0.0263,0.9364±0.0297,0.9338±0.0293,0.9424±0.0205,0.9664±0.0129,0.9720±0.0150,0.9592±0.0168,0.1678±0.0041,0.1689±0.0022,0.1678±0.0022,0.1691±0.0024,0.0922±0.0023,0.0926±0.0013,0.0920±0.0013,0.0928±0.0014,0.9354±0.0232,0.9559±0.0202,0.9536±0.0185,0.9517±0.0169,0.0154±0.0073,0.0015±0.0046,0.0005±0.0015,0.0000±0.0000
PreOrder__Hamming__2,0.8326±0.0353,0.8141±0.0566,0.7130±0.0692,0.4407±0.0598,0.1104±0.0053,0.1052±0.0094,0.1003±0.0066,0.1082±0.0080,0.9386±0.0187,0.9241±0.0327,0.8793±0.0354,0.7989±0.0360,0.1835±0.0052,0.1799±0.0077,0.1749±0.0076,0.1861±0.0107,0.1685±0.0133,0.1809±0.0242,0.2173±0.0317,0.3450±0.0257,0.1103±0.0053,0.1051±0.0094,0.1001±0.0066,0.1075±0.0078,0.1572±0.0031,0.1569±0.0028,0.1545±0.0017,0.1559±0.0057,0.0926±0.0017,0.0925±0.0019,0.0916±0.0008,0.0941±0.0028,0.9250±0.0203,0.9211±0.0329,0.8627±0.0357,0.7313±0.0405,0.9399±0.0230,0.9423±0.0310,0.9092±0.0470,0.8105±0.0599,0.1691±0.0028,0.1691±0.0026,0.1680±0.0027,0.1791±0.0071,0.0929±0.0016,0.0931±0.0014,0.0929±0.0016,0.1009±0.0043,0.9411±0.0173,0.9275±0.0313,0.8787±0.0345,0.7944±0.0357,0.0174±0.0070,0.0087±0.0114,0.0026±0.0034,0.0015±0.0033
PreOrder__Hamming__None,0.8280±0.0371,0.8063±0.0578,0.7102±0.0696,0.4461±0.0585,0.1110±0.0043,0.1052±0.0093,0.1011±0.0072,0.1071±0.0056,0.9356±0.0193,0.9223±0.0306,0.8801±0.0338,0.8041±0.0308,0.1842±0.0047,0.1801±0.0080,0.1764±0.0087,0.1859±0.0082,0.1709±0.0130,0.1834±0.0246,0.2227±0.0316,0.3471±0.0252,0.1109±0.0043,0.1051±0.0093,0.1009±0.0072,0.1065±0.0056,0.1571±0.0032,0.1568±0.0026,0.1552±0.0016,0.1567±0.0052,0.0926±0.0016,0.0925±0.0018,0.0920±0.0011,0.0944±0.0026,0.9233±0.0229,0.9162±0.0323,0.8652±0.0380,0.7378±0.0377,0.9339±0.0183,0.9358±0.0312,0.9066±0.0388,0.8092±0.0690,0.1691±0.0028,0.1693±0.0023,0.1693±0.0032,0.1806±0.0065,0.0929±0.0016,0.0932±0.0013,0.0936±0.0019,0.1018±0.0039,0.9383±0.0179,0.9255±0.0291,0.8806±0.0337,0.8001±0.0308,0.0174±0.0053,0.0077±0.0100,0.0020±0.0034,0.0005±0.0015
PreOrder__Subset__2,0.8307±0.0340,0.8129±0.0564,0.7119±0.0689,0.4355±0.0602,0.1105±0.0052,0.1051±0.0093,0.1006±0.0069,0.1075±0.0081,0.9386±0.0186,0.9223±0.0334,0.8793±0.0343,0.7936±0.0375,0.1838±0.0050,0.1797±0.0076,0.1752±0.0079,0.1849±0.0108,0.1696±0.0135,0.1810±0.0239,0.2184±0.0320,0.3439±0.0258,0.1105±0.0052,0.1051±0.0093,0.1004±0.0069,0.1068±0.0080,0.1573±0.0030,0.1566±0.0029,0.1546±0.0016,0.1551±0.0059,0.0927±0.0015,0.0923±0.0020,0.0918±0.0008,0.0937±0.0030,0.9243±0.0187,0.9202±0.0332,0.8627±0.0352,0.7255±0.0393,0.9384±0.0222,0.9420±0.0288,0.9091±0.0447,0.8025±0.0619,0.1693±0.0026,0.1689±0.0028,0.1682±0.0028,0.1778±0.0071,0.0930±0.0015,0.0929±0.0015,0.0930±0.0016,0.1002±0.0042,0.9411±0.0173,0.9256±0.0319,0.8787±0.0337,0.7887±0.0375,0.0174±0.0070,0.0087±0.0114,0.0026±0.0034,0.0015±0.0033
PreOrder__Subset__None,0.8272±0.0346,0.8085±0.0589,0.7054±0.0698,0.4428±0.0635,0.1114±0.0051,0.1051±0.0091,0.1011±0.0071,0.1061±0.0055,0.9356±0.0172,0.9238±0.0319,0.8801±0.0334,0.7992±0.0352,0.1843±0.0051,0.1801±0.0079,0.1763±0.0084,0.1843±0.0082,0.1711±0.0133,0.1830±0.0242,0.2227±0.0316,0.3456±0.0246,0.1113±0.0051,0.1050±0.0091,0.1009±0.0071,0.1055±0.0055,0.1572±0.0032,0.1570±0.0027,0.1550±0.0012,0.1558±0.0052,0.0926±0.0015,0.0926±0.0020,0.0920±0.0009,0.0939±0.0025,0.9226±0.0206,0.9178±0.0350,0.8605±0.0384,0.7328±0.0414,0.9339±0.0183,0.9397±0.0288,0.9082±0.0407,0.8050±0.0675,0.1691±0.0027,0.1694±0.0025,0.1692±0.0028,0.1792±0.0064,0.0929±0.0016,0.0932±0.0014,0.0936±0.0017,0.1010±0.0038,0.9383±0.0161,0.9270±0.0303,0.8801±0.0328,0.7944±0.0355,0.0184±0.0062,0.0077±0.0100,0.0020±0.0034,0.0005±0.0015
br,0.9811±0.0024,0.9778±0.0063,0.9694±0.0138,0.9369±0.0137,0.0491±0.0052,0.0491±0.0098,0.0565±0.0157,0.0728±0.0182,0.0491±0.0052,0.0491±0.0103,0.0581±0.0159,0.0841±0.0200,0.0491±0.0052,0.0489±0.0098,0.0568±0.0155,0.0755±0.0185,0.9124±0.0010,0.9117±0.0018,0.9104±0.0014,0.8984±0.0033,0.0491±0.0052,0.0486±0.0093,0.0557±0.0151,0.0710±0.0178,0.0283±0.0049,0.0317±0.0105,0.0403±0.0190,0.0588±0.0204,0.1251±0.0207,0.1415±0.0693,0.1565±0.0682,0.1416±0.0639,0.0164±0.0027,0.0187±0.0060,0.0248±0.0126,0.0405±0.0139,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.0854±0.0085,0.0854±0.0176,0.0979±0.0248,0.1233±0.0284,0.7080±0.1129,0.6444±0.1477,0.5202±0.0915,0.2741±0.0542,0.0455±0.0047,0.0460±0.0099,0.0544±0.0152,0.0797±0.0193,0.0491±0.0052,0.0476±0.0083,0.0527±0.0142,0.0583±0.0162
cc,0.9784±0.0088,0.9738±0.0114,0.9617±0.0138,0.9170±0.0286,0.0481±0.0151,0.0527±0.0159,0.0726±0.0231,0.0947±0.0268,0.0481±0.0151,0.0529±0.0156,0.0767±0.0232,0.1088±0.0281,0.0481±0.0151,0.0527±0.0157,0.0740±0.0230,0.0982±0.0266,0.9124±0.0022,0.9108±0.0017,0.9106±0.0024,0.8982±0.0019,0.0481±0.0151,0.0524±0.0157,0.0726±0.0231,0.0922±0.0257,0.0334±0.0162,0.0348±0.0190,0.0474±0.0191,0.0771±0.0350,0.1731±0.0523,0.1359±0.0876,0.1565±0.0839,0.1585±0.0752,0.0192±0.0095,0.0211±0.0112,0.0306±0.0129,0.0573±0.0258,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,0.9984±0.0024,0.0835±0.0249,0.0900±0.0251,0.1243±0.0353,0.1527±0.0336,0.7145±0.1751,0.5452±0.1039,0.5140±0.0620,0.3002±0.0358,0.0445±0.0138,0.0493±0.0144,0.0712±0.0219,0.1032±0.0267,0.0481±0.0151,0.0517±0.0157,0.0685±0.0237,0.0757±0.0240
