Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.8428±0.0350,0.8217±0.0383,0.7853±0.0425,0.7299±0.0489,0.8921±0.0134,0.8849±0.0140,0.8643±0.0184,0.8224±0.0268,0.6292±0.0426,0.6068±0.0436,0.5760±0.0410,0.5171±0.0472,0.7811±0.0250,0.7670±0.0229,0.7392±0.0262,0.6542±0.0507,0.4393±0.0357,0.4432±0.0431,0.5014±0.0648,0.6152±0.0970,0.8399±0.0114,0.8372±0.0136,0.8188±0.0192,0.7850±0.0297,0.2717±0.0193,0.2752±0.0259,0.3025±0.0325,0.3469±0.0460,0.1443±0.0114,0.1455±0.0135,0.1647±0.0211,0.2025±0.0321
PartialOrder__Hamming__None,0.8428±0.0350,0.8217±0.0383,0.7853±0.0425,0.7299±0.0489,0.8921±0.0134,0.8849±0.0140,0.8643±0.0184,0.8224±0.0268,0.6292±0.0426,0.6068±0.0436,0.5760±0.0410,0.5171±0.0472,0.7811±0.0250,0.7670±0.0229,0.7392±0.0262,0.6542±0.0507,0.4393±0.0357,0.4432±0.0431,0.5014±0.0648,0.6152±0.0970,0.8399±0.0114,0.8372±0.0136,0.8188±0.0192,0.7850±0.0297,0.2717±0.0193,0.2752±0.0259,0.3025±0.0325,0.3469±0.0460,0.1443±0.0114,0.1455±0.0135,0.1647±0.0211,0.2025±0.0321
PartialOrder__Subset__2,0.8428±0.0350,0.8217±0.0383,0.7853±0.0425,0.7299±0.0489,0.8921±0.0134,0.8849±0.0140,0.8643±0.0184,0.8224±0.0268,0.6292±0.0426,0.6068±0.0436,0.5760±0.0410,0.5171±0.0472,0.7811±0.0250,0.7670±0.0229,0.7392±0.0262,0.6542±0.0507,0.4393±0.0357,0.4432±0.0431,0.5014±0.0648,0.6152±0.0970,0.8399±0.0114,0.8372±0.0136,0.8188±0.0192,0.7850±0.0297,0.2717±0.0193,0.2752±0.0259,0.3025±0.0325,0.3469±0.0460,0.1443±0.0114,0.1455±0.0135,0.1647±0.0211,0.2025±0.0321
PartialOrder__Subset__None,0.8428±0.0350,0.8217±0.0383,0.7853±0.0425,0.7299±0.0489,0.8921±0.0134,0.8849±0.0140,0.8643±0.0184,0.8224±0.0268,0.6292±0.0426,0.6068±0.0436,0.5760±0.0410,0.5171±0.0472,0.7811±0.0250,0.7670±0.0229,0.7392±0.0262,0.6542±0.0507,0.4393±0.0357,0.4432±0.0431,0.5014±0.0648,0.6152±0.0970,0.8399±0.0114,0.8372±0.0136,0.8188±0.0192,0.7850±0.0297,0.2717±0.0193,0.2752±0.0259,0.3025±0.0325,0.3469±0.0460,0.1443±0.0114,0.1455±0.0135,0.1647±0.0211,0.2025±0.0321
PreOrder__Hamming__2,0.8428±0.0350,0.8217±0.0383,0.7853±0.0425,0.7299±0.0489,0.8921±0.0134,0.8849±0.0140,0.8643±0.0184,0.8224±0.0268,0.6292±0.0426,0.6068±0.0436,0.5760±0.0410,0.5171±0.0472,0.7811±0.0250,0.7670±0.0229,0.7392±0.0262,0.6542±0.0507,0.4393±0.0357,0.4432±0.0431,0.5014±0.0648,0.6152±0.0970,0.8399±0.0114,0.8372±0.0136,0.8188±0.0192,0.7850±0.0297,0.2717±0.0193,0.2752±0.0259,0.3025±0.0325,0.3469±0.0460,0.1443±0.0114,0.1455±0.0135,0.1647±0.0211,0.2025±0.0321
PreOrder__Hamming__None,0.8428±0.0350,0.8217±0.0383,0.7853±0.0425,0.7299±0.0489,0.8921±0.0134,0.8849±0.0140,0.8643±0.0184,0.8224±0.0268,0.6292±0.0426,0.6068±0.0436,0.5760±0.0410,0.5171±0.0472,0.7811±0.0250,0.7670±0.0229,0.7392±0.0262,0.6542±0.0507,0.4393±0.0357,0.4432±0.0431,0.5014±0.0648,0.6152±0.0970,0.8399±0.0114,0.8372±0.0136,0.8188±0.0192,0.7850±0.0297,0.2717±0.0193,0.2752±0.0259,0.3025±0.0325,0.3469±0.0460,0.1443±0.0114,0.1455±0.0135,0.1647±0.0211,0.2025±0.0321
PreOrder__Subset__2,0.8428±0.0350,0.8217±0.0383,0.7853±0.0425,0.7299±0.0489,0.8921±0.0134,0.8849±0.0140,0.8643±0.0184,0.8224±0.0268,0.6292±0.0426,0.6068±0.0436,0.5760±0.0410,0.5171±0.0472,0.7811±0.0250,0.7670±0.0229,0.7392±0.0262,0.6542±0.0507,0.4393±0.0357,0.4432±0.0431,0.5014±0.0648,0.6152±0.0970,0.8399±0.0114,0.8372±0.0136,0.8188±0.0192,0.7850±0.0297,0.2717±0.0193,0.2752±0.0259,0.3025±0.0325,0.3469±0.0460,0.1443±0.0114,0.1455±0.0135,0.1647±0.0211,0.2025±0.0321
PreOrder__Subset__None,0.8428±0.0350,0.8217±0.0383,0.7853±0.0425,0.7299±0.0489,0.8921±0.0134,0.8849±0.0140,0.8643±0.0184,0.8224±0.0268,0.6292±0.0426,0.6068±0.0436,0.5760±0.0410,0.5171±0.0472,0.7811±0.0250,0.7670±0.0229,0.7392±0.0262,0.6542±0.0507,0.4393±0.0357,0.4432±0.0431,0.5014±0.0648,0.6152±0.0970,0.8399±0.0114,0.8372±0.0136,0.8188±0.0192,0.7850±0.0297,0.2717±0.0193,0.2752±0.0259,0.3025±0.0325,0.3469±0.0460,0.1443±0.0114,0.1455±0.0135,0.1647±0.0211,0.2025±0.0321
br,0.8428±0.0350,0.7919±0.0368,0.7634±0.0477,0.7264±0.0534,0.8921±0.0134,0.8767±0.0119,0.8580±0.0180,0.8167±0.0284,0.6292±0.0426,0.5841±0.0327,0.5577±0.0330,0.5178±0.0517,0.7811±0.0250,0.7605±0.0238,0.7247±0.0354,0.6405±0.0498,0.4393±0.0357,0.4687±0.0513,0.5276±0.0454,0.6240±0.0881,0.8399±0.0114,0.8295±0.0169,0.8100±0.0167,0.7803±0.0257,0.2717±0.0193,0.2887±0.0341,0.3145±0.0318,0.3576±0.0438,0.1443±0.0114,0.1541±0.0156,0.1735±0.0146,0.2055±0.0290
cc,0.8356±0.0374,0.8053±0.0360,0.7614±0.0481,0.7231±0.0488,0.8951±0.0123,0.8801±0.0162,0.8605±0.0205,0.8177±0.0233,0.6342±0.0380,0.5875±0.0261,0.5637±0.0311,0.5141±0.0349,0.7844±0.0230,0.7644±0.0271,0.7322±0.0320,0.6525±0.0350,0.4201±0.0332,0.4698±0.0589,0.5007±0.0664,0.6294±0.0853,0.8444±0.0125,0.8288±0.0184,0.8199±0.0222,0.7796±0.0265,0.2640±0.0232,0.2894±0.0337,0.2995±0.0373,0.3537±0.0414,0.1379±0.0095,0.1543±0.0190,0.1645±0.0224,0.2074±0.0283
