,PartialOrder__Hamming__2,PartialOrder__Hamming__None,PartialOrder__Subset__2,PartialOrder__Subset__None,PreOrder__Hamming__2,PreOrder__Hamming__None,PreOrder__Subset__2,PreOrder__Subset__None,br,cc,clr,ecc,lp,mlknn
PartialOrder__Hamming__2,1.0,0.9999905817962828,0.9999999997022853,0.9999388186168536,0.6213692419263186,0.9635873619835709,0.25099429041743515,0.9989366386561562,0.9999999999999978,0.9999999997022853,0.9997990318849446,0.9999999999999978,0.7476495877387992,0.8798852374795941
PartialOrder__Hamming__None,0.9999905817962828,1.0,0.9999999916402995,0.9999999999999978,0.17803546244937374,0.6213692419263186,0.03838582327881179,0.904435500537061,0.9999388186168536,0.9994304270851965,0.9999999999969489,0.9999388186168536,0.26760109203991544,0.42187906883600523
PartialOrder__Subset__2,0.9999999997022853,0.9999999916402995,1.0,0.9999997601718112,0.4008046928405046,0.8662735320762012,0.12165239270087158,0.9875240026372438,0.9999999787302003,0.9999982412543745,0.9999982412543745,0.9999999787302003,0.5318137731112567,0.7073906644652708
PartialOrder__Subset__None,0.9999388186168536,0.9999999999999978,0.9999997601718112,1.0,0.13166261418706426,0.5318137731112567,0.02574768462765753,0.8517792631878888,0.9997112677594805,0.9981107738071993,1.0,0.9997112677594805,0.2051897386198851,0.34035006873809137
PreOrder__Hamming__2,0.6213692419263186,0.17803546244937374,0.4008046928405046,0.13166261418706426,1.0,0.9999905817962828,0.999999514605018,0.9967908374888784,0.7073906644652708,0.8202124659188528,0.10341407454071638,0.7073906644652708,0.9999999999995828,0.9999999787302003
PreOrder__Hamming__None,0.9635873619835709,0.6213692419263186,0.8662735320762012,0.5318137731112567,0.9999905817962828,1.0,0.994767017559539,0.9999998869625356,0.9816543100839611,0.994767017559539,0.4651166784152555,0.9816543100839611,0.9999997601718112,0.999999999922727
PreOrder__Subset__2,0.25099429041743515,0.03838582327881179,0.12165239270087158,0.02574768462765753,0.999999514605018,0.994767017559539,1.0,0.9153793148254069,0.3212582042915939,0.44333466887770245,0.018838359625398482,0.3212582042915939,0.9999844263185558,0.9995915124698332
PreOrder__Subset__None,0.9989366386561562,0.904435500537061,0.9875240026372438,0.8517792631878888,0.9967908374888784,0.9999998869625356,0.9153793148254069,1.0,0.9997112677594805,0.9999748732092666,0.8031927740413913,0.9997112677594805,0.9994304270851965,0.9999748732092666
br,0.9999999999999978,0.9999388186168536,0.9999999787302003,0.9997112677594805,0.7073906644652708,0.9816543100839611,0.3212582042915939,0.9997112677594805,1.0,0.9999999999995828,0.9992166671806773,1.0,0.8202124659188528,0.9254505839929961
cc,0.9999999997022853,0.9994304270851965,0.9999982412543745,0.9981107738071993,0.8202124659188528,0.994767017559539,0.44333466887770245,0.9999748732092666,0.9999999999995828,1.0,0.9958819669439543,0.9999999999995828,0.904435500537061,0.9690125423075124
clr,0.9997990318849446,0.9999999999969489,0.9999982412543745,1.0,0.10341407454071638,0.4651166784152555,0.018838359625398482,0.8031927740413913,0.9992166671806773,0.9958819669439543,1.0,0.9992166671806773,0.16546468171002138,0.28485955398145046
ecc,0.9999999999999978,0.9999388186168536,0.9999999787302003,0.9997112677594805,0.7073906644652708,0.9816543100839611,0.3212582042915939,0.9997112677594805,1.0,0.9999999999995828,0.9992166671806773,1.0,0.8202124659188528,0.9254505839929961
lp,0.7476495877387992,0.26760109203991544,0.5318137731112567,0.2051897386198851,0.9999999999995828,0.9999997601718112,0.9999844263185558,0.9994304270851965,0.8202124659188528,0.904435500537061,0.16546468171002138,0.8202124659188528,1.0,0.9999999999829716
mlknn,0.8798852374795941,0.42187906883600523,0.7073906644652708,0.34035006873809137,0.9999999787302003,0.999999999922727,0.9995915124698332,0.9999748732092666,0.9254505839929961,0.9690125423075124,0.28485955398145046,0.9254505839929961,0.9999999999829716,1.0
