,PartialOrder__Hamming__2,PartialOrder__Hamming__None,PartialOrder__Subset__2,PartialOrder__Subset__None,PreOrder__Hamming__2,PreOrder__Hamming__None,PreOrder__Subset__2,PreOrder__Subset__None,br,cc,clr,ecc,lp,mlknn
PartialOrder__Hamming__2,1.0,0.9999905817962828,1.0,0.9999997601718112,0.9999999997022853,0.9898314189634262,0.9999603737648747,0.977999276231552,0.4871661863379778,0.6213692419263186,0.018838359625398482,0.665113714458678,0.993412019440266,0.993412019440266
PartialOrder__Hamming__None,0.9999905817962828,1.0,0.9999905817962828,0.9999999999995828,0.9994304270851965,0.9999968271609319,0.9738010855703088,0.9999748732092666,0.11224263012656566,0.17803546244937374,0.0012196257645202824,0.2051897386198851,0.9999990582611465,0.8031927740413913
PartialOrder__Subset__2,1.0,0.9999905817962828,1.0,0.9999997601718112,0.9999999997022853,0.9898314189634262,0.9999603737648747,0.977999276231552,0.4871661863379778,0.6213692419263186,0.018838359625398482,0.665113714458678,0.993412019440266,0.993412019440266
PartialOrder__Subset__None,0.9999997601718112,0.9999999999995828,0.9999997601718112,1.0,0.9999388186168536,0.9999388186168536,0.9917800457531145,0.9997112677594805,0.17803546244937374,0.26760109203991544,0.002633534062933429,0.3027525196037477,0.9999748732092666,0.8926061973377406
PreOrder__Hamming__2,0.9999999997022853,0.9994304270851965,0.9999999997022853,0.9999388186168536,1.0,0.9430586072825576,0.9999998869625356,0.904435500537061,0.7073906644652708,0.8202124659188528,0.05110500189348255,0.8517792631878888,0.9574809186251434,0.9995915124698332
PreOrder__Hamming__None,0.9898314189634262,0.9999968271609319,0.9898314189634262,0.9999388186168536,0.9430586072825576,1.0,0.7073906644652708,0.9999999999999978,0.015204362605239607,0.02850415934017192,6.196068596697746e-05,0.03480400222536839,1.0,0.35999673810951527
PreOrder__Subset__2,0.9999603737648747,0.9738010855703088,0.9999603737648747,0.9917800457531145,0.9999998869625356,0.7073906644652708,1.0,0.6213692419263186,0.9430586072825576,0.977999276231552,0.1912751188151609,0.9848135790459124,0.7476495877387992,0.9999998869625356
PreOrder__Subset__None,0.977999276231552,0.9999748732092666,0.977999276231552,0.9997112677594805,0.904435500537061,0.9999999999999978,0.6213692419263186,1.0,0.009765539145886182,0.018838359625398482,3.347147368493175e-05,0.02322920779196591,0.9999999999995828,0.28485955398145046
br,0.4871661863379778,0.11224263012656566,0.4871661863379778,0.17803546244937374,0.7073906644652708,0.015204362605239607,0.9430586072825576,0.009765539145886182,1.0,0.9999999999995828,0.993412019440266,0.9999999999829716,0.018838359625398482,0.9975245186835158
cc,0.6213692419263186,0.17803546244937374,0.6213692419263186,0.26760109203991544,0.8202124659188528,0.02850415934017192,0.977999276231552,0.018838359625398482,0.9999999999995828,1.0,0.977999276231552,1.0,0.03480400222536839,0.9995915124698332
clr,0.018838359625398482,0.0012196257645202824,0.018838359625398482,0.002633534062933429,0.05110500189348255,6.196068596697746e-05,0.1912751188151609,3.347147368493175e-05,0.993412019440266,0.977999276231552,1.0,0.9690125423075124,8.38262427971248e-05,0.4871661863379778
ecc,0.665113714458678,0.2051897386198851,0.665113714458678,0.3027525196037477,0.8517792631878888,0.03480400222536839,0.9848135790459124,0.02322920779196591,0.9999999999829716,1.0,0.9690125423075124,1.0,0.042282471135990485,0.9997990318849446
lp,0.993412019440266,0.9999990582611465,0.993412019440266,0.9999748732092666,0.9574809186251434,1.0,0.7476495877387992,0.9999999999995828,0.018838359625398482,0.03480400222536839,8.38262427971248e-05,0.042282471135990485,1.0,0.4008046928405046
mlknn,0.993412019440266,0.8031927740413913,0.993412019440266,0.8926061973377406,0.9995915124698332,0.35999673810951527,0.9999998869625356,0.28485955398145046,0.9975245186835158,0.9995915124698332,0.4871661863379778,0.9997990318849446,0.4008046928405046,1.0
