,PartialOrder__Hamming__2,PartialOrder__Hamming__None,PartialOrder__Subset__2,PartialOrder__Subset__None,PreOrder__Hamming__2,PreOrder__Hamming__None,PreOrder__Subset__2,PreOrder__Subset__None,br,cc,clr,ecc,lp,mlknn
PartialOrder__Hamming__2,1.0,0.9999999997022853,0.9999999999995828,0.9999944539027681,0.7278048800674135,0.9153793148254069,0.9917800457531145,0.8517792631878888,0.006922355251739565,0.001390203355165598,0.9153793148254069,0.0015829973677482512,0.5542770893980762,0.9506510076394046
PartialOrder__Hamming__None,0.9999999997022853,1.0,0.9999999999999978,0.9999999969648584,0.5094205407151863,0.7668648862211358,0.9506510076394046,0.665113714458678,0.00204608855044619,0.00035866488246716344,0.7668648862211358,0.00041256244528586894,0.34035006873809137,0.8364179611477944
PartialOrder__Subset__2,0.9999999999995828,0.9999999999999978,1.0,0.9999998869625356,0.5991280490098098,0.8364179611477944,0.9738010855703088,0.7476495877387992,0.0033752216829040504,0.0006241669942976813,0.8364179611477944,0.0007151011561215004,0.42187906883600523,0.8926061973377406
PartialOrder__Subset__None,0.9999944539027681,0.9999999969648584,0.9999998869625356,1.0,0.26760109203991544,0.5094205407151863,0.8031927740413913,0.4008046928405046,0.00041256244528586894,6.196068596697746e-05,0.5094205407151863,7.21030938759526e-05,0.1535537635198505,0.5991280490098098
PreOrder__Hamming__2,0.7278048800674135,0.5094205407151863,0.5991280490098098,0.26760109203991544,1.0,0.9999999969648584,0.9999603737648747,0.9999999999969489,0.8517792631878888,0.5991280490098098,0.9999999969648584,0.6213692419263186,0.9999999999829716,0.9999998869625356
PreOrder__Hamming__None,0.9153793148254069,0.7668648862211358,0.8364179611477944,0.5094205407151863,0.9999999969648584,1.0,0.9999999787302003,0.9999999999999605,0.6213692419263186,0.34035006873809137,1.0,0.35999673810951527,0.9999982412543745,0.9999999999999978
PreOrder__Subset__2,0.9917800457531145,0.9506510076394046,0.9738010855703088,0.8031927740413913,0.9999603737648747,0.9999999787302003,1.0,0.9999990582611465,0.3212582042915939,0.13166261418706426,0.9999999787302003,0.14229106593968943,0.9992166671806773,0.9999999997022853
PreOrder__Subset__None,0.8517792631878888,0.665113714458678,0.7476495877387992,0.4008046928405046,0.9999999999969489,0.9999999999999605,0.9999990582611465,1.0,0.7278048800674135,0.44333466887770245,0.9999999999999605,0.4651166784152555,0.9999999494723731,0.999999999922727
br,0.006922355251739565,0.00204608855044619,0.0033752216829040504,0.00041256244528586894,0.8517792631878888,0.6213692419263186,0.3212582042915939,0.7278048800674135,1.0,0.9999999916402995,0.6213692419263186,0.9999999969648584,0.9430586072825576,0.5318137731112567
cc,0.001390203355165598,0.00035866488246716344,0.0006241669942976813,6.196068596697746e-05,0.5991280490098098,0.34035006873809137,0.13166261418706426,0.44333466887770245,0.9999999916402995,1.0,0.34035006873809137,1.0,0.7668648862211358,0.26760109203991544
clr,0.9153793148254069,0.7668648862211358,0.8364179611477944,0.5094205407151863,0.9999999969648584,1.0,0.9999999787302003,0.9999999999999605,0.6213692419263186,0.34035006873809137,1.0,0.35999673810951527,0.9999982412543745,0.9999999999999978
ecc,0.0015829973677482512,0.00041256244528586894,0.0007151011561215004,7.21030938759526e-05,0.6213692419263186,0.35999673810951527,0.14229106593968943,0.4651166784152555,0.9999999969648584,1.0,0.35999673810951527,1.0,0.7853957753690319,0.28485955398145046
lp,0.5542770893980762,0.34035006873809137,0.42187906883600523,0.1535537635198505,0.9999999999829716,0.9999982412543745,0.9992166671806773,0.9999999494723731,0.9430586072825576,0.7668648862211358,0.9999982412543745,0.7853957753690319,1.0,0.9999844263185558
mlknn,0.9506510076394046,0.8364179611477944,0.8926061973377406,0.5991280490098098,0.9999998869625356,0.9999999999999978,0.9999999997022853,0.999999999922727,0.5318137731112567,0.26760109203991544,0.9999999999999978,0.28485955398145046,0.9999844263185558,1.0
