,PartialOrder__Hamming__2,PartialOrder__Hamming__None,PartialOrder__Subset__2,PartialOrder__Subset__None,PreOrder__Hamming__2,PreOrder__Hamming__None,PreOrder__Subset__2,PreOrder__Subset__None,br,cc,clr,ecc,lp,mlknn
PartialOrder__Hamming__2,1.0,1.0,0.999999514605018,1.0,0.9999999999995828,0.8926061973377406,0.999999514605018,0.8662735320762012,0.9985742647247772,0.9848135790459124,0.02322920779196591,0.9997990318849446,0.9999073889320093,0.9430586072825576
PartialOrder__Hamming__None,1.0,1.0,0.9999982412543745,0.9999999999999978,0.9999999999999978,0.9153793148254069,0.9999982412543745,0.8926061973377406,0.9975245186835158,0.977999276231552,0.018838359625398482,0.9995915124698332,0.9997990318849446,0.9254505839929961
PartialOrder__Subset__2,0.999999514605018,0.9999982412543745,1.0,0.9999998869625356,0.9999844263185558,0.5542770893980762,1.0,0.5094205407151863,0.999999514605018,0.9999073889320093,0.12165239270087158,0.9999999969648584,0.9999999997022853,0.9985742647247772
PartialOrder__Subset__None,1.0,0.9999999999999978,0.9999998869625356,1.0,0.9999999999829716,0.8662735320762012,0.9999998869625356,0.8364179611477944,0.9992166671806773,0.9898314189634262,0.02850415934017192,0.9999073889320093,0.9999603737648747,0.9574809186251434
PreOrder__Hamming__2,0.9999999999995828,0.9999999999999978,0.9999844263185558,0.9999999999829716,1.0,0.9506510076394046,0.9999844263185558,0.9346686211151921,0.993412019440266,0.9574809186251434,0.012213559769016724,0.9985742647247772,0.9992166671806773,0.8798852374795941
PreOrder__Hamming__None,0.8926061973377406,0.9153793148254069,0.5542770893980762,0.8662735320762012,0.9506510076394046,1.0,0.5542770893980762,1.0,0.2051897386198851,0.09514625666984788,7.930580060988568e-06,0.3027525196037477,0.34035006873809137,0.04651498158028311
PreOrder__Subset__2,0.999999514605018,0.9999982412543745,1.0,0.9999998869625356,0.9999844263185558,0.5542770893980762,1.0,0.5094205407151863,0.999999514605018,0.9999073889320093,0.12165239270087158,0.9999999969648584,0.9999999997022853,0.9985742647247772
PreOrder__Subset__None,0.8662735320762012,0.8926061973377406,0.5094205407151863,0.8364179611477944,0.9346686211151921,1.0,0.5094205407151863,1.0,0.17803546244937374,0.08020635130393916,5.700912591999341e-06,0.26760109203991544,0.3027525196037477,0.03838582327881179
br,0.9985742647247772,0.9975245186835158,0.999999514605018,0.9992166671806773,0.993412019440266,0.2051897386198851,0.999999514605018,0.17803546244937374,1.0,0.9999999997022853,0.4008046928405046,0.9999999999995828,0.9999999999829716,0.999999514605018
cc,0.9848135790459124,0.977999276231552,0.9999073889320093,0.9898314189634262,0.9574809186251434,0.09514625666984788,0.9999073889320093,0.08020635130393916,0.9999999997022853,1.0,0.6213692419263186,0.9999998869625356,0.999999514605018,0.9999999999829716
clr,0.02322920779196591,0.018838359625398482,0.12165239270087158,0.02850415934017192,0.012213559769016724,7.930580060988568e-06,0.12165239270087158,5.700912591999341e-06,0.4008046928405046,0.6213692419263186,1.0,0.28485955398145046,0.25099429041743515,0.7853957753690319
ecc,0.9997990318849446,0.9995915124698332,0.9999999969648584,0.9999073889320093,0.9985742647247772,0.3027525196037477,0.9999999969648584,0.26760109203991544,0.9999999999995828,0.9999998869625356,0.28485955398145046,1.0,1.0,0.9999844263185558
lp,0.9999073889320093,0.9997990318849446,0.9999999997022853,0.9999603737648747,0.9992166671806773,0.34035006873809137,0.9999999997022853,0.3027525196037477,0.9999999999829716,0.999999514605018,0.25099429041743515,1.0,1.0,0.9999603737648747
mlknn,0.9430586072825576,0.9254505839929961,0.9985742647247772,0.9574809186251434,0.8798852374795941,0.04651498158028311,0.9985742647247772,0.03838582327881179,0.999999514605018,0.9999999999829716,0.7853957753690319,0.9999844263185558,0.9999603737648747,1.0
