,PartialOrder__Hamming__2,PartialOrder__Hamming__None,PartialOrder__Subset__2,PartialOrder__Subset__None,PreOrder__Hamming__2,PreOrder__Hamming__None,PreOrder__Subset__2,PreOrder__Subset__None,br,cc,clr,ecc,lp,mlknn
PartialOrder__Hamming__2,1.0,0.9999905817962828,0.9999999999829716,0.9999748732092666,0.9997990318849446,0.9997990318849446,0.9999073889320093,0.9992166671806773,0.26760109203991544,0.26760109203991544,0.013635141678232654,0.06724390012647263,0.9999999969648584,0.7073906644652708
PartialOrder__Hamming__None,0.9999905817962828,1.0,0.9997112677594805,1.0,0.9506510076394046,0.9506510076394046,0.9635873619835709,0.9153793148254069,0.7476495877387992,0.7476495877387992,0.12165239270087158,0.35999673810951527,0.9989366386561562,0.9816543100839611
PartialOrder__Subset__2,0.9999999999829716,0.9997112677594805,1.0,0.9994304270851965,0.9999944539027681,0.9999944539027681,0.9999982412543745,0.9999603737648747,0.1535537635198505,0.1535537635198505,0.005472479302593758,0.03151665331235953,0.9999999999999978,0.5318137731112567
PartialOrder__Subset__None,0.9999748732092666,1.0,0.9994304270851965,1.0,0.9346686211151921,0.9346686211151921,0.9506510076394046,0.8926061973377406,0.7853957753690319,0.7853957753690319,0.14229106593968943,0.4008046928405046,0.9981107738071993,0.9875240026372438
PreOrder__Hamming__2,0.9997990318849446,0.9506510076394046,0.9999944539027681,0.9346686211151921,1.0,1.0,1.0,0.9999999999999978,0.020931544274429448,0.020931544274429448,0.00031150086762454787,0.002633534062933429,0.999999514605018,0.14229106593968943
PreOrder__Hamming__None,0.9997990318849446,0.9506510076394046,0.9999944539027681,0.9346686211151921,1.0,1.0,1.0,0.9999999999999978,0.020931544274429448,0.020931544274429448,0.00031150086762454787,0.002633534062933429,0.999999514605018,0.14229106593968943
PreOrder__Subset__2,0.9999073889320093,0.9635873619835709,0.9999982412543745,0.9506510076394046,1.0,1.0,1.0,0.9999999999995828,0.02574768462765753,0.02574768462765753,0.00041256244528586894,0.0033752216829040504,0.9999998869625356,0.16546468171002138
PreOrder__Subset__None,0.9992166671806773,0.9153793148254069,0.9999603737648747,0.8926061973377406,0.9999999999999978,0.9999999999999978,0.9999999999995828,1.0,0.013635141678232654,0.013635141678232654,0.00017550464692950296,0.0015829973677482512,0.9999944539027681,0.10341407454071638
br,0.26760109203991544,0.7476495877387992,0.1535537635198505,0.7853957753690319,0.020931544274429448,0.020931544274429448,0.02574768462765753,0.013635141678232654,1.0,1.0,0.9992166671806773,0.999999514605018,0.11224263012656566,0.9999968271609319
cc,0.26760109203991544,0.7476495877387992,0.1535537635198505,0.7853957753690319,0.020931544274429448,0.020931544274429448,0.02574768462765753,0.013635141678232654,1.0,1.0,0.9992166671806773,0.999999514605018,0.11224263012656566,0.9999968271609319
clr,0.013635141678232654,0.12165239270087158,0.005472479302593758,0.14229106593968943,0.00031150086762454787,0.00031150086762454787,0.00041256244528586894,0.00017550464692950296,0.9992166671806773,0.9992166671806773,1.0,0.9999998869625356,0.0033752216829040504,0.9346686211151921
ecc,0.06724390012647263,0.35999673810951527,0.03151665331235953,0.4008046928405046,0.002633534062933429,0.002633534062933429,0.0033752216829040504,0.0015829973677482512,0.999999514605018,0.999999514605018,0.9999998869625356,1.0,0.020931544274429448,0.9967908374888784
lp,0.9999999969648584,0.9989366386561562,0.9999999999999978,0.9981107738071993,0.999999514605018,0.999999514605018,0.9999998869625356,0.9999944539027681,0.11224263012656566,0.11224263012656566,0.0033752216829040504,0.020931544274429448,1.0,0.44333466887770245
mlknn,0.7073906644652708,0.9816543100839611,0.5318137731112567,0.9875240026372438,0.14229106593968943,0.14229106593968943,0.16546468171002138,0.10341407454071638,0.9999968271609319,0.9999968271609319,0.9346686211151921,0.9967908374888784,0.44333466887770245,1.0
