,PartialOrder__Hamming__2,PartialOrder__Hamming__None,PartialOrder__Subset__2,PartialOrder__Subset__None,PreOrder__Hamming__2,PreOrder__Hamming__None,PreOrder__Subset__2,PreOrder__Subset__None,br,cc,clr,ecc,lp,mlknn
PartialOrder__Hamming__2,1.0,0.999999514605018,0.9999999999999978,0.9999999997022853,0.999999514605018,0.9958819669439543,0.9997990318849446,0.993412019440266,0.9999999999829716,0.9999999999829716,0.12165239270087158,1.0,0.8517792631878888,0.9999073889320093
PartialOrder__Hamming__None,0.999999514605018,1.0,0.9999944539027681,0.9999999999829716,0.9985742647247772,0.9999944539027681,0.977999276231552,0.9999844263185558,0.9999603737648747,0.9999603737648747,0.02322920779196591,0.9999982412543745,0.9898314189634262,0.9999999997022853
PartialOrder__Subset__2,0.9999999999999978,0.9999944539027681,1.0,0.9999999787302003,0.9999999787302003,0.9898314189634262,0.9999603737648747,0.9848135790459124,0.9999999999999978,0.9999999999999978,0.16546468171002138,1.0,0.7853957753690319,0.9995915124698332
PartialOrder__Subset__None,0.9999999997022853,0.9999999999829716,0.9999999787302003,1.0,0.9999073889320093,0.9997990318849446,0.9958819669439543,0.9995915124698332,0.999999514605018,0.999999514605018,0.05110500189348255,0.9999999969648584,0.9574809186251434,0.999999514605018
PreOrder__Hamming__2,0.999999514605018,0.9985742647247772,0.9999999787302003,0.9999073889320093,1.0,0.904435500537061,0.9999999969648584,0.8798852374795941,0.9999999997022853,0.9999999997022853,0.4008046928405046,0.9999998869625356,0.4871661863379778,0.9848135790459124
PreOrder__Hamming__None,0.9958819669439543,0.9999944539027681,0.9898314189634262,0.9997990318849446,0.904435500537061,1.0,0.7073906644652708,1.0,0.977999276231552,0.977999276231552,0.0018006517478416084,0.993412019440266,0.9999944539027681,0.9999999969648584
PreOrder__Subset__2,0.9997990318849446,0.977999276231552,0.9999603737648747,0.9958819669439543,0.9999999969648584,0.7073906644652708,1.0,0.665113714458678,0.9999944539027681,0.9999944539027681,0.665113714458678,0.9999073889320093,0.25099429041743515,0.904435500537061
PreOrder__Subset__None,0.993412019440266,0.9999844263185558,0.9848135790459124,0.9995915124698332,0.8798852374795941,1.0,0.665113714458678,1.0,0.9690125423075124,0.9690125423075124,0.001390203355165598,0.9898314189634262,0.9999982412543745,0.9999999787302003
br,0.9999999999829716,0.9999603737648747,0.9999999999999978,0.999999514605018,0.9999999997022853,0.977999276231552,0.9999944539027681,0.9690125423075124,1.0,1.0,0.21978219162798152,0.9999999999995828,0.7073906644652708,0.9985742647247772
cc,0.9999999999829716,0.9999603737648747,0.9999999999999978,0.999999514605018,0.9999999997022853,0.977999276231552,0.9999944539027681,0.9690125423075124,1.0,1.0,0.21978219162798152,0.9999999999995828,0.7073906644652708,0.9985742647247772
clr,0.12165239270087158,0.02322920779196591,0.16546468171002138,0.05110500189348255,0.4008046928405046,0.0018006517478416084,0.665113714458678,0.001390203355165598,0.21978219162798152,0.21978219162798152,1.0,0.14229106593968943,8.38262427971248e-05,0.0077724816297968236
ecc,1.0,0.9999982412543745,1.0,0.9999999969648584,0.9999998869625356,0.993412019440266,0.9999073889320093,0.9898314189634262,0.9999999999995828,0.9999999999995828,0.14229106593968943,1.0,0.8202124659188528,0.9997990318849446
lp,0.8517792631878888,0.9898314189634262,0.7853957753690319,0.9574809186251434,0.4871661863379778,0.9999944539027681,0.25099429041743515,0.9999982412543745,0.7073906644652708,0.7073906644652708,8.38262427971248e-05,0.8202124659188528,1.0,0.9992166671806773
mlknn,0.9999073889320093,0.9999999997022853,0.9995915124698332,0.999999514605018,0.9848135790459124,0.9999999969648584,0.904435500537061,0.9999999787302003,0.9985742647247772,0.9985742647247772,0.0077724816297968236,0.9997990318849446,0.9992166671806773,1.0
