,PartialOrder__Hamming__2,PartialOrder__Hamming__None,PartialOrder__Subset__2,PartialOrder__Subset__None,PreOrder__Hamming__2,PreOrder__Hamming__None,PreOrder__Subset__2,PreOrder__Subset__None,br,cc,clr,ecc,lp,mlknn
PartialOrder__Hamming__2,1.0,0.9999999999995828,0.9999999999969489,0.9999999494723731,0.7278048800674135,0.7073906644652708,0.686471066532405,0.9430586072825576,0.00204608855044619,0.006922355251739565,7.21030938759526e-05,0.0005442489538346473,0.5542770893980762,0.23505184480831076
PartialOrder__Hamming__None,0.9999999999995828,1.0,1.0,0.999999999922727,0.5991280490098098,0.5767394235048646,0.5542770893980762,0.8798852374795941,0.0009357997397816398,0.0033752216829040504,2.8628445352563148e-05,0.0002342723104022948,0.42187906883600523,0.1535537635198505
PartialOrder__Subset__2,0.9999999999969489,1.0,1.0,0.9999999999829716,0.5767394235048646,0.5542770893980762,0.5318137731112567,0.8662735320762012,0.000818456431732395,0.0029830009976998806,2.4463367783944534e-05,0.000202869011248219,0.4008046928405046,0.14229106593968943
PartialOrder__Subset__None,0.9999999494723731,0.999999999922727,0.9999999999829716,1.0,0.4008046928405046,0.3801619723942722,0.35999673810951527,0.7278048800674135,0.0002702730302780454,0.0010688760521145868,6.727020908647852e-06,6.196068596697746e-05,0.25099429041743515,0.07348940567576567
PreOrder__Hamming__2,0.7278048800674135,0.5991280490098098,0.5767394235048646,0.4008046928405046,1.0,1.0,1.0,0.9999999494723731,0.665113714458678,0.8517792631878888,0.1912751188151609,0.44333466887770245,0.9999999999829716,0.9999844263185558
PreOrder__Hamming__None,0.7073906644652708,0.5767394235048646,0.5542770893980762,0.3801619723942722,1.0,1.0,1.0,0.9999998869625356,0.686471066532405,0.8662735320762012,0.2051897386198851,0.4651166784152555,0.9999999999969489,0.9999905817962828
PreOrder__Subset__2,0.686471066532405,0.5542770893980762,0.5318137731112567,0.35999673810951527,1.0,1.0,1.0,0.9999997601718112,0.7073906644652708,0.8798852374795941,0.21978219162798152,0.4871661863379778,0.9999999999995828,0.9999944539027681
PreOrder__Subset__None,0.9430586072825576,0.8798852374795941,0.8662735320762012,0.7278048800674135,0.9999999494723731,0.9999998869625356,0.9999997601718112,1.0,0.34035006873809137,0.5542770893980762,0.05607470701154926,0.17803546244937374,0.9999905817962828,0.9967908374888784
br,0.00204608855044619,0.0009357997397816398,0.000818456431732395,0.0002702730302780454,0.665113714458678,0.686471066532405,0.7073906644652708,0.34035006873809137,1.0,0.9999999997022853,0.9999844263185558,0.9999999997022853,0.8202124659188528,0.977999276231552
cc,0.006922355251739565,0.0033752216829040504,0.0029830009976998806,0.0010688760521145868,0.8517792631878888,0.8662735320762012,0.8798852374795941,0.5542770893980762,0.9999999997022853,1.0,0.9992166671806773,0.9999982412543745,0.9430586072825576,0.9975245186835158
clr,7.21030938759526e-05,2.8628445352563148e-05,2.4463367783944534e-05,6.727020908647852e-06,0.1912751188151609,0.2051897386198851,0.21978219162798152,0.05607470701154926,0.9999844263185558,0.9992166671806773,1.0,0.9999999787302003,0.3212582042915939,0.665113714458678
ecc,0.0005442489538346473,0.0002342723104022948,0.000202869011248219,6.196068596697746e-05,0.44333466887770245,0.4651166784152555,0.4871661863379778,0.17803546244937374,0.9999999997022853,0.9999982412543745,0.9999999787302003,1.0,0.6213692419263186,0.904435500537061
lp,0.5542770893980762,0.42187906883600523,0.4008046928405046,0.25099429041743515,0.9999999999829716,0.9999999999969489,0.9999999999995828,0.9999905817962828,0.8202124659188528,0.9430586072825576,0.3212582042915939,0.6213692419263186,1.0,0.9999998869625356
mlknn,0.23505184480831076,0.1535537635198505,0.14229106593968943,0.07348940567576567,0.9999844263185558,0.9999905817962828,0.9999944539027681,0.9967908374888784,0.977999276231552,0.9975245186835158,0.665113714458678,0.904435500537061,0.9999998869625356,1.0
