,PartialOrder__Hamming__2,PartialOrder__Hamming__None,PartialOrder__Subset__2,PartialOrder__Subset__None,PreOrder__Hamming__2,PreOrder__Hamming__None,PreOrder__Subset__2,PreOrder__Subset__None,br,cc,clr,ecc,lp,mlknn
PartialOrder__Hamming__2,1.0,0.9999748732092666,0.9999999999829716,0.9999388186168536,0.7476495877387992,0.9999748732092666,0.25099429041743515,0.9999388186168536,0.016934174540013225,0.013635141678232654,3.909726357054222e-05,0.03151665331235953,0.23505184480831076,0.03838582327881179
PartialOrder__Hamming__None,0.9999748732092666,1.0,0.9994304270851965,1.0,0.23505184480831076,0.9690125423075124,0.03151665331235953,0.9574809186251434,0.000818456431732395,0.0006241669942976813,6.106244073711409e-07,0.0018006517478416084,0.02850415934017192,0.0023225320242084013
PartialOrder__Subset__2,0.9999999999829716,0.9994304270851965,1.0,0.9989366386561562,0.8798852374795941,0.9999997601718112,0.4008046928405046,0.9999990582611465,0.03838582327881179,0.03151665331235953,0.00013097103884962547,0.06724390012647263,0.3801619723942722,0.08020635130393916
PartialOrder__Subset__None,0.9999388186168536,1.0,0.9989366386561562,1.0,0.2051897386198851,0.9574809186251434,0.02574768462765753,0.9430586072825576,0.0006241669942976813,0.00047408903612045084,4.2723715720782707e-07,0.001390203355165598,0.02322920779196591,0.0018006517478416084
PreOrder__Hamming__2,0.7476495877387992,0.23505184480831076,0.8798852374795941,0.2051897386198851,1.0,0.9917800457531145,0.9999844263185558,0.994767017559539,0.9346686211151921,0.9153793148254069,0.13166261418706426,0.9738010855703088,0.9999748732092666,0.9816543100839611
PreOrder__Hamming__None,0.9999748732092666,0.9690125423075124,0.9999997601718112,0.9574809186251434,0.9917800457531145,1.0,0.7668648862211358,1.0,0.16546468171002138,0.14229106593968943,0.001390203355165598,0.25099429041743515,0.7476495877387992,0.28485955398145046
PreOrder__Subset__2,0.25099429041743515,0.03151665331235953,0.4008046928405046,0.02574768462765753,0.9999844263185558,0.7668648862211358,1.0,0.8031927740413913,0.9997112677594805,0.9994304270851965,0.5542770893980762,0.9999748732092666,1.0,0.9999905817962828
PreOrder__Subset__None,0.9999388186168536,0.9574809186251434,0.9999990582611465,0.9430586072825576,0.994767017559539,1.0,0.8031927740413913,1.0,0.1912751188151609,0.16546468171002138,0.0018006517478416084,0.28485955398145046,0.7853957753690319,0.3212582042915939
br,0.016934174540013225,0.000818456431732395,0.03838582327881179,0.0006241669942976813,0.9346686211151921,0.16546468171002138,0.9997112677594805,0.1912751188151609,1.0,1.0,0.9848135790459124,0.9999999999995828,0.9997990318849446,0.9999999999829716
cc,0.013635141678232654,0.0006241669942976813,0.03151665331235953,0.00047408903612045084,0.9153793148254069,0.14229106593968943,0.9994304270851965,0.16546468171002138,1.0,1.0,0.9898314189634262,0.9999999999829716,0.9995915124698332,0.9999999997022853
clr,3.909726357054222e-05,6.106244073711409e-07,0.00013097103884962547,4.2723715720782707e-07,0.13166261418706426,0.001390203355165598,0.5542770893980762,0.0018006517478416084,0.9848135790459124,0.9898314189634262,1.0,0.9574809186251434,0.5767394235048646,0.9430586072825576
ecc,0.03151665331235953,0.0018006517478416084,0.06724390012647263,0.001390203355165598,0.9738010855703088,0.25099429041743515,0.9999748732092666,0.28485955398145046,0.9999999999995828,0.9999999999829716,0.9574809186251434,1.0,0.9999844263185558,1.0
lp,0.23505184480831076,0.02850415934017192,0.3801619723942722,0.02322920779196591,0.9999748732092666,0.7476495877387992,1.0,0.7853957753690319,0.9997990318849446,0.9995915124698332,0.5767394235048646,0.9999844263185558,1.0,0.9999944539027681
mlknn,0.03838582327881179,0.0023225320242084013,0.08020635130393916,0.0018006517478416084,0.9816543100839611,0.28485955398145046,0.9999905817962828,0.3212582042915939,0.9999999999829716,0.9999999997022853,0.9430586072825576,1.0,0.9999944539027681,1.0
