,PartialOrder__Hamming__2,PartialOrder__Hamming__None,PartialOrder__Subset__2,PartialOrder__Subset__None,PreOrder__Hamming__2,PreOrder__Hamming__None,PreOrder__Subset__2,PreOrder__Subset__None,br,cc,clr,ecc,lp,mlknn
PartialOrder__Hamming__2,1.0,0.9999844263185558,0.9999999999995828,0.9999603737648747,0.6213692419263186,0.9967908374888784,0.7853957753690319,0.9981107738071993,0.14229106593968943,0.012213559769016724,0.9997112677594805,0.010927476248342782,0.3027525196037477,0.7278048800674135
PartialOrder__Hamming__None,0.9999844263185558,1.0,0.9997990318849446,1.0,0.16546468171002138,0.8364179611477944,0.28485955398145046,0.8662735320762012,0.015204362605239607,0.0006241669942976813,0.9346686211151921,0.0005442489538346473,0.04651498158028311,0.23505184480831076
PartialOrder__Subset__2,0.9999999999995828,0.9997990318849446,1.0,0.9995915124698332,0.7476495877387992,0.9994304270851965,0.8798852374795941,0.9997112677594805,0.21978219162798152,0.02322920779196591,0.9999748732092666,0.020931544274429448,0.42187906883600523,0.8364179611477944
PartialOrder__Subset__None,0.9999603737648747,1.0,0.9995915124698332,1.0,0.14229106593968943,0.8031927740413913,0.25099429041743515,0.8364179611477944,0.012213559769016724,0.00047408903612045084,0.9153793148254069,0.00041256244528586894,0.03838582327881179,0.2051897386198851
PreOrder__Hamming__2,0.6213692419263186,0.16546468171002138,0.7476495877387992,0.14229106593968943,1.0,0.9989366386561562,0.9999999999829716,0.9981107738071993,0.9999603737648747,0.9574809186251434,0.9917800457531145,0.9506510076394046,0.9999999494723731,0.9999999999999605
PreOrder__Hamming__None,0.9967908374888784,0.8364179611477944,0.9994304270851965,0.8031927740413913,0.9989366386561562,1.0,0.9999388186168536,1.0,0.8662735320762012,0.34035006873809137,0.9999999999829716,0.3212582042915939,0.9690125423075124,0.9997990318849446
PreOrder__Subset__2,0.7853957753690319,0.28485955398145046,0.8798852374795941,0.25099429041743515,0.9999999999829716,0.9999388186168536,1.0,0.9998623848316938,0.9992166671806773,0.8798852374795941,0.9989366386561562,0.8662735320762012,0.9999905817962828,1.0
PreOrder__Subset__None,0.9981107738071993,0.8662735320762012,0.9997112677594805,0.8364179611477944,0.9981107738071993,1.0,0.9998623848316938,1.0,0.8364179611477944,0.3027525196037477,0.9999999999995828,0.28485955398145046,0.9574809186251434,0.9995915124698332
br,0.14229106593968943,0.015204362605239607,0.21978219162798152,0.012213559769016724,0.9999603737648747,0.8662735320762012,0.9992166671806773,0.8364179611477944,1.0,0.9999603737648747,0.7278048800674135,0.9999388186168536,0.9999999989956464,0.9997112677594805
cc,0.012213559769016724,0.0006241669942976813,0.02322920779196591,0.00047408903612045084,0.9574809186251434,0.34035006873809137,0.8798852374795941,0.3027525196037477,0.9999603737648747,1.0,0.2051897386198851,1.0,0.9981107738071993,0.9153793148254069
clr,0.9997112677594805,0.9346686211151921,0.9999748732092666,0.9153793148254069,0.9917800457531145,0.9999999999829716,0.9989366386561562,0.9999999999995828,0.7278048800674135,0.2051897386198851,1.0,0.1912751188151609,0.904435500537061,0.9975245186835158
ecc,0.010927476248342782,0.0005442489538346473,0.020931544274429448,0.00041256244528586894,0.9506510076394046,0.3212582042915939,0.8662735320762012,0.28485955398145046,0.9999388186168536,1.0,0.1912751188151609,1.0,0.9975245186835158,0.904435500537061
lp,0.3027525196037477,0.04651498158028311,0.42187906883600523,0.03838582327881179,0.9999999494723731,0.9690125423075124,0.9999905817962828,0.9574809186251434,0.9999999989956464,0.9981107738071993,0.904435500537061,0.9975245186835158,1.0,0.9999982412543745
mlknn,0.7278048800674135,0.23505184480831076,0.8364179611477944,0.2051897386198851,0.9999999999999605,0.9997990318849446,1.0,0.9995915124698332,0.9997112677594805,0.9153793148254069,0.9975245186835158,0.904435500537061,0.9999982412543745,1.0
