,PartialOrder__Hamming__2,PartialOrder__Hamming__None,PartialOrder__Subset__2,PartialOrder__Subset__None,PreOrder__Hamming__2,PreOrder__Hamming__None,PreOrder__Subset__2,PreOrder__Subset__None,br,cc,clr,ecc,lp,mlknn
PartialOrder__Hamming__2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9978828189701856,0.9999999806060301,0.7994878850730481,0.9999998837866665,0.9999999976525481,0.12598908668467823
PartialOrder__Hamming__None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9978828189701856,0.9999999806060301,0.7994878850730481,0.9999998837866665,0.9999999976525481,0.12598908668467823
PartialOrder__Subset__2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9978828189701856,0.9999999806060301,0.7994878850730481,0.9999998837866665,0.9999999976525481,0.12598908668467823
PartialOrder__Subset__None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9978828189701856,0.9999999806060301,0.7994878850730481,0.9999998837866665,0.9999999976525481,0.12598908668467823
PreOrder__Hamming__2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9978828189701856,0.9999999806060301,0.7994878850730481,0.9999998837866665,0.9999999976525481,0.12598908668467823
PreOrder__Hamming__None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9978828189701856,0.9999999806060301,0.7994878850730481,0.9999998837866665,0.9999999976525481,0.12598908668467823
PreOrder__Subset__2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9978828189701856,0.9999999806060301,0.7994878850730481,0.9999998837866665,0.9999999976525481,0.12598908668467823
PreOrder__Subset__None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9978828189701856,0.9999999806060301,0.7994878850730481,0.9999998837866665,0.9999999976525481,0.12598908668467823
br,0.9978828189701856,0.9978828189701856,0.9978828189701856,0.9978828189701856,0.9978828189701856,0.9978828189701856,0.9978828189701856,0.9978828189701856,1.0,0.9999877337512958,0.11567115692334529,0.9473140023555663,0.9730021267027414,0.8178328050353757
cc,0.9999999806060301,0.9999999806060301,0.9999999806060301,0.9999999806060301,0.9999999806060301,0.9999999806060301,0.9999999806060301,0.9999999806060301,0.9999877337512958,1.0,0.5069795502160834,0.9998039456288814,0.9999660211953777,0.3276530790996691
clr,0.7994878850730481,0.7994878850730481,0.7994878850730481,0.7994878850730481,0.7994878850730481,0.7994878850730481,0.7994878850730481,0.7994878850730481,0.11567115692334529,0.5069795502160834,1.0,0.9730021267027413,0.9473140023555662,5.509017984561826e-05
ecc,0.9999998837866665,0.9999998837866665,0.9999998837866665,0.9999998837866665,0.9999998837866665,0.9999998837866665,0.9999998837866665,0.9999998837866665,0.9473140023555663,0.9998039456288814,0.9730021267027413,1.0,0.9999999999999948,0.02969248738848984
lp,0.9999999976525481,0.9999999976525481,0.9999999976525481,0.9999999976525481,0.9999999976525481,0.9999999976525481,0.9999999976525481,0.9999999976525481,0.9730021267027414,0.9999660211953777,0.9473140023555662,0.9999999999999948,1.0,0.04512802594821186
mlknn,0.12598908668467823,0.12598908668467823,0.12598908668467823,0.12598908668467823,0.12598908668467823,0.12598908668467823,0.12598908668467823,0.12598908668467823,0.8178328050353757,0.3276530790996691,5.509017984561826e-05,0.02969248738848984,0.04512802594821186,1.0
