,PartialOrder__Hamming__2,PartialOrder__Hamming__None,PartialOrder__Subset__2,PartialOrder__Subset__None,PreOrder__Hamming__2,PreOrder__Hamming__None,PreOrder__Subset__2,PreOrder__Subset__None,br,cc,clr,ecc,lp,mlknn
PartialOrder__Hamming__2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9975245186835158,0.9254505839929961,0.06144670058040813,0.12165239270087158,0.9999999999999978,0.21978219162798152
PartialOrder__Hamming__None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9975245186835158,0.9254505839929961,0.06144670058040813,0.12165239270087158,0.9999999999999978,0.21978219162798152
PartialOrder__Subset__2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9975245186835158,0.9254505839929961,0.06144670058040813,0.12165239270087158,0.9999999999999978,0.21978219162798152
PartialOrder__Subset__None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9975245186835158,0.9254505839929961,0.06144670058040813,0.12165239270087158,0.9999999999999978,0.21978219162798152
PreOrder__Hamming__2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9975245186835158,0.9254505839929961,0.06144670058040813,0.12165239270087158,0.9999999999999978,0.21978219162798152
PreOrder__Hamming__None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9975245186835158,0.9254505839929961,0.06144670058040813,0.12165239270087158,0.9999999999999978,0.21978219162798152
PreOrder__Subset__2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9975245186835158,0.9254505839929961,0.06144670058040813,0.12165239270087158,0.9999999999999978,0.21978219162798152
PreOrder__Subset__None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9975245186835158,0.9254505839929961,0.06144670058040813,0.12165239270087158,0.9999999999999978,0.21978219162798152
br,0.9975245186835158,0.9975245186835158,0.9975245186835158,0.9975245186835158,0.9975245186835158,0.9975245186835158,0.9975245186835158,0.9975245186835158,1.0,0.21978219162798152,0.000818456431732395,0.0023225320242084013,0.993412019440266,0.9254505839929961
cc,0.9254505839929961,0.9254505839929961,0.9254505839929961,0.9254505839929961,0.9254505839929961,0.9254505839929961,0.9254505839929961,0.9254505839929961,0.21978219162798152,1.0,0.9430586072825576,0.9848135790459124,0.9574809186251434,0.0006241669942976813
clr,0.06144670058040813,0.06144670058040813,0.06144670058040813,0.06144670058040813,0.06144670058040813,0.06144670058040813,0.06144670058040813,0.06144670058040813,0.000818456431732395,0.9430586072825576,1.0,0.9999999999829716,0.08741773927893404,9.880623030866786e-08
ecc,0.12165239270087158,0.12165239270087158,0.12165239270087158,0.12165239270087158,0.12165239270087158,0.12165239270087158,0.12165239270087158,0.12165239270087158,0.0023225320242084013,0.9848135790459124,0.9999999999829716,1.0,0.16546468171002138,4.2723715720782707e-07
lp,0.9999999999999978,0.9999999999999978,0.9999999999999978,0.9999999999999978,0.9999999999999978,0.9999999999999978,0.9999999999999978,0.9999999999999978,0.993412019440266,0.9574809186251434,0.08741773927893404,0.16546468171002138,1.0,0.16546468171002138
mlknn,0.21978219162798152,0.21978219162798152,0.21978219162798152,0.21978219162798152,0.21978219162798152,0.21978219162798152,0.21978219162798152,0.21978219162798152,0.9254505839929961,0.0006241669942976813,9.880623030866786e-08,4.2723715720782707e-07,0.16546468171002138,1.0
