,PartialOrder__Hamming__2,PartialOrder__Hamming__None,PartialOrder__Subset__2,PartialOrder__Subset__None,PreOrder__Hamming__2,PreOrder__Hamming__None,PreOrder__Subset__2,PreOrder__Subset__None,br,cc,clr,ecc,lp,mlknn
PartialOrder__Hamming__2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999978,0.9999982412543745,0.5767394235048646,0.1912751188151609,0.7073906644652708,0.08741773927893404
PartialOrder__Hamming__None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999978,0.9999982412543745,0.5767394235048646,0.1912751188151609,0.7073906644652708,0.08741773927893404
PartialOrder__Subset__2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999978,0.9999982412543745,0.5767394235048646,0.1912751188151609,0.7073906644652708,0.08741773927893404
PartialOrder__Subset__None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999978,0.9999982412543745,0.5767394235048646,0.1912751188151609,0.7073906644652708,0.08741773927893404
PreOrder__Hamming__2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999978,0.9999982412543745,0.5767394235048646,0.1912751188151609,0.7073906644652708,0.08741773927893404
PreOrder__Hamming__None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999978,0.9999982412543745,0.5767394235048646,0.1912751188151609,0.7073906644652708,0.08741773927893404
PreOrder__Subset__2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999978,0.9999982412543745,0.5767394235048646,0.1912751188151609,0.7073906644652708,0.08741773927893404
PreOrder__Subset__None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999978,0.9999982412543745,0.5767394235048646,0.1912751188151609,0.7073906644652708,0.08741773927893404
br,0.9999999999999978,0.9999999999999978,0.9999999999999978,0.9999999999999978,0.9999999999999978,0.9999999999999978,0.9999999999999978,0.9999999999999978,1.0,0.9999998869625356,0.4871661863379778,0.14229106593968943,0.7853957753690319,0.12165239270087158
cc,0.9999982412543745,0.9999982412543745,0.9999982412543745,0.9999982412543745,0.9999982412543745,0.9999982412543745,0.9999982412543745,0.9999982412543745,0.9999998869625356,1.0,0.1912751188151609,0.03480400222536839,0.9690125423075124,0.35999673810951527
clr,0.5767394235048646,0.5767394235048646,0.5767394235048646,0.5767394235048646,0.5767394235048646,0.5767394235048646,0.5767394235048646,0.5767394235048646,0.4871661863379778,0.1912751188151609,1.0,0.9999982412543745,0.0010688760521145868,4.8269246730736626e-06
ecc,0.1912751188151609,0.1912751188151609,0.1912751188151609,0.1912751188151609,0.1912751188151609,0.1912751188151609,0.1912751188151609,0.1912751188151609,0.14229106593968943,0.03480400222536839,0.9999982412543745,1.0,6.196068596697746e-05,1.4324184316460986e-07
lp,0.7073906644652708,0.7073906644652708,0.7073906644652708,0.7073906644652708,0.7073906644652708,0.7073906644652708,0.7073906644652708,0.7073906644652708,0.7853957753690319,0.9690125423075124,0.0010688760521145868,6.196068596697746e-05,1.0,0.9985742647247772
mlknn,0.08741773927893404,0.08741773927893404,0.08741773927893404,0.08741773927893404,0.08741773927893404,0.08741773927893404,0.08741773927893404,0.08741773927893404,0.12165239270087158,0.35999673810951527,4.8269246730736626e-06,1.4324184316460986e-07,0.9985742647247772,1.0
