,PartialOrder__Hamming__2,PartialOrder__Hamming__None,PartialOrder__Subset__2,PartialOrder__Subset__None,PreOrder__Hamming__2,PreOrder__Hamming__None,PreOrder__Subset__2,PreOrder__Subset__None,br,cc,clr,ecc,lp,mlknn
PartialOrder__Hamming__2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999989956464,0.9997990318849446,0.9985742647247772,0.9997112677594805,0.5318137731112567,0.03480400222536839
PartialOrder__Hamming__None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999989956464,0.9997990318849446,0.9985742647247772,0.9997112677594805,0.5318137731112567,0.03480400222536839
PartialOrder__Subset__2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999989956464,0.9997990318849446,0.9985742647247772,0.9997112677594805,0.5318137731112567,0.03480400222536839
PartialOrder__Subset__None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999989956464,0.9997990318849446,0.9985742647247772,0.9997112677594805,0.5318137731112567,0.03480400222536839
PreOrder__Hamming__2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999989956464,0.9997990318849446,0.9985742647247772,0.9997112677594805,0.5318137731112567,0.03480400222536839
PreOrder__Hamming__None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999989956464,0.9997990318849446,0.9985742647247772,0.9997112677594805,0.5318137731112567,0.03480400222536839
PreOrder__Subset__2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999989956464,0.9997990318849446,0.9985742647247772,0.9997112677594805,0.5318137731112567,0.03480400222536839
PreOrder__Subset__None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999989956464,0.9997990318849446,0.9985742647247772,0.9997112677594805,0.5318137731112567,0.03480400222536839
br,0.9999999989956464,0.9999999989956464,0.9999999989956464,0.9999999989956464,0.9999999989956464,0.9999999989956464,0.9999999989956464,0.9999999989956464,1.0,0.9999990582611465,0.9816543100839611,0.993412019440266,0.7668648862211358,0.09514625666984788
cc,0.9997990318849446,0.9997990318849446,0.9997990318849446,0.9997990318849446,0.9997990318849446,0.9997990318849446,0.9997990318849446,0.9997990318849446,0.9999990582611465,1.0,0.7853957753690319,0.8662735320762012,0.977999276231552,0.35999673810951527
clr,0.9985742647247772,0.9985742647247772,0.9985742647247772,0.9985742647247772,0.9985742647247772,0.9985742647247772,0.9985742647247772,0.9985742647247772,0.9816543100839611,0.7853957753690319,1.0,0.9999999999999605,0.042282471135990485,0.00047408903612045084
ecc,0.9997112677594805,0.9997112677594805,0.9997112677594805,0.9997112677594805,0.9997112677594805,0.9997112677594805,0.9997112677594805,0.9997112677594805,0.993412019440266,0.8662735320762012,0.9999999999999605,1.0,0.06724390012647263,0.0009357997397816398
lp,0.5318137731112567,0.5318137731112567,0.5318137731112567,0.5318137731112567,0.5318137731112567,0.5318137731112567,0.5318137731112567,0.5318137731112567,0.7668648862211358,0.977999276231552,0.042282471135990485,0.06724390012647263,1.0,0.9975245186835158
mlknn,0.03480400222536839,0.03480400222536839,0.03480400222536839,0.03480400222536839,0.03480400222536839,0.03480400222536839,0.03480400222536839,0.03480400222536839,0.09514625666984788,0.35999673810951527,0.00047408903612045084,0.0009357997397816398,0.9975245186835158,1.0
