,PartialOrder__Hamming__2,PartialOrder__Hamming__None,PartialOrder__Subset__2,PartialOrder__Subset__None,PreOrder__Hamming__2,PreOrder__Hamming__None,PreOrder__Subset__2,PreOrder__Subset__None,br,cc,clr,ecc,lp,mlknn
PartialOrder__Hamming__2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998623848316938,0.9981107738071993,0.06724390012647263,0.13166261418706426,1.0,0.2051897386198851
PartialOrder__Hamming__None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998623848316938,0.9981107738071993,0.06724390012647263,0.13166261418706426,1.0,0.2051897386198851
PartialOrder__Subset__2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998623848316938,0.9981107738071993,0.06724390012647263,0.13166261418706426,1.0,0.2051897386198851
PartialOrder__Subset__None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998623848316938,0.9981107738071993,0.06724390012647263,0.13166261418706426,1.0,0.2051897386198851
PreOrder__Hamming__2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998623848316938,0.9981107738071993,0.06724390012647263,0.13166261418706426,1.0,0.2051897386198851
PreOrder__Hamming__None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998623848316938,0.9981107738071993,0.06724390012647263,0.13166261418706426,1.0,0.2051897386198851
PreOrder__Subset__2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998623848316938,0.9981107738071993,0.06724390012647263,0.13166261418706426,1.0,0.2051897386198851
PreOrder__Subset__None,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998623848316938,0.9981107738071993,0.06724390012647263,0.13166261418706426,1.0,0.2051897386198851
br,0.9998623848316938,0.9998623848316938,0.9998623848316938,0.9998623848316938,0.9998623848316938,0.9998623848316938,0.9998623848316938,0.9998623848316938,1.0,0.7853957753690319,0.0029830009976998806,0.0077724816297968236,0.9995915124698332,0.7853957753690319
cc,0.9981107738071993,0.9981107738071993,0.9981107738071993,0.9981107738071993,0.9981107738071993,0.9981107738071993,0.9981107738071993,0.9981107738071993,0.7853957753690319,1.0,0.665113714458678,0.8202124659188528,0.9992166671806773,0.00615830108418447
clr,0.06724390012647263,0.06724390012647263,0.06724390012647263,0.06724390012647263,0.06724390012647263,0.06724390012647263,0.06724390012647263,0.06724390012647263,0.0029830009976998806,0.665113714458678,1.0,0.9999999999829716,0.08741773927893404,9.880623030866786e-08
ecc,0.13166261418706426,0.13166261418706426,0.13166261418706426,0.13166261418706426,0.13166261418706426,0.13166261418706426,0.13166261418706426,0.13166261418706426,0.0077724816297968236,0.8202124659188528,0.9999999999829716,1.0,0.16546468171002138,4.2723715720782707e-07
lp,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995915124698332,0.9992166671806773,0.08741773927893404,0.16546468171002138,1.0,0.16546468171002138
mlknn,0.2051897386198851,0.2051897386198851,0.2051897386198851,0.2051897386198851,0.2051897386198851,0.2051897386198851,0.2051897386198851,0.2051897386198851,0.7853957753690319,0.00615830108418447,9.880623030866786e-08,4.2723715720782707e-07,0.16546468171002138,1.0
