Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,,,,,BinaryVector,hamming_accuracy,0.8992495471245645,0.0025457154461272003
LightGBM,,,,,BinaryVector,subset0_1,0.2086257514329652,0.018174264811419538
LightGBM,,,,,BinaryVector,f1,0.3351733624672715,0.021513605848626383
LightGBM,,,,,BinaryVector,jaccard,0.301910646141738,0.020380748896001392
LightGBM,,,,,BinaryVector,macro_f1,0.17898222312469625,0.01520923104778075
LightGBM,,,,,BinaryVector,micro_f1,0.37743390474471966,0.019578365493090104
LightGBM,,,,,BinaryVector,macro_precision,0.20166590706149892,0.016495112571888668
LightGBM,,,,,BinaryVector,micro_precision,0.3956021388856159,0.014423664435179194
LightGBM,,,,,BinaryVector,macro_recall,0.16981134790927405,0.015993772446396423
LightGBM,,,,,BinaryVector,micro_recall,0.36129873238889365,0.02605600822588377
LightGBM,,,,,BinaryVector,example_precision,0.3294107799024152,0.019428520280186982
LightGBM,,,,,BinaryVector,example_recall,0.37485899035714965,0.02365509622836329
LightGBM,,,,,BinaryVector,mfrd,0.9954587415594036,0.002385298776256959
LightGBM,,,,,BinaryVector,afrd,0.7710774001008078,0.01626833664480622
LightGBM,,,,,ScoreVector,ranking_loss,0.19238387970994336,0.010522378219089593
LightGBM,,,,,ScoreVector,one_error,0.5965940216744076,0.018189604369888313
LightGBM,,,,,ScoreVector,coverage,2.8970475998156693,0.16544811690310599
LightGBM,,,,,ScoreVector,lr_ap,0.565740513617621,0.015700568323276855
LightGBM,,,,,ScoreVector,auc_macro,0.6285917294526193,0.017872074052118464
LightGBM,,,,,ScoreVector,auc_micro,0.8020613094439305,0.012672172131363837
LightGBM,,,,,ScoreVector,auprc_macro,0.1831556679685414,0.014663711699864515
LightGBM,,,,,ScoreVector,auprc_micro,0.3442707157421634,0.023386649957286634
