Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LGBM,,,,,BinaryVector,hamming_accuracy,0.9083111241296619,0.002957833207860314
LGBM,,,,,BinaryVector,subset0_1,0.18995241571782884,0.009110797236474859
LGBM,,,,,BinaryVector,f1,0.2902009689450855,0.01597922191477763
LGBM,,,,,BinaryVector,jaccard,0.2642669397110424,0.014089655168687662
LGBM,,,,,BinaryVector,macro_f1,0.14988490064576557,0.014764558025647133
LGBM,,,,,BinaryVector,micro_f1,0.3619899404484955,0.01830665664068069
LGBM,,,,,BinaryVector,macro_precision,0.19548311749691175,0.02116399623777571
LGBM,,,,,BinaryVector,micro_precision,0.4403859104627765,0.018574062189873983
LGBM,,,,,BinaryVector,macro_recall,0.12975973529067625,0.012210472712563144
LGBM,,,,,BinaryVector,micro_recall,0.3073895275647149,0.01801967989387804
LGBM,,,,,BinaryVector,example_precision,0.29009285579908634,0.014970074699998018
LGBM,,,,,BinaryVector,example_recall,0.31589404773616525,0.019465468293401355
LGBM,,,,,BinaryVector,mfrd,0.9993506476393776,0.0007952927199559618
LGBM,,,,,BinaryVector,afrd,0.8271295773245582,0.01077697156130552
LGBM,,,,,ScoreVector,ranking_loss,0.19349433547520598,0.01462718114982785
LGBM,,,,,ScoreVector,one_error,0.5840279395850485,0.01086748436131495
LGBM,,,,,ScoreVector,coverage,2.9147604475718554,0.23052781914126327
LGBM,,,,,ScoreVector,lr_ap,0.5710663028081739,0.011555468488774435
LGBM,,,,,ScoreVector,auc_macro,0.6556293034178748,0.03344743247490199
LGBM,,,,,ScoreVector,auc_micro,0.802261921838678,0.013850965194762687
LGBM,,,,,ScoreVector,auprc_macro,0.17968302642684847,0.018559834594214814
LGBM,,,,,ScoreVector,auprc_micro,0.3495744054074941,0.018794761504337874
