Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,,,,,BinaryVector,hamming_accuracy,0.9018393511250654,0.0022178730783984427
LightGBM,,,,,BinaryVector,subset0_1,0.21573521716378857,0.02257917720108111
LightGBM,,,,,BinaryVector,f1,0.2352419326705041,0.014871505439192672
LightGBM,,,,,BinaryVector,jaccard,0.23031397174254317,0.016290477978881873
LightGBM,,,,,BinaryVector,macro_f1,0.15850116168227557,0.023632639233816914
LightGBM,,,,,BinaryVector,micro_f1,0.2949115873327721,0.01240600897946379
LightGBM,,,,,BinaryVector,macro_precision,0.24032514230671884,0.06788773378148341
LightGBM,,,,,BinaryVector,micro_precision,0.41640259153291287,0.013030295096742035
LightGBM,,,,,BinaryVector,macro_recall,0.13935804760670914,0.01907307797764561
LightGBM,,,,,BinaryVector,micro_recall,0.2284964527733968,0.01264018970154852
LightGBM,,,,,BinaryVector,example_precision,0.24284929356357926,0.013333279423241072
LightGBM,,,,,BinaryVector,example_recall,0.23244287458573173,0.016387435717631682
LightGBM,,,,,BinaryVector,mfrd,1.0,0.0
LightGBM,,,,,BinaryVector,afrd,0.8251629655232098,0.020839185803191117
LightGBM,,,,,ScoreVector,ranking_loss,0.1890564558897892,0.012083906628169326
LightGBM,,,,,ScoreVector,one_error,0.6401255886970173,0.02515731771909159
LightGBM,,,,,ScoreVector,coverage,2.2160020931449504,0.15211289774558362
LightGBM,,,,,ScoreVector,lr_ap,0.5575948150488967,0.0144575939792604
LightGBM,,,,,ScoreVector,auc_macro,0.728801130123294,0.010780525966254352
LightGBM,,,,,ScoreVector,auc_micro,0.8167818299513747,0.011632615458248372
LightGBM,,,,,ScoreVector,auprc_macro,0.26607287847551003,0.011753235216559577
LightGBM,,,,,ScoreVector,auprc_micro,0.340335365795729,0.005384145294990566
