Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,,,,,BinaryVector,hamming_accuracy,0.7923732094463801,0.027693671984187457
LightGBM,,,,,BinaryVector,subset0_1,0.23170731707317077,0.050912959601570204
LightGBM,,,,,BinaryVector,f1,0.35615950445218736,0.06313452939033816
LightGBM,,,,,BinaryVector,jaccard,0.32429345722028646,0.06089153480830887
LightGBM,,,,,BinaryVector,macro_f1,0.3102325543011818,0.06824502956124934
LightGBM,,,,,BinaryVector,micro_f1,0.41920048411266847,0.0665652633689254
LightGBM,,,,,BinaryVector,macro_precision,0.376479413689166,0.10241684692766637
LightGBM,,,,,BinaryVector,micro_precision,0.49068752036493973,0.09387228679884572
LightGBM,,,,,BinaryVector,macro_recall,0.2887796268246194,0.07112876329408178
LightGBM,,,,,BinaryVector,micro_recall,0.36951295066126105,0.06158535776732971
LightGBM,,,,,BinaryVector,example_precision,0.36054974835462644,0.07365038908297913
LightGBM,,,,,BinaryVector,example_recall,0.3805458768873403,0.058784709090216845
LightGBM,,,,,BinaryVector,mfrd,0.9794871794871796,0.04102564102564102
LightGBM,,,,,BinaryVector,afrd,0.5245818396096746,0.057192802513065695
LightGBM,,,,,ScoreVector,ranking_loss,0.2534320557491289,0.044661189120166665
LightGBM,,,,,ScoreVector,one_error,0.5117305458768874,0.07798999500678129
LightGBM,,,,,ScoreVector,coverage,1.5319396051103369,0.2459742765106249
LightGBM,,,,,ScoreVector,lr_ap,0.6604945799457994,0.04376106624934296
LightGBM,,,,,ScoreVector,auc_macro,,
LightGBM,,,,,ScoreVector,auc_micro,0.7593577455099474,0.04365432216746343
LightGBM,,,,,ScoreVector,auprc_macro,0.3974168250036167,0.08023623527679415
LightGBM,,,,,ScoreVector,auprc_micro,0.4804748813193619,0.07341390234514177
