Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LGBM,,,,,BinaryVector,hamming_accuracy,0.7601819589624468,0.03329914256780668
LGBM,,,,,BinaryVector,subset0_1,0.15017421602787456,0.0685698390481442
LGBM,,,,,BinaryVector,f1,0.3514711575687185,0.06108526663716109
LGBM,,,,,BinaryVector,jaccard,0.2980449090205188,0.06176182138858916
LGBM,,,,,BinaryVector,macro_f1,0.296508695634681,0.05791604586059654
LGBM,,,,,BinaryVector,micro_f1,0.4134671441190165,0.056439893835865305
LGBM,,,,,BinaryVector,macro_precision,0.3001354396091238,0.0356627119443272
LGBM,,,,,BinaryVector,micro_precision,0.4227556968733439,0.10212159891697194
LGBM,,,,,BinaryVector,macro_recall,0.3154977688526955,0.08804527449951537
LGBM,,,,,BinaryVector,micro_recall,0.4136173600191123,0.04499804693529915
LGBM,,,,,BinaryVector,example_precision,0.34215060007742937,0.0850309666926106
LGBM,,,,,BinaryVector,example_recall,0.4231707317073171,0.05512364465453758
LGBM,,,,,BinaryVector,mfrd,0.9250618911594521,0.06086851715527552
LGBM,,,,,BinaryVector,afrd,0.4712302812657841,0.05446104396935308
LGBM,,,,,ScoreVector,ranking_loss,0.25986837011227254,0.043423992873271325
LGBM,,,,,ScoreVector,one_error,0.5118466898954704,0.096031931371918
LGBM,,,,,ScoreVector,coverage,1.5882694541231124,0.23766653566682996
LGBM,,,,,ScoreVector,lr_ap,0.6503910181958963,0.05366748986347835
LGBM,,,,,ScoreVector,auc_macro,,
LGBM,,,,,ScoreVector,auc_micro,0.734230832384928,0.03193822336844058
LGBM,,,,,ScoreVector,auprc_macro,0.4011797806768137,0.06040589257208336
LGBM,,,,,ScoreVector,auprc_micro,0.42854730427034393,0.072010280899739
