Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,,,,,BinaryVector,hamming_accuracy,0.7639566395663957,0.025293410143157804
LightGBM,,,,,BinaryVector,subset0_1,0.10162601626016259,0.028896295713414004
LightGBM,,,,,BinaryVector,f1,0.2506481942370444,0.06120898406730054
LightGBM,,,,,BinaryVector,jaccard,0.20970576848625627,0.05299559439853802
LightGBM,,,,,BinaryVector,macro_f1,0.2502007098643712,0.08277421414977645
LightGBM,,,,,BinaryVector,micro_f1,0.3360625829838201,0.06292283582101105
LightGBM,,,,,BinaryVector,macro_precision,0.2904044566544567,0.07123391543035891
LightGBM,,,,,BinaryVector,micro_precision,0.3972596399011493,0.05733861589120186
LightGBM,,,,,BinaryVector,macro_recall,0.2646336117032039,0.12316106890450812
LightGBM,,,,,BinaryVector,micro_recall,0.3009422390523767,0.08336841496722495
LightGBM,,,,,BinaryVector,example_precision,0.25049554781262096,0.05446452994649624
LightGBM,,,,,BinaryVector,example_recall,0.30307781649245064,0.08632876381799738
LightGBM,,,,,BinaryVector,mfrd,0.9159150326797386,0.09184001470792327
LightGBM,,,,,BinaryVector,afrd,0.5576574981659161,0.09406991588287449
LightGBM,,,,,ScoreVector,ranking_loss,0.3013433991482772,0.03143686960031186
LightGBM,,,,,ScoreVector,one_error,0.6038327526132405,0.019526016895393756
LightGBM,,,,,ScoreVector,coverage,1.7599303135888502,0.21917567258235968
LightGBM,,,,,ScoreVector,lr_ap,0.595937862950058,0.017614216661168792
LightGBM,,,,,ScoreVector,auc_macro,,
LightGBM,,,,,ScoreVector,auc_micro,0.7106949371573731,0.04203074391673139
LightGBM,,,,,ScoreVector,auprc_macro,0.40835264962542606,0.08628401014466837
LightGBM,,,,,ScoreVector,auprc_micro,0.3968406564003034,0.04037727286300892
