Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.6871293800539083,0.006830903448773142
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.011320754716981133,0.004810395767540363
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.6008517054597433,0.01578758900768603
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.4541220571880949,0.01620059467801387
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.5812835858979538,0.016544374171025954
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.6225672567495856,0.012373031867307595
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.5213671881665762,0.025692706297114818
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.5531035495980908,0.019580099418919288
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.6646705091755887,0.013510658557080344
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.7127689899666331,0.014395050054512968
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.5557328337281164,0.021209459158159336
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.7187780432355902,0.014752334025246828
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.5519063130606394,0.07736107241119676
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.25767725923664325,0.01639588676002442
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.6931252498355074,0.006146644563119469
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.012264150943396227,0.004810395767540363
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.6031229497537399,0.016531287978352485
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,jaccard_pa,0.4569926928417495,0.01725137833397195
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_precision_pa,0.5616868482670367,0.022089525581794438
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_recall_pa,0.7115644313757519,0.016735832316379047
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_precision_pa,0.5314042873527476,0.026333662537135386
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_precision_pa,0.5625718075201676,0.01961496472581606
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_recall_pa,0.6622923536138228,0.013193625058995599
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_recall_pa,0.7109030092619131,0.014167008510009797
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_f1_pa,0.5860401147620143,0.016347435089457452
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_f1_pa,0.6277942887989651,0.011961855252483866
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,mfrd_pa,0.5511555776215212,0.07127512960795843
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,afrd_pa,0.2625734675972454,0.014153531275926298
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.696832884097035,0.005810016656280293
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.01206199460916442,0.00261330450534573
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.012264150943396227,0.004810395767540363
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.07169811320754717,0.012444250904031052
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,ranking_loss,0.2428569410897578,0.010753837461035448
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,one_error,0.260377358490566,0.04458981999281688
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,coverage,8.590566037735849,0.10612264109010948
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,lr_ap,0.7044078789457627,0.017260033694545807
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_macro,0.7318057706683521,0.009938433405978254
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_micro,0.7600877057884798,0.00735445745589805
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_macro,0.591009746663232,0.018918357851057405
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_micro,0.6362888884988264,0.016835846659250833
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.5255650010366992,0.003554442132155352
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.0028301886792452833,0.00231083937998413
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.7177223719676549,0.004237253348318738
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.020754716981132078,0.00639842451238233
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.5786465977295611,0.007047861737620027
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,jaccard,0.4333075886377774,0.0068042058756104164
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_f1,0.5226318552462907,0.007526207779944808
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_f1,0.5911516265441277,0.005735900596266096
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_precision,0.5729790468503487,0.02634237543489454
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_precision,0.6222557173750396,0.018814466460612737
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_recall,0.5017654260483199,0.007812007061912009
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_recall,0.5636120549046947,0.011789333499702768
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,example_precision,0.632780092025375,0.019105766618533828
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,example_recall,0.5833432369517274,0.009462141131913156
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,mfrd,0.7581472270225977,0.055152905255991945
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,afrd,0.3782694430622347,0.007104221854820272
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,hamming_accuracy_pa,0.7229837386740464,0.003750997758116367
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,subset0_1_pa,0.022641509433962266,0.0035298654592207
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,f1_pa,0.5808994575531756,0.007806578346586589
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,jaccard_pa,0.4360791540744372,0.007665237272503356
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,example_precision_pa,0.6384871967654985,0.019453652069780326
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,example_recall_pa,0.5781770195213591,0.010157647873003982
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,macro_precision_pa,0.5909265020830492,0.02582857688112804
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,micro_precision_pa,0.6356448521951151,0.018137065319480793
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,macro_recall_pa,0.49923389201491963,0.007322201866612762
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,micro_recall_pa,0.5614933581856718,0.011479106957788511
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,macro_f1_pa,0.5264744304638473,0.007034147246202881
LightGBM,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,micro_f1_pa,0.5959599185513776,0.005115351279603768
