Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,,,,,BinaryVector,hamming_accuracy,0.6785714285714286,0.0030360863412584376
LightGBM,,,,,BinaryVector,subset0_1,0.007547169811320755,0.0037735849056603774
LightGBM,,,,,BinaryVector,f1,0.5263097435289884,0.018462494696892772
LightGBM,,,,,BinaryVector,jaccard,0.386951884593394,0.014641051310394665
LightGBM,,,,,BinaryVector,macro_f1,0.5291445232966916,0.010534507336690166
LightGBM,,,,,BinaryVector,micro_f1,0.5625418437401771,0.010348604621846315
LightGBM,,,,,BinaryVector,macro_precision,0.5227396771867564,0.018401723608807735
LightGBM,,,,,BinaryVector,micro_precision,0.5548742636952934,0.018981698987866797
LightGBM,,,,,BinaryVector,macro_recall,0.5405305004564118,0.006662496909884606
LightGBM,,,,,BinaryVector,micro_recall,0.5707549711435431,0.005229041206662295
LightGBM,,,,,BinaryVector,example_precision,0.5494619374336354,0.026035800921424032
LightGBM,,,,,BinaryVector,example_recall,0.5641706825669088,0.0106558630554789
LightGBM,,,,,BinaryVector,mfrd,0.46049381898589753,0.06962120652547626
LightGBM,,,,,BinaryVector,afrd,0.21974404411631115,0.017869858781438985
LightGBM,,,,,ScoreVector,ranking_loss,0.278765928964716,0.012913174852042637
LightGBM,,,,,ScoreVector,one_error,0.3113207547169811,0.032816088926275626
LightGBM,,,,,ScoreVector,coverage,8.983962264150943,0.17526869978273774
LightGBM,,,,,ScoreVector,lr_ap,0.6680452764896708,0.015512748082274415
LightGBM,,,,,ScoreVector,auc_macro,0.7041504491777227,0.007806988505476117
LightGBM,,,,,ScoreVector,auc_micro,0.7278883390149506,0.008106837876125799
LightGBM,,,,,ScoreVector,auprc_macro,0.5562779422847972,0.02003925626934018
LightGBM,,,,,ScoreVector,auprc_micro,0.5949682212550097,0.020835160505707207
