Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,,,,,BinaryVector,hamming_accuracy,0.8011142114050076,0.00351646246224674
LightGBM,,,,,BinaryVector,subset0_1,0.16136491966531494,0.01573252528138547
LightGBM,,,,,BinaryVector,f1,0.6257164042446505,0.0060376136371408755
LightGBM,,,,,BinaryVector,jaccard,0.5176141799613386,0.006829139776217014
LightGBM,,,,,BinaryVector,macro_f1,0.4145189229008981,0.00950718240004295
LightGBM,,,,,BinaryVector,micro_f1,0.6504616246652044,0.006216455009500997
LightGBM,,,,,BinaryVector,macro_precision,0.5121743832814746,0.010048077413492802
LightGBM,,,,,BinaryVector,micro_precision,0.6948158552806571,0.0086378307176698
LightGBM,,,,,BinaryVector,macro_recall,0.39012745175490027,0.009179629636207961
LightGBM,,,,,BinaryVector,micro_recall,0.6116100624071706,0.0110608127013835
LightGBM,,,,,BinaryVector,example_precision,0.6974391745559168,0.010499426556527615
LightGBM,,,,,BinaryVector,example_recall,0.618956500770512,0.009380989686947724
LightGBM,,,,,BinaryVector,mfrd,1.0,0.0
LightGBM,,,,,BinaryVector,afrd,0.6523314468404791,0.018166747243976447
LightGBM,,,,,ScoreVector,ranking_loss,0.16570810086277538,0.002491291630845693
LightGBM,,,,,ScoreVector,one_error,0.21969782523142206,0.009287472699819234
LightGBM,,,,,ScoreVector,coverage,6.425685710863577,0.06529412976239402
LightGBM,,,,,ScoreVector,lr_ap,0.7672937315351509,0.004637324254760318
LightGBM,,,,,ScoreVector,auc_macro,0.6724639279227921,0.015597315389841824
LightGBM,,,,,ScoreVector,auc_micro,0.8354658637645773,0.0036643139569506435
LightGBM,,,,,ScoreVector,auprc_macro,0.484946437190385,0.007756358162788111
LightGBM,,,,,ScoreVector,auprc_micro,0.7005384495061449,0.006343295644693604
