Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,,,,,BinaryVector,hamming_accuracy,0.6560953163155309,0.005379345953688563
LightGBM,,,,,BinaryVector,subset0_1,0.0049620998237599025,0.0030913669331737994
LightGBM,,,,,BinaryVector,f1,0.4825300083036227,0.013292235520702774
LightGBM,,,,,BinaryVector,jaccard,0.34604807131281656,0.012428295687994965
LightGBM,,,,,BinaryVector,macro_f1,0.4024482142022802,0.00967696819605578
LightGBM,,,,,BinaryVector,micro_f1,0.5008114138673688,0.011815375392222795
LightGBM,,,,,BinaryVector,macro_precision,0.3725438105951905,0.007372365617343199
LightGBM,,,,,BinaryVector,micro_precision,0.44654874021232444,0.011185191693002484
LightGBM,,,,,BinaryVector,macro_recall,0.4808250644386772,0.0156852079814841
LightGBM,,,,,BinaryVector,micro_recall,0.57022139749759,0.015143335758258597
LightGBM,,,,,BinaryVector,example_precision,0.45764987979061944,0.014567635650540277
LightGBM,,,,,BinaryVector,example_recall,0.5755203973178539,0.01638440042351474
LightGBM,,,,,BinaryVector,mfrd,0.5368313122664011,0.060608965467663804
LightGBM,,,,,BinaryVector,afrd,0.2573302166641914,0.02390674461179942
LightGBM,,,,,ScoreVector,ranking_loss,0.31516782316924125,0.008188048316772074
LightGBM,,,,,ScoreVector,one_error,0.4050476532689971,0.016302401354990653
LightGBM,,,,,ScoreVector,coverage,8.892017863559365,0.12419609136579447
LightGBM,,,,,ScoreVector,lr_ap,0.5947670643576577,0.010621124955654747
LightGBM,,,,,ScoreVector,auc_macro,0.6008712655776738,0.008201798159615088
LightGBM,,,,,ScoreVector,auc_micro,0.6833465006334871,0.00849982727294514
LightGBM,,,,,ScoreVector,auprc_macro,0.4013405407954984,0.012437721343105175
LightGBM,,,,,ScoreVector,auprc_micro,0.4907020969381014,0.01682364895205782
