Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.6916180031334567,0.015610937855113046
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.13644779945876656,0.04299787191621698
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.6079936042213493,0.02107614584648544
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.48879860418743765,0.027112557592200413
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.6087851514163412,0.01806257760015585
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.6191490673479011,0.018102690221408414
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.4972590489721959,0.018400781500676127
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.5031286117162195,0.0187035833024706
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.7960883494690633,0.02020201878855937
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.8052939282571583,0.02086859687137855
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.527216445900394,0.026456300782930698
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.8048972131225373,0.026760856279836032
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.44147685580499757,0.055469654903791306
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.17831591796442683,0.024282310221734573
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.721557579340463,0.013856335323513212
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.17406717576209102,0.03924823167459371
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.6259341708579707,0.016187747189202736
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,jaccard_pa,0.5138557100371657,0.02183373338118462
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_precision_pa,0.5593914836686521,0.023403148274637384
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_recall_pa,0.7908010806814396,0.028695325781073613
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_precision_pa,0.540347219657124,0.018961428540750218
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_precision_pa,0.5441745680818546,0.020132956107170138
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_recall_pa,0.788089982749996,0.02106909674579151
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_recall_pa,0.7995231510039893,0.021881852256990103
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_f1_pa,0.6370147546977186,0.01597325463569872
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_f1_pa,0.6472890472127644,0.017061776535546015
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,mfrd_pa,0.4100713224611862,0.06378198540393047
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,afrd_pa,0.15247238288273743,0.02806529124710217
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.7365997246356171,0.013062947867429137
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.05397141907610502,0.008951865154390611
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.1769548497365048,0.037156517475890036
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.21760432986754025,0.03685642097629588
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,ranking_loss,0.209135252971245,0.022698759098666716
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,one_error,0.33886910696481987,0.024045500368274922
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,coverage,2.0470445805440822,0.18846506127593898
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,lr_ap,0.753981705676621,0.017236844967525682
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_macro,0.7851643314820156,0.01946051269724744
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_micro,0.7974202668454684,0.020251218972101772
LightGBM,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_macro,0.6520973606679809,0.01917044572459831
