Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,,,,,BinaryVector,hamming_accuracy,0.6821535393818545,0.021410824775892318
LightGBM,,,,,BinaryVector,subset0_1,0.11128044438114229,0.031202138876769994
LightGBM,,,,,BinaryVector,f1,0.5094801988592043,0.017321945875328607
LightGBM,,,,,BinaryVector,jaccard,0.4044713478611784,0.015180674893276286
LightGBM,,,,,BinaryVector,macro_f1,0.5334667431691773,0.020956741613518508
LightGBM,,,,,BinaryVector,micro_f1,0.5417585692257105,0.019298306905088405
LightGBM,,,,,BinaryVector,macro_precision,0.48885814169281144,0.01439150181737094
LightGBM,,,,,BinaryVector,micro_precision,0.49196935323183755,0.015172152905156283
LightGBM,,,,,BinaryVector,macro_recall,0.5956907232739533,0.02928826472950292
LightGBM,,,,,BinaryVector,micro_recall,0.603239531015306,0.029867954800563683
LightGBM,,,,,BinaryVector,example_precision,0.49744528319802495,0.01301855699899194
LightGBM,,,,,BinaryVector,example_recall,0.60975881878175,0.03845746532080161
LightGBM,,,,,BinaryVector,mfrd,0.2561255413941855,0.07867765700931371
LightGBM,,,,,BinaryVector,afrd,0.14227489661555934,0.028373453404245682
LightGBM,,,,,ScoreVector,ranking_loss,0.28286513475446673,0.03963352542662785
LightGBM,,,,,ScoreVector,one_error,0.4198119925936476,0.023124134780003722
LightGBM,,,,,ScoreVector,coverage,2.439495798319328,0.2743113175076155
LightGBM,,,,,ScoreVector,lr_ap,0.6917216604155787,0.028889320232470227
LightGBM,,,,,ScoreVector,auc_macro,0.7080630957247032,0.0343205577047141
LightGBM,,,,,ScoreVector,auc_micro,0.7161208478170191,0.03532759283224151
LightGBM,,,,,ScoreVector,auprc_macro,0.5426952141185442,0.036145503334556454
LightGBM,,,,,ScoreVector,auprc_micro,0.537153484984659,0.035486857848618526
