Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,,,,,BinaryVector,hamming_accuracy,0.9481193916176552,0.0014155709987587301
LightGBM,,,,,BinaryVector,subset0_1,0.1051768155942729,0.013364531970305507
LightGBM,,,,,BinaryVector,f1,0.5023069988346428,0.014286526171828295
LightGBM,,,,,BinaryVector,jaccard,0.39532752996816317,0.013962118010760445
LightGBM,,,,,BinaryVector,macro_f1,0.19936886864976042,0.028536725901493958
LightGBM,,,,,BinaryVector,micro_f1,0.5214359661111704,0.017598966495734867
LightGBM,,,,,BinaryVector,macro_precision,0.2694204454629799,0.04060692574721339
LightGBM,,,,,BinaryVector,micro_precision,0.6325777795102627,0.005319144997749417
LightGBM,,,,,BinaryVector,macro_recall,0.18162186463686839,0.028485568916400746
LightGBM,,,,,BinaryVector,micro_recall,0.44401098631700675,0.02459012079648869
LightGBM,,,,,BinaryVector,example_precision,0.6202238258262925,0.016791469563937737
LightGBM,,,,,BinaryVector,example_recall,0.47864332741894416,0.023104429293514347
LightGBM,,,,,BinaryVector,mfrd,1.0,0.0
LightGBM,,,,,BinaryVector,afrd,0.731763819820437,0.03493016785632283
LightGBM,,,,,ScoreVector,ranking_loss,0.0704477638016008,0.002219145912972043
LightGBM,,,,,ScoreVector,one_error,0.27380714162497843,0.015337555091427509
LightGBM,,,,,ScoreVector,coverage,10.838806279109885,0.4979031795593816
LightGBM,,,,,ScoreVector,lr_ap,0.6837816286026972,0.0047340225611758715
LightGBM,,,,,ScoreVector,auc_macro,,
LightGBM,,,,,ScoreVector,auc_micro,0.9192206281899328,0.002285565860285852
LightGBM,,,,,ScoreVector,auprc_macro,0.2768367148963821,0.01773460936637751
LightGBM,,,,,ScoreVector,auprc_micro,0.5598218257093348,0.007076577088557081
