Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,,,,,BinaryVector,hamming_accuracy,0.9214802897375514,0.007000595076871484
LightGBM,,,,,BinaryVector,subset0_1,0.7341163378507777,0.023198227483568333
LightGBM,,,,,BinaryVector,f1,0.7810587957890867,0.020573160854257835
LightGBM,,,,,BinaryVector,jaccard,0.7692885672138783,0.02095679038974262
LightGBM,,,,,BinaryVector,macro_f1,0.7858247941394237,0.019843019452189144
LightGBM,,,,,BinaryVector,micro_f1,0.7771372129332664,0.019734912029793432
LightGBM,,,,,BinaryVector,macro_precision,0.7990744443714235,0.021211505699501074
LightGBM,,,,,BinaryVector,micro_precision,0.7899084272478859,0.02131094989263486
LightGBM,,,,,BinaryVector,macro_recall,0.7756456660768989,0.019772491895469816
LightGBM,,,,,BinaryVector,micro_recall,0.7648037406449975,0.018855606192042414
LightGBM,,,,,BinaryVector,example_precision,0.7933152750580137,0.021228962992920538
LightGBM,,,,,BinaryVector,example_recall,0.780572688871444,0.019719358654057616
LightGBM,,,,,BinaryVector,mfrd,0.33145843123657187,0.03770825533233285
LightGBM,,,,,BinaryVector,afrd,0.17944067484477688,0.01605859151647282
LightGBM,,,,,ScoreVector,ranking_loss,0.07808401842634208,0.013125320914370311
LightGBM,,,,,ScoreVector,one_error,0.20024326912293716,0.021530090514611987
LightGBM,,,,,ScoreVector,coverage,0.4727840512072877,0.06543789920485872
LightGBM,,,,,ScoreVector,lr_ap,0.8749374717839442,0.01593444359938964
LightGBM,,,,,ScoreVector,auc_macro,0.9489340417437895,0.007707543558987976
LightGBM,,,,,ScoreVector,auc_micro,0.940635907922365,0.009110165724304894
LightGBM,,,,,ScoreVector,auprc_macro,0.8619146593806464,0.013196821283259257
LightGBM,,,,,ScoreVector,auprc_micro,0.8231730583206156,0.013481886253352506
