Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LightGBM,,,,,BinaryVector,hamming_accuracy,0.9140677702918367,0.005831712894055212
LightGBM,,,,,BinaryVector,subset0_1,0.5820463936646509,0.02890115447529499
LightGBM,,,,,BinaryVector,f1,0.6415225311490873,0.02885145672144709
LightGBM,,,,,BinaryVector,jaccard,0.6265669435793917,0.02875723250359753
LightGBM,,,,,BinaryVector,macro_f1,0.731311046708161,0.02456014348637458
LightGBM,,,,,BinaryVector,micro_f1,0.7254426783018134,0.022383312268984462
LightGBM,,,,,BinaryVector,macro_precision,0.847379494477494,0.01376780202740107
LightGBM,,,,,BinaryVector,micro_precision,0.8460518827070969,0.012888645954771584
LightGBM,,,,,BinaryVector,macro_recall,0.6494547789667923,0.031493188418608924
LightGBM,,,,,BinaryVector,micro_recall,0.6351900882809572,0.02756858840081238
LightGBM,,,,,BinaryVector,example_precision,0.6489315999689443,0.0294153717251279
LightGBM,,,,,BinaryVector,example_recall,0.6488614372431799,0.028552300792300502
LightGBM,,,,,BinaryVector,mfrd,0.5138231763680503,0.033886978540621004
LightGBM,,,,,BinaryVector,afrd,0.32508381015098115,0.03050005980344531
LightGBM,,,,,ScoreVector,ranking_loss,0.060715187738009324,0.007363184047395745
LightGBM,,,,,ScoreVector,one_error,0.1873758853011965,0.01757012143621375
LightGBM,,,,,ScoreVector,coverage,0.38806083453386353,0.03607232291921066
LightGBM,,,,,ScoreVector,lr_ap,0.890249652780773,0.01053852043824052
LightGBM,,,,,ScoreVector,auc_macro,0.9462546884504682,0.006496431102999223
LightGBM,,,,,ScoreVector,auc_micro,0.9521131743100154,0.006492738947308434
LightGBM,,,,,ScoreVector,auprc_macro,0.8594288445236211,0.013614978343017274
LightGBM,,,,,ScoreVector,auprc_micro,0.8643993714848748,0.013887504072219533
