Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
LGBM,,,,,BinaryVector,hamming_accuracy,0.8410112634179023,0.01079644653105197
LGBM,,,,,BinaryVector,subset0_1,0.37015208633465896,0.031056514697206303
LGBM,,,,,BinaryVector,f1,0.6244745990804084,0.025403133261404375
LGBM,,,,,BinaryVector,jaccard,0.5572301251139427,0.026236454558861567
LGBM,,,,,BinaryVector,macro_f1,0.6330236973734487,0.02056953056773485
LGBM,,,,,BinaryVector,micro_f1,0.6259395790276399,0.02118285326600689
LGBM,,,,,BinaryVector,macro_precision,0.5498495916111577,0.019412958223053313
LGBM,,,,,BinaryVector,micro_precision,0.5413519065568151,0.023116224703507708
LGBM,,,,,BinaryVector,macro_recall,0.7528066050132625,0.028606263882213046
LGBM,,,,,BinaryVector,micro_recall,0.7427632740462342,0.028588262217024367
LGBM,,,,,BinaryVector,example_precision,0.571631455905315,0.026974307044543178
LGBM,,,,,BinaryVector,example_recall,0.7558519739017664,0.027813723833490546
LGBM,,,,,BinaryVector,mfrd,0.2310625192513272,0.05926814037464089
LGBM,,,,,BinaryVector,afrd,0.12422108737325736,0.02709615995522345
LGBM,,,,,ScoreVector,ranking_loss,0.11236510449166051,0.006526202261523755
LGBM,,,,,ScoreVector,one_error,0.2775364256692058,0.028728380268791553
LGBM,,,,,ScoreVector,coverage,0.6601720136989846,0.03239159827529825
LGBM,,,,,ScoreVector,lr_ap,0.8249453435241811,0.014397393148561734
LGBM,,,,,ScoreVector,auc_macro,0.8899367362255985,0.008781848566395353
LGBM,,,,,ScoreVector,auc_micro,0.8919921178809875,0.007445699108761628
LGBM,,,,,ScoreVector,auprc_macro,0.7271508656915376,0.020011564612747598
LGBM,,,,,ScoreVector,auprc_micro,0.7276642367175017,0.016035107492971278
