Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.5272±0.0264,0.4634±0.0142,0.4059±0.0220,0.3409±0.0488,0.6316±0.0277,0.5992±0.0258,0.5626±0.0284,0.5274±0.0197,0.7126±0.0165,0.7065±0.0360,0.6868±0.0362,0.6857±0.0287,0.6447±0.0229,0.6215±0.0229,0.5869±0.0284,0.5691±0.0226,0.6922±0.0195,0.6646±0.0187,0.6237±0.0200,0.5952±0.0277,0.5351±0.0254,0.5026±0.0296,0.4605±0.0275,0.4375±0.0218,0.5153±0.0153,0.5168±0.0133,0.4959±0.0174,0.4973±0.0174,0.4848±0.0195,0.4789±0.0148,0.4515±0.0187,0.4560±0.0185,0.5585±0.0091,0.5690±0.0271,0.5591±0.0237,0.5760±0.0161,0.9907±0.0117,0.9365±0.0332,0.8432±0.0504,0.6998±0.1049,0.6689±0.0247,0.6463±0.0250,0.6107±0.0243,0.5931±0.0253,0.6222±0.0331,0.5913±0.0302,0.5499±0.0263,0.5224±0.0245,0.7239±0.0139,0.7141±0.0348,0.6873±0.0272,0.6863±0.0301,0.1784±0.0358,0.1189±0.0384,0.0757±0.0277,0.0505±0.0135
PartialOrder__Hamming__None,0.5318±0.0123,0.5061±0.0377,0.4468±0.0260,0.3927±0.0585,0.6149±0.0225,0.5885±0.0277,0.5586±0.0271,0.5176±0.0199,0.7522±0.0231,0.7668±0.0471,0.7553±0.0351,0.7288±0.0270,0.6522±0.0208,0.6379±0.0289,0.6138±0.0289,0.5797±0.0208,0.6877±0.0157,0.6607±0.0222,0.6300±0.0223,0.5862±0.0257,0.5407±0.0209,0.5168±0.0362,0.4861±0.0305,0.4466±0.0214,0.5299±0.0097,0.5337±0.0202,0.5247±0.0201,0.5075±0.0159,0.4792±0.0097,0.4704±0.0163,0.4586±0.0208,0.4496±0.0192,0.6003±0.0143,0.6240±0.0396,0.6242±0.0269,0.6138±0.0165,0.9869±0.0112,0.9243±0.0241,0.8501±0.0339,0.7505±0.0928,0.6784±0.0194,0.6617±0.0288,0.6381±0.0269,0.6026±0.0212,0.6086±0.0243,0.5787±0.0274,0.5504±0.0276,0.5134±0.0205,0.7668±0.0175,0.7742±0.0457,0.7597±0.0297,0.7297±0.0279,0.1730±0.0192,0.1171±0.0415,0.0775±0.0225,0.0450±0.0114
PartialOrder__Subset__2,0.5214±0.0338,0.4444±0.0312,0.4036±0.0207,0.3442±0.0448,0.6335±0.0272,0.5987±0.0269,0.5601±0.0272,0.5268±0.0218,0.7113±0.0222,0.7092±0.0355,0.6829±0.0325,0.6845±0.0317,0.6451±0.0235,0.6223±0.0231,0.5840±0.0267,0.5686±0.0247,0.6931±0.0198,0.6649±0.0200,0.6216±0.0174,0.5955±0.0295,0.5362±0.0248,0.5035±0.0308,0.4586±0.0256,0.4375±0.0239,0.5155±0.0186,0.5229±0.0155,0.4939±0.0152,0.4985±0.0174,0.4863±0.0219,0.4822±0.0148,0.4505±0.0175,0.4574±0.0178,0.5570±0.0164,0.5788±0.0329,0.5560±0.0207,0.5768±0.0144,0.9907±0.0117,0.9320±0.0372,0.8227±0.0670,0.6957±0.1006,0.6690±0.0245,0.6469±0.0260,0.6082±0.0223,0.5930±0.0272,0.6238±0.0330,0.5914±0.0315,0.5480±0.0254,0.5227±0.0257,0.7219±0.0161,0.7155±0.0348,0.6837±0.0236,0.6857±0.0330,0.1838±0.0288,0.1189±0.0392,0.0775±0.0246,0.0523±0.0165
PartialOrder__Subset__None,0.5348±0.0131,0.5017±0.0401,0.4420±0.0348,0.3893±0.0513,0.6157±0.0225,0.5876±0.0295,0.5539±0.0300,0.5182±0.0189,0.7537±0.0226,0.7660±0.0450,0.7482±0.0338,0.7302±0.0248,0.6535±0.0191,0.6374±0.0291,0.6080±0.0300,0.5808±0.0194,0.6892±0.0139,0.6601±0.0228,0.6243±0.0234,0.5868±0.0246,0.5424±0.0187,0.5165±0.0372,0.4802±0.0322,0.4468±0.0200,0.5316±0.0079,0.5329±0.0202,0.5201±0.0211,0.5088±0.0144,0.4811±0.0086,0.4695±0.0181,0.4551±0.0227,0.4508±0.0180,0.6023±0.0147,0.6236±0.0381,0.6183±0.0252,0.6150±0.0157,0.9869±0.0112,0.9243±0.0241,0.8357±0.0271,0.7320±0.0823,0.6801±0.0170,0.6612±0.0291,0.6324±0.0284,0.6031±0.0199,0.6100±0.0234,0.5782±0.0290,0.5457±0.0298,0.5139±0.0200,0.7691±0.0156,0.7734±0.0439,0.7526±0.0299,0.7304±0.0256,0.1748±0.0167,0.1189±0.0435,0.0757±0.0259,0.0432±0.0105
PreOrder__Hamming__2,0.4993±0.0349,0.4681±0.0269,0.4077±0.0660,0.3682±0.0495,0.6511±0.0227,0.6322±0.0342,0.5977±0.0372,0.5484±0.0202,0.6623±0.0266,0.6300±0.0384,0.6051±0.0297,0.5809±0.0338,0.6304±0.0159,0.6039±0.0312,0.5731±0.0291,0.5361±0.0228,0.6988±0.0114,0.6796±0.0209,0.6477±0.0201,0.6069±0.0151,0.5187±0.0155,0.4883±0.0366,0.4542±0.0276,0.4120±0.0169,0.5007±0.0095,0.4838±0.0251,0.4757±0.0034,0.4533±0.0170,0.5035±0.0135,0.4875±0.0284,0.4701±0.0133,0.4521±0.0172,0.5097±0.0161,0.4900±0.0306,0.4915±0.0234,0.4671±0.0165,0.9888±0.0108,0.9758±0.0181,0.8427±0.1097,0.7634±0.0966,0.6549±0.0142,0.6303±0.0295,0.5985±0.0252,0.5623±0.0204,0.6458±0.0262,0.6255±0.0356,0.5872±0.0347,0.5391±0.0181,0.6654±0.0204,0.6366±0.0369,0.6110±0.0213,0.5883±0.0295,0.1586±0.0122,0.1279±0.0392,0.0937±0.0186,0.0505±0.0157
PreOrder__Hamming__None,0.5221±0.0110,0.4762±0.0123,0.4519±0.0434,0.3988±0.0400,0.6068±0.0250,0.5885±0.0262,0.5632±0.0230,0.5150±0.0254,0.7483±0.0282,0.7409±0.0303,0.7550±0.0247,0.7196±0.0264,0.6453±0.0205,0.6267±0.0235,0.6187±0.0191,0.5748±0.0207,0.6796±0.0152,0.6553±0.0192,0.6363±0.0150,0.5826±0.0111,0.5327±0.0227,0.5050±0.0293,0.4925±0.0189,0.4408±0.0149,0.5215±0.0085,0.5181±0.0213,0.5268±0.0128,0.5072±0.0136,0.4690±0.0109,0.4613±0.0230,0.4593±0.0167,0.4478±0.0184,0.5936±0.0200,0.5952±0.0283,0.6310±0.0329,0.6118±0.0251,0.9851±0.0096,0.9301±0.0107,0.8690±0.0423,0.7789±0.0761,0.6710±0.0189,0.6513±0.0245,0.6442±0.0171,0.5997±0.0159,0.6008±0.0243,0.5762±0.0278,0.5562±0.0245,0.5105±0.0215,0.7609±0.0256,0.7502±0.0321,0.7663±0.0172,0.7280±0.0247,0.1586±0.0252,0.1153±0.0362,0.0793±0.0201,0.0288±0.0144
PreOrder__Subset__2,0.5383±0.0167,0.4864±0.0328,0.4307±0.0759,0.3662±0.0627,0.6611±0.0249,0.6283±0.0420,0.6042±0.0311,0.5544±0.0251,0.6019±0.0350,0.5558±0.0506,0.5380±0.0204,0.5288±0.0417,0.6013±0.0217,0.5625±0.0419,0.5391±0.0190,0.5111±0.0283,0.6892±0.0179,0.6619±0.0284,0.6369±0.0113,0.6048±0.0193,0.4868±0.0248,0.4461±0.0452,0.4184±0.0158,0.3885±0.0240,0.4673±0.0171,0.4432±0.0324,0.4376±0.0055,0.4316±0.0235,0.5066±0.0094,0.4797±0.0335,0.4621±0.0154,0.4543±0.0230,0.4517±0.0223,0.4248±0.0348,0.4311±0.0263,0.4234±0.0248,0.9870±0.0094,0.9740±0.0179,0.8128±0.1712,0.7686±0.1061,0.6218±0.0222,0.5851±0.0374,0.5609±0.0182,0.5370±0.0291,0.6522±0.0233,0.6195±0.0408,0.5846±0.0318,0.5404±0.0252,0.5952±0.0329,0.5559±0.0441,0.5399±0.0138,0.5344±0.0385,0.1315±0.0288,0.1009±0.0384,0.0793±0.0144,0.0523±0.0105
PreOrder__Subset__None,0.5219±0.0055,0.4754±0.0090,0.4510±0.0424,0.3994±0.0466,0.6103±0.0282,0.5895±0.0252,0.5619±0.0256,0.5155±0.0252,0.7513±0.0274,0.7402±0.0339,0.7561±0.0260,0.7220±0.0280,0.6486±0.0228,0.6271±0.0230,0.6178±0.0206,0.5760±0.0201,0.6829±0.0165,0.6562±0.0204,0.6360±0.0149,0.5829±0.0090,0.5366±0.0244,0.5062±0.0294,0.4905±0.0200,0.4423±0.0135,0.5245±0.0100,0.5176±0.0219,0.5265±0.0127,0.5069±0.0122,0.4723±0.0134,0.4617±0.0224,0.4590±0.0167,0.4475±0.0181,0.5964±0.0190,0.5937±0.0302,0.6314±0.0324,0.6117±0.0255,0.9851±0.0096,0.9330±0.0155,0.8770±0.0315,0.7895±0.0841,0.6741±0.0204,0.6518±0.0245,0.6439±0.0180,0.6003±0.0137,0.6040±0.0271,0.5772±0.0273,0.5559±0.0252,0.5108±0.0210,0.7636±0.0240,0.7497±0.0333,0.7663±0.0185,0.7295±0.0253,0.1622±0.0248,0.1189±0.0392,0.0757±0.0157,0.0306±0.0177
br,0.3833±0.0249,0.3059±0.0679,0.2740±0.0268,0.1741±0.0472,0.6144±0.0283,0.5903±0.0201,0.5689±0.0296,0.5298±0.0246,0.6245±0.0060,0.6095±0.0420,0.6012±0.0252,0.5734±0.0142,0.5815±0.0126,0.5597±0.0172,0.5422±0.0243,0.5125±0.0177,0.6619±0.0050,0.6502±0.0070,0.6291±0.0067,0.5982±0.0077,0.4648±0.0121,0.4422±0.0118,0.4229±0.0198,0.3871±0.0194,0.4809±0.0119,0.4932±0.0227,0.4797±0.0141,0.4759±0.0213,0.4762±0.0161,0.4892±0.0170,0.4796±0.0178,0.4809±0.0225,0.4894±0.0152,0.5145±0.0597,0.4888±0.0198,0.5160±0.0521,0.9814±0.0059,0.7973±0.1631,0.8061±0.0732,0.4539±0.1440,0.6117±0.0134,0.5989±0.0077,0.5789±0.0194,0.5487±0.0184,0.6042±0.0254,0.5912±0.0183,0.5648±0.0201,0.5304±0.0247,0.6201±0.0119,0.6085±0.0282,0.5937±0.0205,0.5689±0.0184,0.1081±0.0189,0.0829±0.0216,0.0685±0.0108,0.0468±0.0238
cc,0.3718±0.0304,0.3526±0.0277,0.2795±0.0929,0.1988±0.0467,0.6041±0.0414,0.5756±0.0218,0.5518±0.0089,0.5010±0.0607,0.6219±0.0088,0.6029±0.0451,0.5680±0.0479,0.5358±0.0358,0.5832±0.0239,0.5557±0.0270,0.5247±0.0199,0.4805±0.0490,0.6658±0.0160,0.6423±0.0210,0.6108±0.0101,0.5736±0.0262,0.4799±0.0243,0.4451±0.0238,0.4126±0.0144,0.3641±0.0439,0.4865±0.0206,0.4734±0.0187,0.4585±0.0207,0.4426±0.0318,0.4807±0.0288,0.4683±0.0103,0.4605±0.0147,0.4502±0.0387,0.4974±0.0135,0.4836±0.0299,0.5015±0.0726,0.4839±0.0615,0.9796±0.0070,0.8859±0.0883,0.6304±0.1942,0.5462±0.1836,0.6164±0.0250,0.5916±0.0283,0.5563±0.0160,0.5184±0.0400,0.6084±0.0373,0.5805±0.0165,0.5458±0.0130,0.5035±0.0447,0.6253±0.0132,0.6044±0.0465,0.5691±0.0369,0.5344±0.0344,0.1586±0.0210,0.1081±0.0099,0.0847±0.0210,0.0450±0.0267
