Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.5597±0.0167,0.5645±0.0268,0.5219±0.0342,0.5412±0.0199,0.7373±0.0082,0.7001±0.0080,0.6430±0.0230,0.6016±0.0179,0.5016±0.0222,0.4964±0.0220,0.4865±0.0429,0.4900±0.0107,0.6309±0.0281,0.5958±0.0333,0.5595±0.0473,0.5277±0.0151,2.8036±0.0633,3.0505±0.1011,3.3009±0.0981,3.4919±0.1332,0.7701±0.0222,0.7322±0.0252,0.6927±0.0321,0.6690±0.0125,0.3117±0.0340,0.3748±0.0666,0.4216±0.0819,0.4595±0.0378,0.2396±0.0103,0.2860±0.0085,0.3449±0.0209,0.3877±0.0233
PartialOrder__Hamming__None,0.5597±0.0167,0.5645±0.0268,0.5219±0.0342,0.5412±0.0199,0.7373±0.0082,0.7001±0.0080,0.6430±0.0230,0.6016±0.0179,0.5016±0.0222,0.4964±0.0220,0.4865±0.0429,0.4900±0.0107,0.6309±0.0281,0.5958±0.0333,0.5595±0.0473,0.5277±0.0151,2.8036±0.0633,3.0505±0.1011,3.3009±0.0981,3.4919±0.1332,0.7701±0.0222,0.7322±0.0252,0.6927±0.0321,0.6690±0.0125,0.3117±0.0340,0.3748±0.0666,0.4216±0.0819,0.4595±0.0378,0.2396±0.0103,0.2860±0.0085,0.3449±0.0209,0.3877±0.0233
PartialOrder__Subset__2,0.5597±0.0167,0.5645±0.0268,0.5219±0.0342,0.5412±0.0199,0.7373±0.0082,0.7001±0.0080,0.6430±0.0230,0.6016±0.0179,0.5016±0.0222,0.4964±0.0220,0.4865±0.0429,0.4900±0.0107,0.6309±0.0281,0.5958±0.0333,0.5595±0.0473,0.5277±0.0151,2.8036±0.0633,3.0505±0.1011,3.3009±0.0981,3.4919±0.1332,0.7701±0.0222,0.7322±0.0252,0.6927±0.0321,0.6690±0.0125,0.3117±0.0340,0.3748±0.0666,0.4216±0.0819,0.4595±0.0378,0.2396±0.0103,0.2860±0.0085,0.3449±0.0209,0.3877±0.0233
PartialOrder__Subset__None,0.5597±0.0167,0.5645±0.0268,0.5219±0.0342,0.5412±0.0199,0.7373±0.0082,0.7001±0.0080,0.6430±0.0230,0.6016±0.0179,0.5016±0.0222,0.4964±0.0220,0.4865±0.0429,0.4900±0.0107,0.6309±0.0281,0.5958±0.0333,0.5595±0.0473,0.5277±0.0151,2.8036±0.0633,3.0505±0.1011,3.3009±0.0981,3.4919±0.1332,0.7701±0.0222,0.7322±0.0252,0.6927±0.0321,0.6690±0.0125,0.3117±0.0340,0.3748±0.0666,0.4216±0.0819,0.4595±0.0378,0.2396±0.0103,0.2860±0.0085,0.3449±0.0209,0.3877±0.0233
PreOrder__Hamming__2,0.5597±0.0167,0.5645±0.0268,0.5219±0.0342,0.5412±0.0199,0.7373±0.0082,0.7001±0.0080,0.6430±0.0230,0.6016±0.0179,0.5016±0.0222,0.4964±0.0220,0.4865±0.0429,0.4900±0.0107,0.6309±0.0281,0.5958±0.0333,0.5595±0.0473,0.5277±0.0151,2.8036±0.0633,3.0505±0.1011,3.3009±0.0981,3.4919±0.1332,0.7701±0.0222,0.7322±0.0252,0.6927±0.0321,0.6690±0.0125,0.3117±0.0340,0.3748±0.0666,0.4216±0.0819,0.4595±0.0378,0.2396±0.0103,0.2860±0.0085,0.3449±0.0209,0.3877±0.0233
PreOrder__Hamming__None,0.5597±0.0167,0.5645±0.0268,0.5219±0.0342,0.5412±0.0199,0.7373±0.0082,0.7001±0.0080,0.6430±0.0230,0.6016±0.0179,0.5016±0.0222,0.4964±0.0220,0.4865±0.0429,0.4900±0.0107,0.6309±0.0281,0.5958±0.0333,0.5595±0.0473,0.5277±0.0151,2.8036±0.0633,3.0505±0.1011,3.3009±0.0981,3.4919±0.1332,0.7701±0.0222,0.7322±0.0252,0.6927±0.0321,0.6690±0.0125,0.3117±0.0340,0.3748±0.0666,0.4216±0.0819,0.4595±0.0378,0.2396±0.0103,0.2860±0.0085,0.3449±0.0209,0.3877±0.0233
PreOrder__Subset__2,0.5597±0.0167,0.5645±0.0268,0.5219±0.0342,0.5412±0.0199,0.7373±0.0082,0.7001±0.0080,0.6430±0.0230,0.6016±0.0179,0.5016±0.0222,0.4964±0.0220,0.4865±0.0429,0.4900±0.0107,0.6309±0.0281,0.5958±0.0333,0.5595±0.0473,0.5277±0.0151,2.8036±0.0633,3.0505±0.1011,3.3009±0.0981,3.4919±0.1332,0.7701±0.0222,0.7322±0.0252,0.6927±0.0321,0.6690±0.0125,0.3117±0.0340,0.3748±0.0666,0.4216±0.0819,0.4595±0.0378,0.2396±0.0103,0.2860±0.0085,0.3449±0.0209,0.3877±0.0233
PreOrder__Subset__None,0.5597±0.0167,0.5645±0.0268,0.5219±0.0342,0.5412±0.0199,0.7373±0.0082,0.7001±0.0080,0.6430±0.0230,0.6016±0.0179,0.5016±0.0222,0.4964±0.0220,0.4865±0.0429,0.4900±0.0107,0.6309±0.0281,0.5958±0.0333,0.5595±0.0473,0.5277±0.0151,2.8036±0.0633,3.0505±0.1011,3.3009±0.0981,3.4919±0.1332,0.7701±0.0222,0.7322±0.0252,0.6927±0.0321,0.6690±0.0125,0.3117±0.0340,0.3748±0.0666,0.4216±0.0819,0.4595±0.0378,0.2396±0.0103,0.2860±0.0085,0.3449±0.0209,0.3877±0.0233
br,0.5597±0.0167,0.5615±0.0503,0.5395±0.0430,0.5550±0.0247,0.7373±0.0082,0.6975±0.0054,0.6686±0.0228,0.6211±0.0185,0.5016±0.0222,0.4989±0.0235,0.4994±0.0345,0.5041±0.0263,0.6309±0.0281,0.5938±0.0228,0.5815±0.0432,0.5361±0.0299,2.8036±0.0633,2.9982±0.1379,3.1333±0.0952,3.4198±0.1235,0.7701±0.0222,0.7405±0.0058,0.7243±0.0201,0.6909±0.0149,0.3117±0.0340,0.3441±0.0155,0.3712±0.0276,0.4036±0.0523,0.2396±0.0103,0.2815±0.0156,0.3065±0.0205,0.3653±0.0145
cc,0.5561±0.0404,0.5646±0.0193,0.5627±0.0377,0.5330±0.0403,0.7277±0.0147,0.6964±0.0103,0.6530±0.0064,0.5929±0.0330,0.5052±0.0204,0.4976±0.0144,0.4837±0.0227,0.4775±0.0316,0.6015±0.0218,0.5858±0.0157,0.5585±0.0289,0.5103±0.0439,2.8108±0.1115,3.0036±0.1425,3.2234±0.1464,3.4847±0.0928,0.7627±0.0180,0.7355±0.0083,0.7088±0.0041,0.6630±0.0384,0.3658±0.0349,0.3928±0.0146,0.4000±0.0135,0.4631±0.0722,0.2554±0.0136,0.2871±0.0156,0.3341±0.0095,0.3964±0.0376
