Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.8501±0.0150,0.8035±0.0236,0.7495±0.0484,0.7138±0.0325,0.8950±0.0120,0.8695±0.0281,0.8177±0.0254,0.7676±0.0356,0.6232±0.0065,0.6111±0.0297,0.5384±0.0242,0.4770±0.0395,0.7799±0.0317,0.7411±0.0394,0.6561±0.0470,0.5708±0.0723,0.4374±0.0367,0.4646±0.0788,0.6399±0.0758,0.7346±0.1231,0.8359±0.0110,0.8307±0.0242,0.7793±0.0291,0.7446±0.0413,0.2832±0.0177,0.2891±0.0395,0.3643±0.0588,0.4261±0.0725,0.1427±0.0130,0.1518±0.0247,0.2106±0.0229,0.2423±0.0405
PartialOrder__Hamming__None,0.8501±0.0150,0.8035±0.0236,0.7495±0.0484,0.7138±0.0325,0.8950±0.0120,0.8695±0.0281,0.8177±0.0254,0.7676±0.0356,0.6232±0.0065,0.6111±0.0297,0.5384±0.0242,0.4770±0.0395,0.7799±0.0317,0.7411±0.0394,0.6561±0.0470,0.5708±0.0723,0.4374±0.0367,0.4646±0.0788,0.6399±0.0758,0.7346±0.1231,0.8359±0.0110,0.8307±0.0242,0.7793±0.0291,0.7446±0.0413,0.2832±0.0177,0.2891±0.0395,0.3643±0.0588,0.4261±0.0725,0.1427±0.0130,0.1518±0.0247,0.2106±0.0229,0.2423±0.0405
PartialOrder__Subset__2,0.8501±0.0150,0.8035±0.0236,0.7495±0.0484,0.7138±0.0325,0.8950±0.0120,0.8695±0.0281,0.8177±0.0254,0.7676±0.0356,0.6232±0.0065,0.6111±0.0297,0.5384±0.0242,0.4770±0.0395,0.7799±0.0317,0.7411±0.0394,0.6561±0.0470,0.5708±0.0723,0.4374±0.0367,0.4646±0.0788,0.6399±0.0758,0.7346±0.1231,0.8359±0.0110,0.8307±0.0242,0.7793±0.0291,0.7446±0.0413,0.2832±0.0177,0.2891±0.0395,0.3643±0.0588,0.4261±0.0725,0.1427±0.0130,0.1518±0.0247,0.2106±0.0229,0.2423±0.0405
PartialOrder__Subset__None,0.8501±0.0150,0.8035±0.0236,0.7495±0.0484,0.7138±0.0325,0.8950±0.0120,0.8695±0.0281,0.8177±0.0254,0.7676±0.0356,0.6232±0.0065,0.6111±0.0297,0.5384±0.0242,0.4770±0.0395,0.7799±0.0317,0.7411±0.0394,0.6561±0.0470,0.5708±0.0723,0.4374±0.0367,0.4646±0.0788,0.6399±0.0758,0.7346±0.1231,0.8359±0.0110,0.8307±0.0242,0.7793±0.0291,0.7446±0.0413,0.2832±0.0177,0.2891±0.0395,0.3643±0.0588,0.4261±0.0725,0.1427±0.0130,0.1518±0.0247,0.2106±0.0229,0.2423±0.0405
PreOrder__Hamming__2,0.8501±0.0150,0.8035±0.0236,0.7495±0.0484,0.7138±0.0325,0.8950±0.0120,0.8695±0.0281,0.8177±0.0254,0.7676±0.0356,0.6232±0.0065,0.6111±0.0297,0.5384±0.0242,0.4770±0.0395,0.7799±0.0317,0.7411±0.0394,0.6561±0.0470,0.5708±0.0723,0.4374±0.0367,0.4646±0.0788,0.6399±0.0758,0.7346±0.1231,0.8359±0.0110,0.8307±0.0242,0.7793±0.0291,0.7446±0.0413,0.2832±0.0177,0.2891±0.0395,0.3643±0.0588,0.4261±0.0725,0.1427±0.0130,0.1518±0.0247,0.2106±0.0229,0.2423±0.0405
PreOrder__Hamming__None,0.8501±0.0150,0.8035±0.0236,0.7495±0.0484,0.7138±0.0325,0.8950±0.0120,0.8695±0.0281,0.8177±0.0254,0.7676±0.0356,0.6232±0.0065,0.6111±0.0297,0.5384±0.0242,0.4770±0.0395,0.7799±0.0317,0.7411±0.0394,0.6561±0.0470,0.5708±0.0723,0.4374±0.0367,0.4646±0.0788,0.6399±0.0758,0.7346±0.1231,0.8359±0.0110,0.8307±0.0242,0.7793±0.0291,0.7446±0.0413,0.2832±0.0177,0.2891±0.0395,0.3643±0.0588,0.4261±0.0725,0.1427±0.0130,0.1518±0.0247,0.2106±0.0229,0.2423±0.0405
PreOrder__Subset__2,0.8501±0.0150,0.8035±0.0236,0.7495±0.0484,0.7138±0.0325,0.8950±0.0120,0.8695±0.0281,0.8177±0.0254,0.7676±0.0356,0.6232±0.0065,0.6111±0.0297,0.5384±0.0242,0.4770±0.0395,0.7799±0.0317,0.7411±0.0394,0.6561±0.0470,0.5708±0.0723,0.4374±0.0367,0.4646±0.0788,0.6399±0.0758,0.7346±0.1231,0.8359±0.0110,0.8307±0.0242,0.7793±0.0291,0.7446±0.0413,0.2832±0.0177,0.2891±0.0395,0.3643±0.0588,0.4261±0.0725,0.1427±0.0130,0.1518±0.0247,0.2106±0.0229,0.2423±0.0405
PreOrder__Subset__None,0.8501±0.0150,0.8035±0.0236,0.7495±0.0484,0.7138±0.0325,0.8950±0.0120,0.8695±0.0281,0.8177±0.0254,0.7676±0.0356,0.6232±0.0065,0.6111±0.0297,0.5384±0.0242,0.4770±0.0395,0.7799±0.0317,0.7411±0.0394,0.6561±0.0470,0.5708±0.0723,0.4374±0.0367,0.4646±0.0788,0.6399±0.0758,0.7346±0.1231,0.8359±0.0110,0.8307±0.0242,0.7793±0.0291,0.7446±0.0413,0.2832±0.0177,0.2891±0.0395,0.3643±0.0588,0.4261±0.0725,0.1427±0.0130,0.1518±0.0247,0.2106±0.0229,0.2423±0.0405
br,0.8501±0.0150,0.8151±0.0380,0.7580±0.0275,0.7223±0.0374,0.8950±0.0120,0.8713±0.0229,0.8221±0.0207,0.7677±0.0300,0.6232±0.0065,0.6080±0.0443,0.5636±0.0458,0.4995±0.0417,0.7799±0.0317,0.7532±0.0420,0.6796±0.0478,0.5716±0.0499,0.4374±0.0367,0.4915±0.0584,0.5743±0.0617,0.7072±0.0927,0.8359±0.0110,0.8240±0.0201,0.8013±0.0209,0.7522±0.0224,0.2832±0.0177,0.3006±0.0353,0.3276±0.0336,0.4162±0.0284,0.1427±0.0130,0.1621±0.0200,0.1889±0.0209,0.2338±0.0318
cc,0.8475±0.0224,0.8321±0.0212,0.7584±0.0381,0.6744±0.0442,0.8821±0.0193,0.8871±0.0100,0.8269±0.0172,0.7424±0.0248,0.6371±0.0273,0.6109±0.0167,0.5549±0.0131,0.4681±0.0204,0.7341±0.0438,0.7786±0.0195,0.6985±0.0240,0.5486±0.0176,0.4587±0.0594,0.4413±0.0394,0.5877±0.0379,0.8129±0.0611,0.8342±0.0219,0.8370±0.0133,0.7966±0.0175,0.7302±0.0273,0.2814±0.0407,0.2813±0.0236,0.3371±0.0338,0.4334±0.0466,0.1502±0.0193,0.1442±0.0113,0.1927±0.0138,0.2678±0.0243
clr,0.8363±0.0247,0.8156±0.0344,0.7947±0.0394,0.7494±0.0191,0.8812±0.0096,0.8841±0.0182,0.8547±0.0198,0.8196±0.0230,0.6207±0.0201,0.6422±0.0579,0.5950±0.0420,0.5321±0.0321,0.7675±0.0283,0.7764±0.0359,0.7338±0.0325,0.6656±0.0135,0.4625±0.0150,0.4529±0.0554,0.5628±0.0714,0.6612±0.0848,0.8206±0.0100,0.8294±0.0206,0.8036±0.0192,0.7655±0.0213,0.3161±0.0232,0.2968±0.0401,0.3277±0.0298,0.3951±0.0324,0.1513±0.0037,0.1492±0.0177,0.1852±0.0214,0.2188±0.0274
ecc,0.8584±0.0171,0.8148±0.0368,0.7806±0.0420,0.7594±0.0480,0.8986±0.0095,0.8815±0.0162,0.8571±0.0178,0.8198±0.0244,0.6696±0.0468,0.6376±0.0468,0.5972±0.0384,0.5574±0.0642,0.7878±0.0304,0.7629±0.0395,0.7364±0.0215,0.6588±0.0375,0.4221±0.0691,0.4703±0.0482,0.5319±0.0354,0.5897±0.0447,0.8423±0.0179,0.8328±0.0170,0.8198±0.0111,0.7925±0.0171,0.2717±0.0245,0.2833±0.0330,0.2949±0.0229,0.3469±0.0361,0.1388±0.0219,0.1545±0.0147,0.1742±0.0083,0.1945±0.0140
