Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.3684±0.0715,0.3487±0.0706,0.4375±0.0921,0.3840±0.0422,0.3926±0.0599,0.3341±0.0235,0.3074±0.0321,0.2549±0.0281,0.7568±0.0301,0.7712±0.0311,0.7935±0.0872,0.7318±0.0506,0.4737±0.0449,0.4353±0.0237,0.4199±0.0326,0.3644±0.0337,0.6049±0.0535,0.5667±0.0218,0.5454±0.0292,0.4995±0.0405,0.3681±0.0473,0.3205±0.0227,0.2994±0.0283,0.2452±0.0273,0.3539±0.0439,0.3477±0.0260,0.3277±0.0267,0.3083±0.0261,0.2595±0.0318,0.2527±0.0234,0.2341±0.0165,0.2207±0.0191,0.6481±0.1056,0.6931±0.0951,0.6263±0.0980,0.6290±0.0550,0.6445±0.1012,0.6910±0.0709,0.6739±0.1133,0.7050±0.1115,0.4360±0.0387,0.4188±0.0201,0.4091±0.0290,0.3696±0.0372,0.3085±0.0337,0.2877±0.0149,0.2781±0.0194,0.2487±0.0282,0.7465±0.0332,0.7697±0.0306,0.7792±0.0895,0.7213±0.0577,0.1207±0.0547,0.0725±0.0216,0.0485±0.0267,0.0000±0.0000
PartialOrder__Hamming__None,0.3821±0.0500,0.3722±0.0802,0.4577±0.0743,0.4130±0.0219,0.3929±0.0506,0.3348±0.0241,0.2924±0.0385,0.2535±0.0310,0.7923±0.0188,0.8001±0.0227,0.8008±0.0989,0.7513±0.0668,0.4851±0.0379,0.4427±0.0221,0.4094±0.0464,0.3665±0.0393,0.6081±0.0488,0.5627±0.0232,0.5267±0.0287,0.4898±0.0417,0.3773±0.0426,0.3245±0.0249,0.2869±0.0392,0.2448±0.0313,0.3664±0.0431,0.3520±0.0238,0.3215±0.0320,0.3122±0.0335,0.2663±0.0296,0.2534±0.0221,0.2276±0.0205,0.2214±0.0225,0.6760±0.1105,0.7083±0.0904,0.6310±0.1066,0.6600±0.0908,0.6754±0.0817,0.7270±0.1043,0.7123±0.0968,0.7459±0.0969,0.4505±0.0348,0.4251±0.0206,0.4018±0.0387,0.3727±0.0430,0.3161±0.0300,0.2899±0.0151,0.2702±0.0248,0.2487±0.0313,0.7866±0.0320,0.7969±0.0314,0.7878±0.1015,0.7453±0.0712,0.1257±0.0494,0.0725±0.0307,0.0340±0.0249,0.0000±0.0000
PartialOrder__Subset__2,0.3660±0.0731,0.3487±0.0706,0.4373±0.0947,0.3786±0.0417,0.3914±0.0591,0.3341±0.0235,0.3084±0.0331,0.2557±0.0270,0.7519±0.0271,0.7712±0.0311,0.7935±0.0872,0.7366±0.0463,0.4717±0.0436,0.4353±0.0237,0.4210±0.0330,0.3663±0.0314,0.6033±0.0527,0.5667±0.0218,0.5462±0.0306,0.5019±0.0390,0.3669±0.0466,0.3205±0.0227,0.3004±0.0292,0.2464±0.0259,0.3527±0.0439,0.3477±0.0260,0.3278±0.0267,0.3115±0.0244,0.2587±0.0316,0.2527±0.0234,0.2344±0.0168,0.2229±0.0174,0.6466±0.1058,0.6931±0.0951,0.6263±0.0980,0.6337±0.0528,0.6358±0.1061,0.6910±0.0709,0.6643±0.1035,0.6902±0.1101,0.4337±0.0361,0.4188±0.0201,0.4096±0.0295,0.3720±0.0342,0.3068±0.0317,0.2877±0.0149,0.2786±0.0199,0.2504±0.0262,0.7428±0.0305,0.7697±0.0306,0.7792±0.0895,0.7256±0.0537,0.1207±0.0547,0.0725±0.0216,0.0485±0.0267,0.0000±0.0000
PartialOrder__Subset__None,0.3844±0.0505,0.3722±0.0802,0.4569±0.0747,0.4103±0.0280,0.3902±0.0495,0.3348±0.0241,0.2918±0.0377,0.2556±0.0274,0.7874±0.0211,0.8001±0.0227,0.8058±0.0855,0.7584±0.0588,0.4816±0.0363,0.4427±0.0221,0.4093±0.0437,0.3697±0.0341,0.6033±0.0461,0.5627±0.0232,0.5276±0.0295,0.4914±0.0410,0.3747±0.0413,0.3245±0.0249,0.2864±0.0380,0.2471±0.0276,0.3631±0.0428,0.3520±0.0238,0.3231±0.0303,0.3161±0.0309,0.2634±0.0287,0.2534±0.0221,0.2289±0.0190,0.2240±0.0202,0.6745±0.1110,0.7083±0.0904,0.6332±0.1065,0.6671±0.0866,0.6849±0.0821,0.7270±0.1043,0.7263±0.0463,0.7382±0.1037,0.4461±0.0315,0.4251±0.0206,0.4038±0.0337,0.3760±0.0380,0.3123±0.0274,0.2899±0.0151,0.2715±0.0221,0.2508±0.0281,0.7829±0.0317,0.7969±0.0314,0.7918±0.0902,0.7538±0.0625,0.1257±0.0494,0.0725±0.0307,0.0340±0.0249,0.0000±0.0000
PreOrder__Hamming__2,0.3191±0.0581,0.3073±0.0812,0.3801±0.0719,0.3312±0.0191,0.4135±0.0599,0.3695±0.0577,0.3395±0.0468,0.2797±0.0420,0.6948±0.0315,0.7144±0.0743,0.6557±0.1028,0.6257±0.0727,0.4717±0.0429,0.4487±0.0598,0.4219±0.0504,0.3668±0.0478,0.6217±0.0389,0.6140±0.0406,0.6098±0.0459,0.5649±0.0501,0.3828±0.0523,0.3482±0.0548,0.3244±0.0422,0.2630±0.0357,0.3562±0.0339,0.3565±0.0422,0.3276±0.0808,0.2970±0.0505,0.2719±0.0226,0.2721±0.0283,0.2496±0.0553,0.2222±0.0323,0.6122±0.0955,0.6505±0.0922,0.5580±0.1412,0.5438±0.0887,0.5664±0.0972,0.5464±0.1170,0.7073±0.0779,0.6163±0.0968,0.4266±0.0314,0.4269±0.0406,0.4034±0.0568,0.3691±0.0494,0.3088±0.0269,0.3058±0.0299,0.2933±0.0413,0.2628±0.0394,0.6908±0.0358,0.7070±0.0631,0.6524±0.1069,0.6242±0.0704,0.1739±0.0792,0.1208±0.0765,0.0922±0.0497,0.0244±0.0309
PreOrder__Hamming__None,0.3492±0.0368,0.3328±0.0794,0.4502±0.0520,0.3539±0.0342,0.4067±0.0521,0.3515±0.0400,0.3177±0.0365,0.2620±0.0359,0.7505±0.0348,0.7410±0.0607,0.7087±0.0910,0.6910±0.0793,0.4821±0.0423,0.4406±0.0433,0.4185±0.0431,0.3641±0.0437,0.6209±0.0406,0.5939±0.0336,0.5776±0.0396,0.5188±0.0481,0.3827±0.0482,0.3309±0.0365,0.3080±0.0379,0.2498±0.0318,0.3732±0.0342,0.3492±0.0301,0.3104±0.0537,0.3082±0.0545,0.2796±0.0199,0.2608±0.0200,0.2280±0.0334,0.2232±0.0296,0.6551±0.1031,0.6612±0.0755,0.5648±0.1177,0.6397±0.1392,0.6322±0.0873,0.5981±0.1161,0.7600±0.0505,0.6837±0.0351,0.4454±0.0300,0.4221±0.0314,0.4015±0.0441,0.3680±0.0423,0.3177±0.0261,0.2969±0.0228,0.2823±0.0306,0.2514±0.0305,0.7470±0.0315,0.7302±0.0514,0.7011±0.1000,0.6893±0.0787,0.1497±0.0703,0.0869±0.0558,0.0537±0.0447,0.0049±0.0098
PreOrder__Subset__2,0.3084±0.0579,0.2883±0.0763,0.3779±0.0421,0.2892±0.0498,0.4099±0.0668,0.3670±0.0561,0.3396±0.0467,0.2765±0.0542,0.6812±0.0351,0.7024±0.0751,0.6315±0.0669,0.5897±0.0670,0.4639±0.0497,0.4432±0.0575,0.4138±0.0362,0.3543±0.0552,0.6185±0.0403,0.6109±0.0386,0.6049±0.0473,0.5634±0.0587,0.3764±0.0562,0.3452±0.0513,0.3210±0.0383,0.2581±0.0481,0.3515±0.0333,0.3523±0.0385,0.3147±0.0530,0.2843±0.0555,0.2690±0.0218,0.2702±0.0260,0.2436±0.0382,0.2169±0.0362,0.6046±0.0972,0.6440±0.0878,0.5261±0.0904,0.5046±0.0922,0.5442±0.0899,0.5185±0.1383,0.6709±0.0394,0.6052±0.1313,0.4190±0.0325,0.4204±0.0431,0.3907±0.0371,0.3573±0.0526,0.3041±0.0283,0.3014±0.0317,0.2862±0.0315,0.2568±0.0441,0.6751±0.0336,0.6946±0.0675,0.6232±0.0719,0.5921±0.0617,0.1740±0.0719,0.1257±0.0707,0.1020±0.0625,0.0390±0.0331
PreOrder__Subset__None,0.3464±0.0338,0.3225±0.0835,0.4399±0.0549,0.3604±0.0581,0.4053±0.0537,0.3505±0.0400,0.3180±0.0377,0.2610±0.0297,0.7505±0.0348,0.7410±0.0607,0.7062±0.0830,0.6909±0.0703,0.4805±0.0440,0.4395±0.0433,0.4175±0.0416,0.3631±0.0341,0.6185±0.0437,0.5931±0.0340,0.5760±0.0400,0.5204±0.0398,0.3813±0.0497,0.3299±0.0369,0.3085±0.0386,0.2479±0.0225,0.3724±0.0346,0.3506±0.0317,0.3111±0.0456,0.3029±0.0432,0.2789±0.0203,0.2614±0.0205,0.2281±0.0282,0.2203±0.0225,0.6551±0.1031,0.6638±0.0799,0.5648±0.1035,0.6214±0.1132,0.6322±0.0873,0.5766±0.1283,0.7626±0.0680,0.6799±0.0263,0.4441±0.0316,0.4216±0.0313,0.4007±0.0402,0.3669±0.0316,0.3164±0.0276,0.2964±0.0226,0.2816±0.0287,0.2511±0.0235,0.7470±0.0315,0.7302±0.0514,0.7007±0.0917,0.6848±0.0638,0.1497±0.0703,0.0869±0.0558,0.0585±0.0502,0.0049±0.0098
br,0.5579±0.0669,0.4834±0.0385,0.5111±0.0529,0.3686±0.0690,0.3843±0.0730,0.3644±0.0753,0.3116±0.0604,0.2700±0.0499,0.3823±0.1112,0.3985±0.0643,0.4028±0.0770,0.4029±0.0661,0.3704±0.0884,0.3587±0.0658,0.3294±0.0627,0.3030±0.0556,0.8123±0.0199,0.7917±0.0257,0.7448±0.0279,0.6868±0.0210,0.3446±0.0829,0.3163±0.0633,0.2799±0.0523,0.2451±0.0481,0.3114±0.1365,0.3547±0.1122,0.2585±0.0835,0.2620±0.0270,0.3861±0.1551,0.4132±0.1279,0.2620±0.0723,0.2413±0.0270,0.2840±0.1370,0.3287±0.1053,0.2759±0.1085,0.3484±0.0521,0.9851±0.0196,0.9275±0.0801,0.9681±0.0275,0.8136±0.0574,0.4354±0.0778,0.4298±0.0785,0.3773±0.0633,0.3428±0.0519,0.5574±0.0426,0.4834±0.0953,0.3749±0.0624,0.2985±0.0484,0.3658±0.0982,0.3879±0.0701,0.3833±0.0783,0.4029±0.0570,0.2704±0.0682,0.1937±0.0625,0.1449±0.0307,0.0965±0.0341
cc,0.5073±0.0461,0.5246±0.0572,0.4327±0.0555,0.4370±0.0540,0.4542±0.0840,0.3605±0.0737,0.3674±0.0163,0.3274±0.0527,0.4661±0.1000,0.3805±0.0588,0.4559±0.0880,0.4586±0.0941,0.4469±0.0900,0.3562±0.0631,0.3782±0.0397,0.3585±0.0625,0.8172±0.0280,0.7924±0.0277,0.7503±0.0322,0.7029±0.0265,0.4195±0.0868,0.3243±0.0609,0.3234±0.0328,0.3050±0.0545,0.3303±0.1324,0.3102±0.0682,0.3189±0.0923,0.2745±0.0531,0.3771±0.1537,0.3765±0.1024,0.3143±0.1081,0.2463±0.0372,0.3214±0.1342,0.2888±0.0711,0.3496±0.1119,0.3492±0.1019,0.9896±0.0128,0.9795±0.0410,0.8947±0.0614,0.8261±0.0793,0.4936±0.0806,0.4192±0.0666,0.4162±0.0421,0.3776±0.0507,0.5635±0.0701,0.4907±0.0939,0.4031±0.0411,0.3295±0.0361,0.4445±0.0960,0.3695±0.0616,0.4428±0.0855,0.4498±0.0943,0.3381±0.0789,0.2317±0.0509,0.1785±0.0532,0.1689±0.0525
