Algorithm,auc_macro__0.0,auc_macro__0.1,auc_macro__0.2,auc_macro__0.3,auc_micro__0.0,auc_micro__0.1,auc_micro__0.2,auc_micro__0.3,auprc_macro__0.0,auprc_macro__0.1,auprc_macro__0.2,auprc_macro__0.3,auprc_micro__0.0,auprc_micro__0.1,auprc_micro__0.2,auprc_micro__0.3,coverage__0.0,coverage__0.1,coverage__0.2,coverage__0.3,lr_ap__0.0,lr_ap__0.1,lr_ap__0.2,lr_ap__0.3,one_error__0.0,one_error__0.1,one_error__0.2,one_error__0.3,ranking_loss__0.0,ranking_loss__0.1,ranking_loss__0.2,ranking_loss__0.3
PartialOrder__Hamming__2,0.7318±0.0099,0.7003±0.0068,0.6686±0.0051,0.6205±0.0101,0.7601±0.0074,0.7265±0.0057,0.6876±0.0052,0.6347±0.0106,0.5910±0.0189,0.5575±0.0200,0.5292±0.0095,0.4753±0.0203,0.6363±0.0168,0.5949±0.0194,0.5469±0.0111,0.4828±0.0236,8.5906±0.1061,9.1217±0.1040,9.5075±0.2676,9.8302±0.0994,0.7044±0.0173,0.6660±0.0107,0.6346±0.0127,0.5830±0.0176,0.2604±0.0446,0.3179±0.0148,0.3632±0.0207,0.4500±0.0295,0.2429±0.0108,0.2810±0.0074,0.3159±0.0101,0.3652±0.0110
PartialOrder__Hamming__None,0.7318±0.0099,0.7003±0.0068,0.6686±0.0051,0.6205±0.0101,0.7601±0.0074,0.7265±0.0057,0.6876±0.0052,0.6347±0.0106,0.5910±0.0189,0.5575±0.0200,0.5292±0.0095,0.4753±0.0203,0.6363±0.0168,0.5949±0.0194,0.5469±0.0111,0.4828±0.0236,8.5906±0.1061,9.1217±0.1040,9.5075±0.2676,9.8302±0.0994,0.7044±0.0173,0.6660±0.0107,0.6346±0.0127,0.5830±0.0176,0.2604±0.0446,0.3179±0.0148,0.3632±0.0207,0.4500±0.0295,0.2429±0.0108,0.2810±0.0074,0.3159±0.0101,0.3652±0.0110
PartialOrder__Subset__2,0.7318±0.0099,0.7003±0.0068,0.6686±0.0051,0.6205±0.0101,0.7601±0.0074,0.7265±0.0057,0.6876±0.0052,0.6347±0.0106,0.5910±0.0189,0.5575±0.0200,0.5292±0.0095,0.4753±0.0203,0.6363±0.0168,0.5949±0.0194,0.5469±0.0111,0.4828±0.0236,8.5906±0.1061,9.1217±0.1040,9.5075±0.2676,9.8302±0.0994,0.7044±0.0173,0.6660±0.0107,0.6346±0.0127,0.5830±0.0176,0.2604±0.0446,0.3179±0.0148,0.3632±0.0207,0.4500±0.0295,0.2429±0.0108,0.2810±0.0074,0.3159±0.0101,0.3652±0.0110
PartialOrder__Subset__None,0.7318±0.0099,0.7003±0.0068,0.6686±0.0051,0.6205±0.0101,0.7601±0.0074,0.7265±0.0057,0.6876±0.0052,0.6347±0.0106,0.5910±0.0189,0.5575±0.0200,0.5292±0.0095,0.4753±0.0203,0.6363±0.0168,0.5949±0.0194,0.5469±0.0111,0.4828±0.0236,8.5906±0.1061,9.1217±0.1040,9.5075±0.2676,9.8302±0.0994,0.7044±0.0173,0.6660±0.0107,0.6346±0.0127,0.5830±0.0176,0.2604±0.0446,0.3179±0.0148,0.3632±0.0207,0.4500±0.0295,0.2429±0.0108,0.2810±0.0074,0.3159±0.0101,0.3652±0.0110
PreOrder__Hamming__2,0.7318±0.0099,0.7003±0.0068,0.6686±0.0051,0.6205±0.0101,0.7601±0.0074,0.7265±0.0057,0.6876±0.0052,0.6347±0.0106,0.5910±0.0189,0.5575±0.0200,0.5292±0.0095,0.4753±0.0203,0.6363±0.0168,0.5949±0.0194,0.5469±0.0111,0.4828±0.0236,8.5906±0.1061,9.1217±0.1040,9.5075±0.2676,9.8302±0.0994,0.7044±0.0173,0.6660±0.0107,0.6346±0.0127,0.5830±0.0176,0.2604±0.0446,0.3179±0.0148,0.3632±0.0207,0.4500±0.0295,0.2429±0.0108,0.2810±0.0074,0.3159±0.0101,0.3652±0.0110
PreOrder__Hamming__None,0.7318±0.0099,0.7003±0.0068,0.6686±0.0051,0.6205±0.0101,0.7601±0.0074,0.7265±0.0057,0.6876±0.0052,0.6347±0.0106,0.5910±0.0189,0.5575±0.0200,0.5292±0.0095,0.4753±0.0203,0.6363±0.0168,0.5949±0.0194,0.5469±0.0111,0.4828±0.0236,8.5906±0.1061,9.1217±0.1040,9.5075±0.2676,9.8302±0.0994,0.7044±0.0173,0.6660±0.0107,0.6346±0.0127,0.5830±0.0176,0.2604±0.0446,0.3179±0.0148,0.3632±0.0207,0.4500±0.0295,0.2429±0.0108,0.2810±0.0074,0.3159±0.0101,0.3652±0.0110
PreOrder__Subset__2,0.7318±0.0099,0.7003±0.0068,0.6686±0.0051,0.6205±0.0101,0.7601±0.0074,0.7265±0.0057,0.6876±0.0052,0.6347±0.0106,0.5910±0.0189,0.5575±0.0200,0.5292±0.0095,0.4753±0.0203,0.6363±0.0168,0.5949±0.0194,0.5469±0.0111,0.4828±0.0236,8.5906±0.1061,9.1217±0.1040,9.5075±0.2676,9.8302±0.0994,0.7044±0.0173,0.6660±0.0107,0.6346±0.0127,0.5830±0.0176,0.2604±0.0446,0.3179±0.0148,0.3632±0.0207,0.4500±0.0295,0.2429±0.0108,0.2810±0.0074,0.3159±0.0101,0.3652±0.0110
PreOrder__Subset__None,0.7318±0.0099,0.7003±0.0068,0.6686±0.0051,0.6205±0.0101,0.7601±0.0074,0.7265±0.0057,0.6876±0.0052,0.6347±0.0106,0.5910±0.0189,0.5575±0.0200,0.5292±0.0095,0.4753±0.0203,0.6363±0.0168,0.5949±0.0194,0.5469±0.0111,0.4828±0.0236,8.5906±0.1061,9.1217±0.1040,9.5075±0.2676,9.8302±0.0994,0.7044±0.0173,0.6660±0.0107,0.6346±0.0127,0.5830±0.0176,0.2604±0.0446,0.3179±0.0148,0.3632±0.0207,0.4500±0.0295,0.2429±0.0108,0.2810±0.0074,0.3159±0.0101,0.3652±0.0110
br,0.7318±0.0099,0.7048±0.0054,0.6579±0.0064,0.6102±0.0070,0.7601±0.0074,0.7308±0.0058,0.6786±0.0084,0.6237±0.0083,0.5910±0.0189,0.5600±0.0185,0.5163±0.0189,0.4632±0.0202,0.6363±0.0168,0.5974±0.0146,0.5380±0.0187,0.4699±0.0216,8.5906±0.1061,8.9085±0.0795,9.6094±0.1758,10.0745±0.1106,0.7044±0.0173,0.6775±0.0122,0.6295±0.0155,0.5738±0.0192,0.2604±0.0446,0.3047±0.0190,0.3830±0.0296,0.4670±0.0367,0.2429±0.0108,0.2708±0.0101,0.3244±0.0105,0.3816±0.0155
cc,0.7313±0.0085,0.7042±0.0078,0.6637±0.0053,0.6127±0.0100,0.7583±0.0078,0.7279±0.0081,0.6843±0.0042,0.6280±0.0088,0.5882±0.0175,0.5563±0.0200,0.5213±0.0195,0.4635±0.0132,0.6333±0.0174,0.5950±0.0208,0.5441±0.0207,0.4717±0.0130,8.6038±0.1727,8.9840±0.1753,9.5340±0.0707,10.1491±0.0779,0.7000±0.0158,0.6680±0.0155,0.6316±0.0129,0.5735±0.0055,0.2896±0.0268,0.3113±0.0328,0.3783±0.0199,0.4642±0.0170,0.2444±0.0112,0.2788±0.0129,0.3190±0.0079,0.3764±0.0052
