Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.6381381381381381,0.016897062938901142
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.07567567567567567,0.027087020501572807
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.6171508651508647,0.02243216488282919
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.48999999999999994,0.022316414287940473
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.5228909217327604,0.02219850860914835
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.6425988334457834,0.02046525356700723
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.4612680812949604,0.020283110224804574
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.558616848576213,0.023801800333748884
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.6241675825995153,0.05726596097571991
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.7578875035771714,0.0338206589089371
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.565195195195195,0.0240431605464955
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.7508348348348349,0.03786828652370425
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.8717262035158727,0.05604795468483231
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.4796948671682342,0.04975567471159612
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.6435382241653698,0.017304473419553303
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.0853038493038493,0.032759189833545456
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.6191340197340193,0.02379988425467406
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,jaccard_pa,0.4938580944580944,0.02433226173957668
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_precision_pa,0.5721046137046136,0.025119408678068937
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_recall_pa,0.7456477204477204,0.039401707591695104
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_precision_pa,0.46248206169237155,0.019150609361302612
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_precision_pa,0.5654186473425051,0.02472261309262084
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_recall_pa,0.6159796226839713,0.05470852599762968
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_recall_pa,0.7538843170645088,0.03542353315289876
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_f1_pa,0.5213540663520743,0.020901147109339723
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_f1_pa,0.6455539072798788,0.021155421043727567
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,mfrd_pa,0.8854133697442181,0.057117514159551505
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,afrd_pa,0.48504244006131875,0.047222536453489644
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.6502702702702703,0.017571648097743288
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.018918918918918916,0.009108559091953815
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.08792792792792793,0.033250932971307455
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.08216216216216216,0.03039869795886579
