Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.6518318318318318,0.021760150154936802
RF,,,,,BinaryVector,subset0_1,0.08972972972972974,0.03207814498633209
RF,,,,,BinaryVector,f1,0.5590173030173026,0.034800660625568754
RF,,,,,BinaryVector,jaccard,0.4428528528528528,0.032351166119641686
RF,,,,,BinaryVector,macro_f1,0.4611284318006319,0.021733033528340242
RF,,,,,BinaryVector,micro_f1,0.5968775911864066,0.028217914239988796
RF,,,,,BinaryVector,macro_precision,0.467750338384522,0.02711603115430824
RF,,,,,BinaryVector,micro_precision,0.5951428803511647,0.03800601473993239
RF,,,,,BinaryVector,macro_recall,0.4670810913647049,0.03144863807188863
RF,,,,,BinaryVector,micro_recall,0.6005600637538546,0.0357440440929633
RF,,,,,BinaryVector,example_precision,0.600018018018018,0.040381164200725905
RF,,,,,BinaryVector,example_recall,0.5935975975975976,0.040535332331452165
RF,,,,,BinaryVector,mfrd,0.9198080357320754,0.09132278874813289
RF,,,,,BinaryVector,afrd,0.44277212279041406,0.060705740043635645
RF,,,,,ScoreVector,ranking_loss,0.2988688688688689,0.031083018545981316
RF,,,,,ScoreVector,one_error,0.34054054054054056,0.06765759767754445
RF,,,,,ScoreVector,coverage,3.155675675675676,0.1455900454227248
RF,,,,,ScoreVector,lr_ap,0.7297185185185188,0.03295949582383738
RF,,,,,ScoreVector,auc_macro,0.5545493771801288,0.03309707447986206
RF,,,,,ScoreVector,auc_micro,0.7021225055126514,0.024098739535437504
RF,,,,,ScoreVector,auprc_macro,0.48574809880977676,0.028311876715685438
RF,,,,,ScoreVector,auprc_micro,0.6123990659022857,0.04454876785942181
