Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.765403286034354,0.0075976354564650725
RF,,,,,BinaryVector,subset0_1,0.0693427931292009,0.029163507079507815
RF,,,,,BinaryVector,f1,0.0693427931292009,0.029163507079507815
RF,,,,,BinaryVector,jaccard,0.0693427931292009,0.029163507079507815
RF,,,,,BinaryVector,macro_f1,0.0845623095439604,0.031809207741686996
RF,,,,,BinaryVector,micro_f1,0.12737082164093963,0.0512205964133331
RF,,,,,BinaryVector,macro_precision,0.26,0.04898979485566357
RF,,,,,BinaryVector,micro_precision,1.0,0.0
RF,,,,,BinaryVector,macro_recall,0.05254434966563113,0.022581887185196433
RF,,,,,BinaryVector,micro_recall,0.0688088326767572,0.02895989273850433
RF,,,,,BinaryVector,example_precision,0.0693427931292009,0.029163507079507815
RF,,,,,BinaryVector,example_recall,0.0693427931292009,0.029163507079507815
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.9474556503343688,0.02258188718519643
RF,,,,,ScoreVector,ranking_loss,0.14432630072193178,0.011354601284462326
RF,,,,,ScoreVector,one_error,0.27710978342046305,0.024245202819633285
RF,,,,,ScoreVector,coverage,0.4401232262882749,0.034385802076328575
RF,,,,,ScoreVector,lr_ap,0.8378734129947722,0.012186561948117482
RF,,,,,ScoreVector,auc_macro,0.8299449728912065,0.03958712042985708
RF,,,,,ScoreVector,auc_micro,0.8879724398809766,0.014203618498004425
RF,,,,,ScoreVector,auprc_macro,0.6317308600554224,0.05299347901689799
RF,,,,,ScoreVector,auprc_micro,0.7729218166725712,0.02376773979227971
