Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8455395817774458,0.014944972752822904
RF,,,,,BinaryVector,subset0_1,0.508991784914115,0.05156614921397965
RF,,,,,BinaryVector,f1,0.5281385362210603,0.0523229844196277
RF,,,,,BinaryVector,jaccard,0.523319641523525,0.0518658783487187
RF,,,,,BinaryVector,macro_f1,0.4460969508137279,0.035346854975512584
RF,,,,,BinaryVector,micro_f1,0.6339920286979547,0.04368589100962189
RF,,,,,BinaryVector,macro_precision,0.5780313080413126,0.053876076913930954
RF,,,,,BinaryVector,micro_precision,0.7858556937349036,0.04072814970958689
RF,,,,,BinaryVector,macro_recall,0.38655327582611043,0.04016687090131943
RF,,,,,BinaryVector,micro_recall,0.5339568042020872,0.055012472638267036
RF,,,,,BinaryVector,example_precision,0.5248618371919342,0.05137394642767825
RF,,,,,BinaryVector,example_recall,0.5363629574309187,0.05418646918435469
RF,,,,,BinaryVector,mfrd,0.9992118035332944,0.0026729395153000718
RF,,,,,BinaryVector,afrd,0.5596434538597943,0.04628095001175611
RF,,,,,ScoreVector,ranking_loss,0.16135362210604928,0.016775643363244174
RF,,,,,ScoreVector,one_error,0.29095593726661684,0.021403854361412632
RF,,,,,ScoreVector,coverage,0.48984690067214337,0.05216623827784324
RF,,,,,ScoreVector,lr_ap,0.824010144386358,0.014321184203401402
RF,,,,,ScoreVector,auc_macro,0.7667513304038137,0.04596623757340159
RF,,,,,ScoreVector,auc_micro,0.8634133994717132,0.01800452161067978
RF,,,,,ScoreVector,auprc_macro,0.5695161254058437,0.04317433751008526
RF,,,,,ScoreVector,auprc_micro,0.7345162784356383,0.025662602595397172
