Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.847083644510829,0.013904217697795223
RF,,,,,BinaryVector,subset0_1,0.5198020911127708,0.05455941675193674
RF,,,,,BinaryVector,f1,0.5279574309185959,0.05784357801242367
RF,,,,,BinaryVector,jaccard,0.5259024147373661,0.056911662990944904
RF,,,,,BinaryVector,macro_f1,0.44330893313544,0.033528087642498046
RF,,,,,BinaryVector,micro_f1,0.6334037370208326,0.043793075897494864
RF,,,,,BinaryVector,macro_precision,0.5948935615378501,0.03128435075103874
RF,,,,,BinaryVector,micro_precision,0.7991612221592745,0.0410105131812525
RF,,,,,BinaryVector,macro_recall,0.3796858390489237,0.04230547080411404
RF,,,,,BinaryVector,micro_recall,0.528017070979335,0.05908879836999559
RF,,,,,BinaryVector,example_precision,0.52712285287528,0.057929117055267744
RF,,,,,BinaryVector,example_recall,0.5307823002240477,0.05894495349426039
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.5784998922379372,0.04445552315823234
RF,,,,,ScoreVector,ranking_loss,0.14665173014687577,0.015685323855483713
RF,,,,,ScoreVector,one_error,0.2821284540702016,0.032154639163153996
RF,,,,,ScoreVector,coverage,0.4463256161314414,0.049437775643412826
RF,,,,,ScoreVector,lr_ap,0.8357804331590739,0.01751861592910877
RF,,,,,ScoreVector,auc_macro,0.7818697684586744,0.03954010054367572
RF,,,,,ScoreVector,auc_micro,0.8744080842155998,0.016827504867155816
RF,,,,,ScoreVector,auprc_macro,0.5857034379330915,0.035670485911762584
RF,,,,,ScoreVector,auprc_micro,0.7624708749455441,0.028798788295059868
