Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.6358308439133682,0.03745315637720892
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.22889469753547423,0.056066042587735225
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.5790283793876023,0.02573345542597433
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.4791433283544935,0.03300807522093349
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.4596275129782877,0.025543542755368104
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.5360444999006979,0.02508388825865041
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.3539460168110903,0.021751174292027685
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.39628307984611283,0.02656964267127543
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.73298438677115,0.0775331500906846
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.8317851268228627,0.03365410803405905
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.47985187951207386,0.0327732713758698
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.8328995519044063,0.0331002383120873
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.5694280737586148,0.10399933680427201
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.3169710306140973,0.0785900862307744
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.771842639090036,0.026325566359437252
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.49017837917485996,0.07014155326839873
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.6599197955131612,0.02447288776971811
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,jaccard_pa,0.6168398060114264,0.033153871677467396
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_precision_pa,0.6180366610711134,0.03306268262032458
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_recall_pa,0.7470640040809089,0.030344880882505615
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_precision_pa,0.47708780693397534,0.08166773080916638
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_precision_pa,0.5671682598668495,0.0401342320397392
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_recall_pa,0.6415882240890958,0.07717759581650867
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_recall_pa,0.8066064518873008,0.034191431814986156
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_f1_pa,0.5295464408722951,0.059814597528487376
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_f1_pa,0.6650487450980251,0.03152207805567515
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,mfrd_pa,0.8117076152147418,0.19358556239173172
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,afrd_pa,0.38962030482436844,0.09273431301371292
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.8208765870052278,0.031811249861426784
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.21836631814787155,0.07040771736430229
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.5194249439880507,0.08116395334498558
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.5194137415982076,0.11476759697005023
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,ranking_loss,0.2040356609410007,0.0216224507072551
