Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.9174592523061699,0.0014771402354087854
RF,,,,,BinaryVector,subset0_1,0.0669667738478028,0.008392271959678331
RF,,,,,BinaryVector,f1,0.0757542911288193,0.010453378512307999
RF,,,,,BinaryVector,jaccard,0.07351340109390345,0.009849611684281025
RF,,,,,BinaryVector,macro_f1,0.034481290007844445,0.0049527287089933
RF,,,,,BinaryVector,micro_f1,0.12208022514378955,0.017130109760778146
RF,,,,,BinaryVector,macro_precision,0.20646747242173574,0.05282640046497827
RF,,,,,BinaryVector,micro_precision,0.6126547946703235,0.04556138988111199
RF,,,,,BinaryVector,macro_recall,0.02127912168232797,0.003314466171347239
RF,,,,,BinaryVector,micro_recall,0.06790874425999047,0.010332876956216399
RF,,,,,BinaryVector,example_precision,0.0796362054771114,0.0117555985979537
RF,,,,,BinaryVector,example_recall,0.07425388294301105,0.009913009080451288
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.9735367148942732,0.0036367226569772797
RF,,,,,ScoreVector,ranking_loss,0.1757506977793338,0.0097121371817992
RF,,,,,ScoreVector,one_error,0.5785603554064339,0.016194196477480428
RF,,,,,ScoreVector,coverage,2.6468486157064377,0.14711885448932202
RF,,,,,ScoreVector,lr_ap,0.5839230580468904,0.01407704974499974
RF,,,,,ScoreVector,auc_macro,0.5873497074047453,0.02030116157713953
RF,,,,,ScoreVector,auc_micro,0.8104014134508825,0.009899745477111671
RF,,,,,ScoreVector,auprc_macro,0.16045525766548155,0.010412500680313533
RF,,,,,ScoreVector,auprc_micro,0.3501013627928903,0.016484405672404723
