Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.285561576635252,0.01961786379792708
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.012169770777348014,0.003945204773698657
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.18976701251187186,0.008039396734770589
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.11462175420994608,0.00704510550911404
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.14823069563443872,0.0022578455640996455
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.17073006900539273,0.003177487933784543
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.08996881720810102,0.0013979458694035783
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.09467670173642201,0.0019561098353799438
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.8232649868576847,0.032375227041853645
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.8684385333526972,0.011349396038841785
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.11637555811356277,0.007897203968378693
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.87055699671898,0.013210734183083784
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.9080571998805026,0.018072032091958613
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.5952274263817494,0.04648465227603336
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.807555525581194,0.012376938298491074
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.30421640353405516,0.024016626552862776
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.4566745638565491,0.01830803703667796
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,jaccard_pa,0.4167528994641967,0.01761008631381436
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_precision_pa,0.4299744820997045,0.018801436578562043
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_recall_pa,0.5289477542689879,0.021995825920339187
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_precision_pa,0.17889091284274258,0.024009698262463186
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_precision_pa,0.40511720045469807,0.017380935829137727
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_recall_pa,0.27966804880629076,0.026800688863178775
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_recall_pa,0.7403945801242239,0.02198806678622463
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_f1_pa,0.20988564044357078,0.021769797871652074
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_f1_pa,0.5235329119920616,0.01817845842935613
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,mfrd_pa,0.998607709264348,0.0028128496453437846
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,afrd_pa,0.601120342308584,0.07280235481800794
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.9420931684415537,0.004243154163513948
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.6982439010678911,0.02442853166351567
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.4618147267916596,0.03298127055016324
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.975594907083793,0.010090287908178432
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,ranking_loss,0.206634325839368,0.010921044908394609
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,one_error,0.6052216371271314,0.018292277750559312
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,coverage,3.0726157892829224,0.17404634580088973
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,lr_ap,0.5496834498687504,0.014937930100228375
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_macro,0.5734115055914166,0.025073707286546495
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_micro,0.7822719757554261,0.01077546428635204
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_macro,0.14739278358177535,0.008451086056444925
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_micro,0.30587949683301646,0.01899484946093076
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.8349311658356798,0.003242355273251449
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.011912225380700144,0.0039429822488205625
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.2807460221300568,0.019387989647558303
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.013586632907197707,0.00494815384095852
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.18782777827030914,0.008004805170125855
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,jaccard,0.11376416448210765,0.007317743349554091
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_f1,0.14750290574121078,0.002293749980171325
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_f1,0.16885305850379784,0.0029669289980980874
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_precision,0.08965638118291601,0.0014505352220245587
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_precision,0.0935898560941294,0.0018253427559629383
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_recall,0.8234074851332807,0.03452210756998835
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_recall,0.8627677515964665,0.012286331323497702
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,example_precision,0.11574902114464419,0.008316093440692927
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,example_recall,0.8656209170632023,0.013866507230445753
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,mfrd,0.8988910681843469,0.020845231911042
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,afrd,0.5994977922707203,0.048691553853472395
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8120548444678112,0.01310195236559108
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,subset0_1_pa,0.32395840082981414,0.01991751415003046
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,f1_pa,0.4593872851271888,0.021101170503129457
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,jaccard_pa,0.42414033125657596,0.019862678690879598
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,example_precision_pa,0.4394680274176549,0.0213598775984773
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,example_recall_pa,0.5181922873075419,0.02335464682882859
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,macro_precision_pa,0.1878203177631573,0.03001349140198367
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,micro_precision_pa,0.4147742340902678,0.018914508847488697
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,macro_recall_pa,0.27276488196203497,0.026761242162297895
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,micro_recall_pa,0.7251660504825069,0.022504720946947433
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,macro_f1_pa,0.21202636088884183,0.023955884625980497
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,micro_f1_pa,0.5275593315409494,0.019673934249155256
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,mfrd_pa,0.9985860885146599,0.002851021770301601
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,afrd_pa,0.5958840106966911,0.08148761937985759
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,arec,0.945046160378189,0.0040537647392731605
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,aabs,0.7066655201465772,0.02386719116288611
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,rec,0.48402959649150057,0.030160514679566874
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,abs,0.9773336232919625,0.009477419212252158
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,ranking_loss,0.206634325839368,0.010921044908394609
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,one_error,0.6052216371271314,0.018292277750559312
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,coverage,3.0726157892829224,0.17404634580088973
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,lr_ap,0.5496834498687504,0.014937930100228375
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,auc_macro,0.5734115055914166,0.025073707286546495
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,auc_micro,0.7822719757554261,0.01077546428635204
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,auprc_macro,0.14739278358177535,0.008451086056444925
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,auprc_micro,0.30587949683301646,0.01899484946093076
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.8352779190301891,0.003250254539718536
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.013522220668872424,0.0049043018602927865
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,hamming_accuracy,0.2849405473856753,0.019453822189648622
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,subset0_1,0.012298595253998578,0.003723525750422244
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,f1,0.18937379125819986,0.007884581259130758
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,jaccard,0.11433511061304415,0.0068531202176490905
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,macro_f1,0.14813921695750698,0.0023205206281022637
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,micro_f1,0.170544903219994,0.0032178171027951053
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,macro_precision,0.08991948327177264,0.0014267072826039103
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,micro_precision,0.09456724296202008,0.0019751992348145562
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,macro_recall,0.8229000367847958,0.03245255728071019
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,micro_recall,0.8680591668861096,0.011363680823839359
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,example_precision,0.11602286274857267,0.007673966172430814
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,example_recall,0.870310652700326,0.013365235859389975
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,mfrd,0.9070417989725756,0.01896054152850628
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,afrd,0.5954620029469819,0.04650619776017368
RF,PreOrder__Subset__None,Subset,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8074993868589031,0.012442421532977812
