Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.9161989974236584,0.0013199880900179155
RF,,,,,BinaryVector,subset0_1,0.02247417555959426,0.010360470920014412
RF,,,,,BinaryVector,f1,0.025560319161605335,0.01184679121805419
RF,,,,,BinaryVector,jaccard,0.024774098804389123,0.01143201659803819
RF,,,,,BinaryVector,macro_f1,0.011130593123061432,0.005127905204037386
RF,,,,,BinaryVector,micro_f1,0.04411196955097191,0.02014428932953882
RF,,,,,BinaryVector,macro_precision,0.08946837662068699,0.04990913023377221
RF,,,,,BinaryVector,micro_precision,0.6537205043896762,0.12625946461905627
RF,,,,,BinaryVector,macro_recall,0.006264737697992201,0.0031237714242669003
RF,,,,,BinaryVector,micro_recall,0.02300417252627244,0.010896290961687888
RF,,,,,BinaryVector,example_precision,0.02678140645222056,0.012615275973752392
RF,,,,,BinaryVector,example_recall,0.025232959321220657,0.011582912960349733
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.992174828253806,0.0037441513860125347
RF,,,,,ScoreVector,ranking_loss,0.1814375233598403,0.01198572491255225
RF,,,,,ScoreVector,one_error,0.5926639431266861,0.01888439893639193
RF,,,,,ScoreVector,coverage,2.7157708498376745,0.1850027442413972
RF,,,,,ScoreVector,lr_ap,0.5793645588039983,0.015556482209760749
RF,,,,,ScoreVector,auc_macro,0.611801715884515,0.023916786906094067
RF,,,,,ScoreVector,auc_micro,0.8183128962678942,0.012720286243246066
RF,,,,,ScoreVector,auprc_macro,0.168666214407767,0.014130352508549021
RF,,,,,ScoreVector,auprc_micro,0.34762902439585597,0.020410621188268904
