Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.9098834815977673,0.0024883089379126025
RF,,,,,BinaryVector,subset0_1,0.058504447933019364,0.015456909066433842
RF,,,,,BinaryVector,f1,0.06388609802895517,0.015946346631546406
RF,,,,,BinaryVector,jaccard,0.06248962148962149,0.015678033442917613
RF,,,,,BinaryVector,macro_f1,0.048031868037069936,0.013892268622327683
RF,,,,,BinaryVector,micro_f1,0.10955782048500749,0.025669187411547834
RF,,,,,BinaryVector,macro_precision,0.1650921138393488,0.05534718249724868
RF,,,,,BinaryVector,micro_precision,0.503338178915095,0.10251201361457159
RF,,,,,BinaryVector,macro_recall,0.029725111440343923,0.008731536268891222
RF,,,,,BinaryVector,micro_recall,0.06196778818501418,0.015501945315951495
RF,,,,,BinaryVector,example_precision,0.06395429966858539,0.015640839335542982
RF,,,,,BinaryVector,example_recall,0.0653506017791732,0.01669951589299582
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.9628627629187031,0.009796906595010039
RF,,,,,ScoreVector,ranking_loss,0.25921897485230816,0.02010678754256029
RF,,,,,ScoreVector,one_error,0.672821559392988,0.026261407781773643
RF,,,,,ScoreVector,coverage,3.008268969126112,0.2372290548973624
RF,,,,,ScoreVector,lr_ap,0.4953666440513381,0.02040239009494377
RF,,,,,ScoreVector,auc_macro,0.6049058360225587,0.03551513335451606
RF,,,,,ScoreVector,auc_micro,0.7270286554211657,0.018559391877463412
RF,,,,,ScoreVector,auprc_macro,0.16810139408013772,0.01774690167138068
RF,,,,,ScoreVector,auprc_micro,0.2408614534045695,0.019900185403343238
