Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8171118854045684,0.021805848320469404
RF,,,,,BinaryVector,subset0_1,0.22322880371660858,0.06709466147406778
RF,,,,,BinaryVector,f1,0.31169957413859856,0.08503101349181572
RF,,,,,BinaryVector,jaccard,0.2892992644212157,0.0798770840977087
RF,,,,,BinaryVector,macro_f1,0.25013442782631945,0.08588710669303518
RF,,,,,BinaryVector,micro_f1,0.3952823899460377,0.09485897040082708
RF,,,,,BinaryVector,macro_precision,0.31252184999955895,0.07897663751277051
RF,,,,,BinaryVector,micro_precision,0.5971599348996546,0.09899146235170236
RF,,,,,BinaryVector,macro_recall,0.22470494260603968,0.09469657840240124
RF,,,,,BinaryVector,micro_recall,0.3023421014159437,0.09108724389668131
RF,,,,,BinaryVector,example_precision,0.33106852497096395,0.09038478712083088
RF,,,,,BinaryVector,example_recall,0.31522648083623694,0.08867707550634864
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.6479906103306773,0.04801456602544198
RF,,,,,ScoreVector,ranking_loss,0.21197154471544713,0.034657642896847196
RF,,,,,ScoreVector,one_error,0.47865272938443676,0.0923075775782635
RF,,,,,ScoreVector,coverage,1.2942857142857145,0.17866138674402032
RF,,,,,ScoreVector,lr_ap,0.6950075493612079,0.046236984303949014
RF,,,,,ScoreVector,auc_macro,,
RF,,,,,ScoreVector,auc_micro,0.804907755894355,0.039117636925316536
RF,,,,,ScoreVector,auprc_macro,0.4540687332199227,0.1344013305350694
RF,,,,,ScoreVector,auprc_micro,0.5243251875409942,0.06732043477438271
