Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8018854045683314,0.013097177834241299
RF,,,,,BinaryVector,subset0_1,0.026178861788617887,0.022713755704883955
RF,,,,,BinaryVector,f1,0.030050329074719318,0.024554643845226192
RF,,,,,BinaryVector,jaccard,0.029082462253193962,0.02384316481216901
RF,,,,,BinaryVector,macro_f1,0.060867611691141105,0.055835716822358696
RF,,,,,BinaryVector,micro_f1,0.05104685240943367,0.04154101647048863
RF,,,,,BinaryVector,macro_precision,0.15111111111111108,0.11495570805668943
RF,,,,,BinaryVector,micro_precision,0.6933333333333332,0.4414118761932493
RF,,,,,BinaryVector,macro_recall,0.043990215924426444,0.04379817453998798
RF,,,,,BinaryVector,micro_recall,0.02683142032954298,0.02244303524032724
RF,,,,,BinaryVector,example_precision,0.03198606271777004,0.02640376338168722
RF,,,,,BinaryVector,example_recall,0.029082462253193962,0.02384316481216901
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.8885533738191633,0.05772972938839831
RF,,,,,ScoreVector,ranking_loss,0.20433759194734802,0.03509233047300627
RF,,,,,ScoreVector,one_error,0.4750522648083624,0.07924929128616756
RF,,,,,ScoreVector,coverage,1.2445528455284554,0.17368857980414357
RF,,,,,ScoreVector,lr_ap,0.7008552071234998,0.042403334602470255
RF,,,,,ScoreVector,auc_macro,,
RF,,,,,ScoreVector,auc_micro,0.8176404001582793,0.03446305773147042
RF,,,,,ScoreVector,auprc_macro,0.4491081940109752,0.1076505523550286
RF,,,,,ScoreVector,auprc_micro,0.5474963443646437,0.06101954754609511
