Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.7318059299191374,0.004218996183961847
RF,,,,,BinaryVector,subset0_1,0.027358490566037737,0.009146565768710053
RF,,,,,BinaryVector,f1,0.5507507454316555,0.008914254564645323
RF,,,,,BinaryVector,jaccard,0.41290962182471624,0.008680975810487894
RF,,,,,BinaryVector,macro_f1,0.5070083274241329,0.009231013663172534
RF,,,,,BinaryVector,micro_f1,0.5819976140962355,0.00681270187737516
RF,,,,,BinaryVector,macro_precision,0.6284686273574551,0.03205512933026747
RF,,,,,BinaryVector,micro_precision,0.6685231216578024,0.01844097440080794
RF,,,,,BinaryVector,macro_recall,0.4543546185600336,0.006216401372601731
RF,,,,,BinaryVector,micro_recall,0.5156027719997921,0.007767995991067302
RF,,,,,BinaryVector,example_precision,0.6578694968553457,0.017603561160521836
RF,,,,,BinaryVector,example_recall,0.519255901331373,0.012310646820464663
RF,,,,,BinaryVector,mfrd,0.8472996605803021,0.030373108552652548
RF,,,,,BinaryVector,afrd,0.4369737398789416,0.01704298988869441
RF,,,,,ScoreVector,ranking_loss,0.22709905080693488,0.0057072411069785155
RF,,,,,ScoreVector,one_error,0.24245283018867927,0.027277042065662182
RF,,,,,ScoreVector,coverage,8.478301886792453,0.10431249434087005
RF,,,,,ScoreVector,lr_ap,0.7247147070588937,0.009878689286073277
RF,,,,,ScoreVector,auc_macro,0.7450367465245366,0.011106263733549034
RF,,,,,ScoreVector,auc_micro,0.7773793685596375,0.006147778266484177
RF,,,,,ScoreVector,auprc_macro,0.6056905287865602,0.022291333420041744
RF,,,,,ScoreVector,auprc_micro,0.6621247529474104,0.014071497344060867
