Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.6679784366576819,0.008652710941943134
RF,,,,,BinaryVector,subset0_1,0.005471698113207547,0.005283018867924528
RF,,,,,BinaryVector,f1,0.4982567924381115,0.017193473674745097
RF,,,,,BinaryVector,jaccard,0.35894692676296464,0.014901307954978347
RF,,,,,BinaryVector,macro_f1,0.48555712542584795,0.015884574672817377
RF,,,,,BinaryVector,micro_f1,0.5317798556930855,0.01601216691873312
RF,,,,,BinaryVector,macro_precision,0.5048513705829221,0.02320001033195648
RF,,,,,BinaryVector,micro_precision,0.5438959783015749,0.021693140380440942
RF,,,,,BinaryVector,macro_recall,0.47899494293437606,0.02133150080971542
RF,,,,,BinaryVector,micro_recall,0.521022223491888,0.022327472646358985
RF,,,,,BinaryVector,example_precision,0.5412829848348716,0.022053341199680394
RF,,,,,BinaryVector,example_recall,0.520716177952027,0.024449043715928334
RF,,,,,BinaryVector,mfrd,0.6584871344170505,0.05543709576082781
RF,,,,,BinaryVector,afrd,0.31954067300529343,0.029109250721109058
RF,,,,,ScoreVector,ranking_loss,0.3004984398650166,0.014775735512947414
RF,,,,,ScoreVector,one_error,0.34283018867924525,0.040636621348975624
RF,,,,,ScoreVector,coverage,9.328490566037736,0.19620772770232664
RF,,,,,ScoreVector,lr_ap,0.6468606069649997,0.019078873051040553
RF,,,,,ScoreVector,auc_macro,0.6647895452317708,0.012461885136274144
RF,,,,,ScoreVector,auc_micro,0.6985066408808521,0.01197825701912157
RF,,,,,ScoreVector,auprc_macro,0.5191376245284244,0.02195180185323022
RF,,,,,ScoreVector,auprc_micro,0.5636251256038534,0.02251708963716967
