Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.7952995959433001,0.00532732763256827
RF,,,,,BinaryVector,subset0_1,0.09690724295467378,0.013936395785009343
RF,,,,,BinaryVector,f1,0.5452768885034169,0.012028360979236484
RF,,,,,BinaryVector,jaccard,0.4334610469238058,0.011960661077943233
RF,,,,,BinaryVector,macro_f1,0.27190374441844284,0.010746583692548712
RF,,,,,BinaryVector,micro_f1,0.5781488288471816,0.01169954990208741
RF,,,,,BinaryVector,macro_precision,0.5787028788373609,0.06954017888111358
RF,,,,,BinaryVector,micro_precision,0.7681275643266561,0.008450958934127518
RF,,,,,BinaryVector,macro_recall,0.23909807241999792,0.009107597789291435
RF,,,,,BinaryVector,micro_recall,0.4637002729398009,0.014640196174076811
RF,,,,,BinaryVector,example_precision,0.7542448963295943,0.009912812360512422
RF,,,,,BinaryVector,example_recall,0.4605232737469022,0.015393433418479511
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.8855591237962618,0.012340794420870323
RF,,,,,ScoreVector,ranking_loss,0.16359326190714374,0.0042576097657245566
RF,,,,,ScoreVector,one_error,0.24187054052666704,0.011901337650102546
RF,,,,,ScoreVector,coverage,6.216926406926407,0.06765202025706415
RF,,,,,ScoreVector,lr_ap,0.7597412391225824,0.0037660880793067997
RF,,,,,ScoreVector,auc_macro,0.6960607689650545,0.010183243683219245
RF,,,,,ScoreVector,auc_micro,0.8418773517263638,0.0048447658039433555
RF,,,,,ScoreVector,auprc_macro,0.5084311834363106,0.009943285466784602
RF,,,,,ScoreVector,auprc_micro,0.7086491207437523,0.007367380710241123
