Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.7710416369937805,0.016487618407483567
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.2819228030195129,0.03566361207528601
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.6685780346036718,0.01806893025555713
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.5714506005792146,0.02154496635967538
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.6608114500625386,0.020860800897661298
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.6782499627087094,0.018722483272046998
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.5905682546824255,0.01712770437886737
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.60323560228965,0.016930790586149734
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.7607491717094831,0.02935121079354216
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.7749553711810381,0.027024103283366033
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.635881830698381,0.01570332917304297
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.7761634145183497,0.029302896311848323
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.32462266051589644,0.06310553557664655
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.15132141376469835,0.030957616104101048
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.799027951354961,0.013640788311413852
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.31981834715633317,0.03672106669281622
