Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8141589517162798,0.008921870964743686
RF,,,,,BinaryVector,subset0_1,0.3065603190428714,0.038058320319261554
RF,,,,,BinaryVector,f1,0.6183121112851918,0.026051111842069073
RF,,,,,BinaryVector,jaccard,0.5414062574182215,0.02722055749632496
RF,,,,,BinaryVector,macro_f1,0.644837049066106,0.02201058201188299
RF,,,,,BinaryVector,micro_f1,0.6761439623306152,0.02106063708262972
RF,,,,,BinaryVector,macro_precision,0.7399136797238497,0.02593425381041721
RF,,,,,BinaryVector,micro_precision,0.7387509527644517,0.02593954927389047
RF,,,,,BinaryVector,macro_recall,0.6040480754807243,0.02763110842967984
RF,,,,,BinaryVector,micro_recall,0.6244101050355557,0.03081865425587501
RF,,,,,BinaryVector,example_precision,0.6732796847552581,0.026032183195945777
RF,,,,,BinaryVector,example_recall,0.6253904951811233,0.034101734254481104
RF,,,,,BinaryVector,mfrd,0.6999357535660248,0.08277587206842058
RF,,,,,BinaryVector,afrd,0.3170119734533049,0.02775940066533399
RF,,,,,ScoreVector,ranking_loss,0.15018049027520614,0.015237117314167284
RF,,,,,ScoreVector,one_error,0.25771542515311213,0.027202473905634968
RF,,,,,ScoreVector,coverage,1.721458481697764,0.1329561503094148
RF,,,,,ScoreVector,lr_ap,0.8121436088559716,0.013054180285916567
RF,,,,,ScoreVector,auc_macro,0.8431701494119911,0.01217572417492479
RF,,,,,ScoreVector,auc_micro,0.8621580557784481,0.010000688287422647
RF,,,,,ScoreVector,auprc_macro,0.7313318642361283,0.02155298459268567
RF,,,,,ScoreVector,auprc_micro,0.7446445853550324,0.0246626515458387
