Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.755720932440773,0.012345837795161763
RF,,,,,BinaryVector,subset0_1,0.13018658310781941,0.03586700408973155
RF,,,,,BinaryVector,f1,0.30744575796420265,0.04677406030838974
RF,,,,,BinaryVector,jaccard,0.26324265299340077,0.043133659717724
RF,,,,,BinaryVector,macro_f1,0.39338652613746733,0.04063451968847491
RF,,,,,BinaryVector,micro_f1,0.41980708510101344,0.047932847705608315
RF,,,,,BinaryVector,macro_precision,0.8144452439568343,0.05234957996036533
RF,,,,,BinaryVector,micro_precision,0.8061804595104285,0.041353678603398294
RF,,,,,BinaryVector,macro_recall,0.2801352823373454,0.04017669066292065
RF,,,,,BinaryVector,micro_recall,0.28638702542091155,0.04559058020863786
RF,,,,,BinaryVector,example_precision,0.3797972748421403,0.05010113273609627
RF,,,,,BinaryVector,example_recall,0.2804040260171865,0.05017555437946393
RF,,,,,BinaryVector,mfrd,0.9288786800361172,0.04280507872547639
RF,,,,,BinaryVector,afrd,0.6851728801413465,0.04972779277502594
RF,,,,,ScoreVector,ranking_loss,0.1590785105002453,0.013959057240536447
RF,,,,,ScoreVector,one_error,0.27053126335279876,0.025104973773915847
RF,,,,,ScoreVector,coverage,1.7771029767839337,0.12530258701423536
RF,,,,,ScoreVector,lr_ap,0.8028180933390305,0.012660192434941988
RF,,,,,ScoreVector,auc_macro,0.8428443267505098,0.011247369427365183
RF,,,,,ScoreVector,auc_micro,0.856431525717814,0.008583023837477641
RF,,,,,ScoreVector,auprc_macro,0.7197701034035785,0.018883762850670036
RF,,,,,ScoreVector,auprc_micro,0.7190556070361523,0.01943688255284436
