Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.9450939490497687,0.0020142468884619498
RF,,,,,BinaryVector,subset0_1,0.012344316025530449,0.006806356634370162
RF,,,,,BinaryVector,f1,0.2515411606104206,0.054887851076975684
RF,,,,,BinaryVector,jaccard,0.17751537672742607,0.04074457912985519
RF,,,,,BinaryVector,macro_f1,0.060200325632834444,0.013528676888883095
RF,,,,,BinaryVector,micro_f1,0.3113792214395653,0.06132789505166579
RF,,,,,BinaryVector,macro_precision,0.1473952933432212,0.015744924076122043
RF,,,,,BinaryVector,micro_precision,0.7714109930515763,0.020330749013399912
RF,,,,,BinaryVector,macro_recall,0.045345093036296136,0.010983458343558728
RF,,,,,BinaryVector,micro_recall,0.19752071927685924,0.0469165384326323
RF,,,,,BinaryVector,example_precision,0.46448694727157724,0.08745035657324073
RF,,,,,BinaryVector,example_recall,0.18606804217288095,0.044336137320900686
RF,,,,,BinaryVector,mfrd,1.0,0.0
RF,,,,,BinaryVector,afrd,0.8776229783442804,0.02544632504399068
RF,,,,,ScoreVector,ranking_loss,0.07231630021211477,0.001764270718410165
RF,,,,,ScoreVector,one_error,0.23912023460410559,0.026589664000468985
RF,,,,,ScoreVector,coverage,11.301411074693808,0.38335428660287013
RF,,,,,ScoreVector,lr_ap,0.6950396810288154,0.0061903795434359934
RF,,,,,ScoreVector,auc_macro,,
RF,,,,,ScoreVector,auc_micro,0.9142896992784887,0.004317573206017386
RF,,,,,ScoreVector,auprc_macro,0.2634413021954278,0.02063120899024117
RF,,,,,ScoreVector,auprc_micro,0.5507672574568363,0.015348950355593614
