Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.8321994720756669,0.004921348313587351
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.006818009315163016,0.004218720736326626
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.3711778578010644,0.0075662966612425105
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.25288824086735845,0.006235598927903365
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.14169269477341173,0.0047389599179207915
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.33188854672467266,0.008129048897456389
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.10421459365622038,0.0032016445258994794
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.22247404679021174,0.006878813910480674
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.3148702605961899,0.032603353161614224
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.653604672955901,0.012423700786413769
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.29333308411785125,0.007805262720171566
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.6766914726007706,0.012422375453555769
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.9125852828486232,0.012718746816724217
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.5310676269810957,0.0386777534960444
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8485575299019683,0.004171614971293406
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.00952251164395377,0.005215493185566489
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.3887460029271628,0.00945218799511625
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,jaccard_pa,0.2682471584253231,0.008017188286530468
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_precision_pa,0.313602396037039,0.009934436671213857
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_recall_pa,0.6709355372647594,0.011638874033699693
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_precision_pa,0.10934029839307056,0.003828606032630723
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_precision_pa,0.24572372210201934,0.006908198266704953
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_recall_pa,0.29915386187452275,0.02709368343512797
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_recall_pa,0.6507395176373598,0.011569008986530977
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_f1_pa,0.14628683087957148,0.005311910227492202
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_f1_pa,0.3566854096135002,0.008045232223617377
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,mfrd_pa,0.931043933015935,0.009883969757648261
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,afrd_pa,0.552704580449924,0.03567827436005163
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.8515621287523476,0.00443614172328335
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.01989012534134442,0.005395514033807347
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.00952251164395377,0.005215493185566489
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.18494048645851305,0.02788627940136253
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,ranking_loss,0.1527534872105073,0.004915495297201771
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,one_error,0.29589201311022945,0.02283068056690165
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,coverage,19.7243339658444,0.7457722227870958
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,lr_ap,0.5775901982736784,0.01065571676038315
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_macro,,
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_micro,0.8087898488116145,0.005162406831191707
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_macro,0.1471357136940303,0.009775529990236285
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_micro,0.29947177087508225,0.010073808929140953
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.8154673469811847,0.00552848972443121
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.001176470588235294,0.002352941176470588
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.8644425711412214,0.0051343996683167045
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.02374021045368294,0.00780329149285648
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.4192085044752308,0.0070617071095816905
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,jaccard,0.30167287684616967,0.005942608489192087
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_f1,0.1408929959419961,0.00518048343738961
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_f1,0.35731157601239516,0.009764220303610004
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_precision,0.11218109535259091,0.0034713482865868783
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_precision,0.25622097185154297,0.009306510130908257
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_recall,0.2603981050742928,0.03100761431931958
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_recall,0.5908056409313382,0.013107299900560825
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,example_precision,0.3871515357137339,0.007104918072580907
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,example_recall,0.61730520178746,0.012351102917786808
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,mfrd,0.9366002138037703,0.008710389803554878
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,afrd,0.5969909043634307,0.04242978690521339
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8808742931758664,0.0034411424330309617
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,subset0_1_pa,0.02891357598757978,0.010084597085401962
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,f1_pa,0.4389914645883187,0.00974429004159817
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,jaccard_pa,0.319582605200143,0.008552190959048515
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,example_precision_pa,0.4132936621995916,0.01069961075157664
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,example_recall_pa,0.6117142655889336,0.011381958584231069
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,macro_precision_pa,0.11967681943735126,0.004511317569010762
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,micro_precision_pa,0.2907199336228306,0.008250746554405013
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,macro_recall_pa,0.24433238241788766,0.024132605926013843
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,micro_recall_pa,0.587684853504135,0.01234253133517117
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,macro_f1_pa,0.14626403866114437,0.00606551996740889
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,micro_f1_pa,0.3889451248306137,0.008962608320180733
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,mfrd_pa,0.9531933849804723,0.0065790874728810424
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,afrd_pa,0.6203023749775258,0.038906317127096836
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,arec,0.8831579379054229,0.0035580345762359516
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,aabs,0.019200757711373154,0.0053909430738192515
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,rec,0.02891357598757978,0.010084597085401962
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,abs,0.16519993099879252,0.02666227122288967
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,ranking_loss,0.1527534872105073,0.004915495297201771
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,one_error,0.29589201311022945,0.02283068056690165
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,coverage,19.7243339658444,0.7457722227870958
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,lr_ap,0.5775901982736784,0.01065571676038315
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,auc_macro,,
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,ScoreVector,auc_micro,0.8087898488116145,0.005162406831191707
