Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.9162862351659032,0.0028386370552455115
RF,,,,,BinaryVector,subset0_1,0.5762338144080883,0.011230364354674787
RF,,,,,BinaryVector,f1,0.6107875190862743,0.014125283707485291
RF,,,,,BinaryVector,jaccard,0.6021317678994027,0.01338206719089738
RF,,,,,BinaryVector,macro_f1,0.7160328358182793,0.012000452975859425
RF,,,,,BinaryVector,micro_f1,0.7173955771788769,0.010904504519060255
RF,,,,,BinaryVector,macro_precision,0.9002815696169464,0.01642486770777835
RF,,,,,BinaryVector,micro_precision,0.9064173493258159,0.01803979473400068
RF,,,,,BinaryVector,macro_recall,0.6121837589542372,0.016177528729548196
RF,,,,,BinaryVector,micro_recall,0.5938086924958557,0.012748579759553463
RF,,,,,BinaryVector,example_precision,0.6227672294062336,0.01536910748110237
RF,,,,,BinaryVector,example_recall,0.6075328600224865,0.014212979576953421
RF,,,,,BinaryVector,mfrd,0.6268409952704294,0.03522774235255421
RF,,,,,BinaryVector,afrd,0.3742687734199638,0.017424322041163464
RF,,,,,ScoreVector,ranking_loss,0.05997209306337937,0.0077678026301033765
RF,,,,,ScoreVector,one_error,0.18903649899500521,0.017686785191163307
RF,,,,,ScoreVector,coverage,0.3826390386556362,0.03863833396215159
RF,,,,,ScoreVector,lr_ap,0.8884449035693848,0.012077618601565965
RF,,,,,ScoreVector,auc_macro,0.9460691924673647,0.004303753718373578
RF,,,,,ScoreVector,auc_micro,0.9534406589523818,0.004770281416618163
RF,,,,,ScoreVector,auprc_macro,0.8510617083868123,0.010895646920686541
RF,,,,,ScoreVector,auprc_micro,0.8576603627608144,0.012388988376482704
