Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.6730364069783158,0.020515636718922287
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.17541153026630205,0.030482198480688717
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.5594052098699399,0.020211838741344825
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,jaccard,0.4424443342161187,0.02330354120258542
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_f1,0.49462323695332683,0.017538363327744833
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_f1,0.49457632177546373,0.017204808214260858
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_precision,0.34284613907510336,0.01605077682176638
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_precision,0.34231792153091106,0.015892600759478008
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,macro_recall,0.8982953346914551,0.01227853536835082
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,micro_recall,0.8920509243099899,0.012193902476290746
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_precision,0.44894974450991065,0.02420445598196038
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,example_recall,0.9018954575386111,0.01252355978599272
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,mfrd,0.3547651771674416,0.028220294299798516
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,afrd,0.27358744257847806,0.02608473665296334
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,hamming_accuracy_pa,0.822176748164986,0.011563425470048929
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,subset0_1_pa,0.38431029665938915,0.03962958323598849
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,f1_pa,0.6823743267393096,0.021928066589031545
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,jaccard_pa,0.6039678753693265,0.025055395847544584
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_precision_pa,0.6138082782854425,0.026425082720272976
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,example_recall_pa,0.8418790232705642,0.02338309010010739
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_precision_pa,0.5535450576134653,0.021388290442980074
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_precision_pa,0.539757996879889,0.020404376566416322
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_recall_pa,0.8858117452226689,0.014718763405550473
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_recall_pa,0.8813205442420524,0.01399021925760428
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,macro_f1_pa,0.6784125849984908,0.01768454972135651
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,micro_f1_pa,0.6692859185587614,0.01757703039918747
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,mfrd_pa,0.15870746003949518,0.033517118201623376
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,afrd_pa,0.09017811577096622,0.017107985711657663
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,arec,0.8579040610990818,0.010293815165825422
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,aabs,0.20088988765337312,0.026159525958200012
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,rec,0.39951673984869013,0.04105769453864561
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PartialAbstention,abs,0.5544712347201974,0.044240587381477535
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,ranking_loss,0.11879011376521749,0.013599972089914201
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,one_error,0.2801802952010421,0.02462306934922639
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,coverage,0.6891605489945739,0.06532313063512632
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,lr_ap,0.8178679795339542,0.016331063942012437
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_macro,0.8837476295499336,0.012562035625884059
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auc_micro,0.8856117660731809,0.01396554668190505
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_macro,0.7073905595402177,0.023287240460439732
RF,PreOrder__Hamming__None,Hamming,,PreOrder,ScoreVector,auprc_micro,0.704619885388978,0.027123502182834894
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,hamming_accuracy_PRE_ORDER,0.7738609340269119,0.00887762801469022
RF,PreOrder__Hamming__None,Hamming,,PreOrder,PreferenceOrder,subset0_1_PRE_ORDER,0.1631138447735958,0.02873198052234381
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.703557048909746,0.02366262760235002
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.2748687468189543,0.034295741651411304
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.5969257396560296,0.02239625320769778
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,jaccard,0.49887741939194236,0.026161370783607807
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_f1,0.5119557022856969,0.02106581806037982
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_f1,0.5118820781030762,0.0209318318781486
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_precision,0.36443191775406125,0.020769188401879364
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_precision,0.3637152661673131,0.020866147586254952
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,macro_recall,0.8741777431596215,0.014102821807948985
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,micro_recall,0.8658118045064923,0.014270842501368548
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,example_precision,0.5101433562512402,0.02797107871869779
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,example_recall,0.87878190031717,0.014034578851763535
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,mfrd,0.3087433413334465,0.03714121991708113
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,afrd,0.20792100298039454,0.030830114106124032
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,PartialAbstention,hamming_accuracy_pa,0.8650436652414497,0.01118212404492596
