Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,,,,,BinaryVector,hamming_accuracy,0.8633285599675642,0.005434999441090774
RF,,,,,BinaryVector,subset0_1,0.24303655075439312,0.03265622615033944
RF,,,,,BinaryVector,f1,0.25682254868976867,0.03375562027774801
RF,,,,,BinaryVector,jaccard,0.25336147031167777,0.03342714305823913
RF,,,,,BinaryVector,macro_f1,0.37786972259134044,0.040152883756520416
RF,,,,,BinaryVector,micro_f1,0.39123480951761264,0.042123147485465424
RF,,,,,BinaryVector,macro_precision,0.9351052708550504,0.04687083083527855
RF,,,,,BinaryVector,micro_precision,0.9615712162279201,0.018649183485274334
RF,,,,,BinaryVector,macro_recall,0.26215995186045443,0.03395645371581306
RF,,,,,BinaryVector,micro_recall,0.2465672468644637,0.032532340850790126
RF,,,,,BinaryVector,example_precision,0.2629453535885071,0.03437465472261464
RF,,,,,BinaryVector,example_recall,0.2542273329825197,0.03356386832558384
RF,,,,,BinaryVector,mfrd,0.9693817266887627,0.01917555430051189
RF,,,,,BinaryVector,afrd,0.7356286654846553,0.03447645241668776
RF,,,,,ScoreVector,ranking_loss,0.08264760531358041,0.00840972288725942
RF,,,,,ScoreVector,one_error,0.22617075422054675,0.019336016752222098
RF,,,,,ScoreVector,coverage,0.5054466403843998,0.04028859329598276
RF,,,,,ScoreVector,lr_ap,0.8618751323938043,0.012347743626755461
RF,,,,,ScoreVector,auc_macro,0.9266206705172507,0.006292256932115229
RF,,,,,ScoreVector,auc_micro,0.9310016022361474,0.0060565425641336415
RF,,,,,ScoreVector,auprc_macro,0.8009427537627184,0.018594616473448768
RF,,,,,ScoreVector,auprc_micro,0.8016880822906254,0.019244634718987904
