Algorithm,afrd__0.0,afrd__0.1,afrd__0.2,afrd__0.3,example_precision__0.0,example_precision__0.1,example_precision__0.2,example_precision__0.3,example_recall__0.0,example_recall__0.1,example_recall__0.2,example_recall__0.3,f1__0.0,f1__0.1,f1__0.2,f1__0.3,hamming_accuracy__0.0,hamming_accuracy__0.1,hamming_accuracy__0.2,hamming_accuracy__0.3,jaccard__0.0,jaccard__0.1,jaccard__0.2,jaccard__0.3,macro_f1__0.0,macro_f1__0.1,macro_f1__0.2,macro_f1__0.3,macro_precision__0.0,macro_precision__0.1,macro_precision__0.2,macro_precision__0.3,macro_recall__0.0,macro_recall__0.1,macro_recall__0.2,macro_recall__0.3,mfrd__0.0,mfrd__0.1,mfrd__0.2,mfrd__0.3,micro_f1__0.0,micro_f1__0.1,micro_f1__0.2,micro_f1__0.3,micro_precision__0.0,micro_precision__0.1,micro_precision__0.2,micro_precision__0.3,micro_recall__0.0,micro_recall__0.1,micro_recall__0.2,micro_recall__0.3,subset0_1__0.0,subset0_1__0.1,subset0_1__0.2,subset0_1__0.3
PartialOrder__Hamming__2,0.2912±0.0597,0.2287±0.0615,0.4719±0.1037,0.7272±0.0743,0.6268±0.0392,0.5680±0.0379,0.4344±0.0445,0.3175±0.0223,0.7543±0.0258,0.8404±0.0282,0.9129±0.0317,0.9576±0.0248,0.6629±0.0354,0.6394±0.0309,0.5519±0.0359,0.4628±0.0200,0.7514±0.0302,0.6812±0.0350,0.5424±0.0476,0.3957±0.0310,0.6253±0.0391,0.5665±0.0379,0.4339±0.0445,0.3174±0.0223,0.5237±0.0344,0.5065±0.0298,0.4515±0.0229,0.4085±0.0116,0.4890±0.0392,0.4121±0.0297,0.3298±0.0208,0.2807±0.0099,0.6439±0.0574,0.7680±0.0825,0.8589±0.0749,0.9277±0.0486,0.4039±0.1084,0.5007±0.0871,0.6702±0.0782,0.8809±0.0503,0.6053±0.0353,0.5712±0.0286,0.5022±0.0249,0.4442±0.0138,0.5065±0.0392,0.4339±0.0317,0.3471±0.0234,0.2893±0.0113,0.7535±0.0263,0.8390±0.0280,0.9121±0.0320,0.9576±0.0247,0.5298±0.0456,0.3953±0.0582,0.1783±0.0595,0.0328±0.0241
PartialOrder__Hamming__None,0.2847±0.0645,0.2344±0.0629,0.4743±0.1033,0.7286±0.0745,0.6261±0.0383,0.5672±0.0376,0.4335±0.0447,0.3167±0.0226,0.7582±0.0258,0.8420±0.0269,0.9140±0.0319,0.9580±0.0250,0.6635±0.0351,0.6392±0.0303,0.5516±0.0362,0.4623±0.0202,0.7499±0.0306,0.6805±0.0345,0.5418±0.0474,0.3949±0.0311,0.6247±0.0380,0.5657±0.0375,0.4330±0.0447,0.3167±0.0226,0.5231±0.0348,0.5065±0.0285,0.4514±0.0229,0.4083±0.0116,0.4845±0.0389,0.4113±0.0289,0.3294±0.0207,0.2805±0.0100,0.6470±0.0620,0.7741±0.0839,0.8600±0.0743,0.9279±0.0485,0.4039±0.1084,0.5046±0.0878,0.6714±0.0781,0.8826±0.0510,0.6051±0.0363,0.5711±0.0280,0.5022±0.0249,0.4440±0.0139,0.5045±0.0397,0.4333±0.0313,0.3469±0.0233,0.2891±0.0114,0.7572±0.0258,0.8406±0.0267,0.9133±0.0321,0.9580±0.0248,0.5259±0.0421,0.3930±0.0584,0.1764±0.0602,0.0316±0.0252
PartialOrder__Subset__2,0.2880±0.0630,0.2297±0.0627,0.4721±0.1039,0.7272±0.0743,0.6274±0.0385,0.5681±0.0382,0.4344±0.0448,0.3175±0.0223,0.7562±0.0245,0.8397±0.0282,0.9133±0.0316,0.9576±0.0248,0.6638±0.0344,0.6392±0.0311,0.5521±0.0362,0.4628±0.0200,0.7514±0.0302,0.6811±0.0352,0.5424±0.0477,0.3957±0.0310,0.6260±0.0384,0.5666±0.0382,0.4339±0.0447,0.3174±0.0223,0.5243±0.0338,0.5061±0.0300,0.4517±0.0230,0.4085±0.0116,0.4890±0.0391,0.4119±0.0300,0.3298±0.0209,0.2807±0.0099,0.6452±0.0577,0.7672±0.0826,0.8591±0.0751,0.9277±0.0486,0.4006±0.1103,0.5007±0.0871,0.6698±0.0785,0.8809±0.0503,0.6060±0.0348,0.5709±0.0288,0.5024±0.0250,0.4442±0.0138,0.5066±0.0392,0.4338±0.0319,0.3472±0.0235,0.2893±0.0113,0.7554±0.0251,0.8383±0.0280,0.9125±0.0319,0.9576±0.0247,0.5298±0.0456,0.3961±0.0589,0.1780±0.0597,0.0328±0.0241
PartialOrder__Subset__None,0.2801±0.0675,0.2347±0.0642,0.4744±0.1033,0.7287±0.0745,0.6255±0.0369,0.5670±0.0377,0.4335±0.0447,0.3167±0.0226,0.7601±0.0249,0.8416±0.0271,0.9140±0.0319,0.9580±0.0250,0.6635±0.0338,0.6390±0.0304,0.5516±0.0362,0.4623±0.0202,0.7490±0.0300,0.6803±0.0346,0.5418±0.0474,0.3949±0.0311,0.6240±0.0367,0.5656±0.0375,0.4330±0.0447,0.3167±0.0226,0.5231±0.0338,0.5063±0.0289,0.4514±0.0229,0.4083±0.0116,0.4831±0.0371,0.4112±0.0291,0.3293±0.0207,0.2804±0.0100,0.6483±0.0625,0.7738±0.0845,0.8600±0.0743,0.9279±0.0485,0.4006±0.1103,0.5046±0.0878,0.6721±0.0780,0.8820±0.0512,0.6048±0.0352,0.5709±0.0282,0.5022±0.0249,0.4440±0.0139,0.5031±0.0386,0.4332±0.0315,0.3469±0.0233,0.2891±0.0114,0.7591±0.0250,0.8402±0.0268,0.9133±0.0321,0.9580±0.0248,0.5240±0.0413,0.3930±0.0584,0.1764±0.0602,0.0316±0.0252
PreOrder__Hamming__2,0.2893±0.0677,0.2561±0.0856,0.2508±0.0764,0.2844±0.0797,0.6340±0.0329,0.6262±0.0344,0.5902±0.0501,0.5029±0.0379,0.7543±0.0238,0.7817±0.0321,0.8067±0.0345,0.8144±0.0398,0.6685±0.0292,0.6696±0.0298,0.6499±0.0395,0.5894±0.0281,0.7586±0.0251,0.7475±0.0284,0.7192±0.0456,0.6514±0.0428,0.6326±0.0328,0.6245±0.0342,0.5883±0.0502,0.5022±0.0378,0.5299±0.0300,0.5277±0.0326,0.5092±0.0360,0.4634±0.0233,0.5003±0.0351,0.4757±0.0315,0.4310±0.0394,0.3647±0.0233,0.6440±0.0552,0.6843±0.0742,0.6988±0.0779,0.7192±0.0756,0.3905±0.1204,0.4653±0.1325,0.5089±0.1470,0.5336±0.1322,0.6121±0.0291,0.6099±0.0312,0.5931±0.0399,0.5416±0.0265,0.5160±0.0339,0.5014±0.0358,0.4713±0.0464,0.4076±0.0319,0.7535±0.0247,0.7805±0.0320,0.8049±0.0346,0.8130±0.0410,0.5394±0.0413,0.5109±0.0526,0.4347±0.0783,0.2856±0.0634
PreOrder__Hamming__None,0.2893±0.0642,0.2562±0.0859,0.2562±0.0773,0.3170±0.0786,0.6380±0.0307,0.6238±0.0326,0.5859±0.0453,0.4799±0.0328,0.7601±0.0197,0.7878±0.0295,0.8206±0.0304,0.8329±0.0331,0.6732±0.0268,0.6697±0.0284,0.6516±0.0366,0.5790±0.0257,0.7630±0.0253,0.7454±0.0277,0.7172±0.0431,0.6358±0.0375,0.6366±0.0302,0.6222±0.0325,0.5842±0.0452,0.4791±0.0330,0.5352±0.0292,0.5254±0.0326,0.5109±0.0349,0.4596±0.0255,0.5044±0.0336,0.4686±0.0317,0.4270±0.0372,0.3539±0.0218,0.6500±0.0549,0.6849±0.0710,0.7100±0.0776,0.7330±0.0775,0.3980±0.1187,0.4762±0.1336,0.5187±0.1440,0.5694±0.1040,0.6182±0.0294,0.6097±0.0310,0.5952±0.0376,0.5360±0.0251,0.5220±0.0346,0.4985±0.0345,0.4689±0.0421,0.3963±0.0266,0.7592±0.0203,0.7867±0.0292,0.8187±0.0307,0.8318±0.0337,0.5413±0.0379,0.5028±0.0496,0.4139±0.0670,0.2289±0.0561
PreOrder__Subset__2,0.2933±0.0667,0.2576±0.0861,0.2455±0.0763,0.2760±0.0809,0.6372±0.0318,0.6245±0.0337,0.5898±0.0500,0.5029±0.0377,0.7524±0.0203,0.7813±0.0311,0.8059±0.0324,0.8113±0.0410,0.6701±0.0273,0.6683±0.0289,0.6495±0.0393,0.5886±0.0284,0.7601±0.0236,0.7463±0.0280,0.7190±0.0449,0.6513±0.0428,0.6358±0.0315,0.6229±0.0335,0.5879±0.0500,0.5022±0.0376,0.5285±0.0269,0.5268±0.0317,0.5099±0.0359,0.4628±0.0244,0.4988±0.0328,0.4749±0.0313,0.4318±0.0397,0.3645±0.0239,0.6419±0.0525,0.6820±0.0739,0.7026±0.0777,0.7179±0.0765,0.4007±0.1203,0.4629±0.1348,0.4957±0.1381,0.5268±0.1350,0.6128±0.0265,0.6086±0.0303,0.5926±0.0390,0.5406±0.0277,0.5181±0.0322,0.4998±0.0348,0.4709±0.0452,0.4072±0.0325,0.7515±0.0213,0.7802±0.0311,0.8042±0.0324,0.8099±0.0419,0.5471±0.0415,0.5082±0.0521,0.4343±0.0773,0.2875±0.0630
PreOrder__Subset__None,0.2848±0.0636,0.2620±0.0863,0.2521±0.0743,0.3105±0.0724,0.6395±0.0292,0.6216±0.0335,0.5851±0.0437,0.4786±0.0321,0.7620±0.0138,0.7865±0.0289,0.8186±0.0297,0.8337±0.0361,0.6746±0.0240,0.6676±0.0291,0.6507±0.0354,0.5783±0.0267,0.7630±0.0248,0.7429±0.0288,0.7170±0.0419,0.6354±0.0371,0.6380±0.0287,0.6199±0.0335,0.5833±0.0436,0.4779±0.0323,0.5344±0.0263,0.5228±0.0330,0.5098±0.0342,0.4596±0.0266,0.5013±0.0343,0.4662±0.0317,0.4260±0.0359,0.3538±0.0221,0.6507±0.0502,0.6784±0.0740,0.7085±0.0780,0.7368±0.0751,0.3973±0.1234,0.4877±0.1399,0.5163±0.1429,0.5659±0.1074,0.6189±0.0267,0.6070±0.0319,0.5943±0.0364,0.5359±0.0268,0.5222±0.0341,0.4955±0.0354,0.4683±0.0405,0.3959±0.0270,0.7611±0.0147,0.7851±0.0289,0.8168±0.0301,0.8325±0.0365,0.5433±0.0385,0.5001±0.0507,0.4127±0.0646,0.2262±0.0536
br,0.5995±0.0490,0.5761±0.0490,0.5596±0.0463,0.5201±0.0444,0.5183±0.0677,0.5306±0.0573,0.5249±0.0514,0.4878±0.0474,0.5163±0.0676,0.5310±0.0582,0.5364±0.0542,0.5211±0.0545,0.5170±0.0676,0.5301±0.0575,0.5281±0.0523,0.4981±0.0490,0.8560±0.0160,0.8536±0.0134,0.8455±0.0149,0.8132±0.0134,0.5163±0.0676,0.5287±0.0572,0.5233±0.0519,0.4864±0.0468,0.4431±0.0401,0.4540±0.0364,0.4461±0.0353,0.4307±0.0301,0.6262±0.0394,0.6189±0.0474,0.5780±0.0539,0.5096±0.0370,0.3669±0.0480,0.3813±0.0442,0.3866±0.0402,0.3889±0.0419,1.0000±0.0000,1.0000±0.0000,0.9992±0.0027,0.9626±0.0812,0.6402±0.0570,0.6438±0.0449,0.6340±0.0437,0.5819±0.0387,0.8552±0.0160,0.8294±0.0361,0.7859±0.0407,0.6672±0.0347,0.5143±0.0673,0.5289±0.0585,0.5340±0.0550,0.5185±0.0539,0.5144±0.0675,0.5244±0.0565,0.5090±0.0516,0.4524±0.0440
cc,0.5577±0.0388,0.5777±0.0506,0.5811±0.0509,0.5352±0.0715,0.5646±0.0498,0.5302±0.0661,0.5047±0.0652,0.4692±0.0649,0.5626±0.0490,0.5300±0.0660,0.5138±0.0668,0.5016±0.0705,0.5633±0.0493,0.5296±0.0660,0.5072±0.0654,0.4792±0.0666,0.8569±0.0108,0.8518±0.0150,0.8418±0.0136,0.8103±0.0245,0.5626±0.0490,0.5285±0.0659,0.5030±0.0646,0.4674±0.0661,0.4676±0.0303,0.4480±0.0378,0.4407±0.0370,0.4196±0.0562,0.6246±0.0275,0.6159±0.0333,0.5928±0.0439,0.5128±0.0689,0.4034±0.0363,0.3789±0.0468,0.3728±0.0456,0.3752±0.0621,1.0000±0.0000,0.9996±0.0019,0.9968±0.0073,0.9625±0.0778,0.6624±0.0367,0.6398±0.0525,0.6172±0.0500,0.5692±0.0579,0.8140±0.0157,0.8211±0.0309,0.7887±0.0389,0.6706±0.0745,0.5601±0.0482,0.5277±0.0659,0.5116±0.0664,0.5004±0.0712,0.5607±0.0484,0.5252±0.0658,0.4905±0.0630,0.4330±0.0685
